contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ETN250425C00180000,2025-04-21 13:32:50+00:00,180.0,81.7,95.2,98.6,0.0,0.0,5.0,1,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00185000,2025-04-02 17:11:13+00:00,185.0,101.19,89.9,93.1,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00220000,2025-04-09 17:27:58+00:00,220.0,59.3,55.3,58.2,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00235000,2025-04-08 13:30:03+00:00,235.0,36.6,40.7,43.4,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00237500,2025-04-09 17:27:58+00:00,237.5,43.9,40.0,40.9,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00240000,2025-04-09 17:27:58+00:00,240.0,41.6,35.7,38.5,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00245000,2025-04-08 17:35:17+00:00,245.0,18.9,30.3,33.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00250000,2025-04-11 17:59:02+00:00,250.0,30.65,25.8,28.5,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00252500,2025-04-21 16:17:02+00:00,252.5,10.0,23.4,26.4,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00255000,2025-04-09 17:34:39+00:00,255.0,28.0,20.7,24.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00257500,2025-04-21 15:38:31+00:00,257.5,5.9,18.8,20.9,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00260000,2025-04-22 18:50:46+00:00,260.0,10.37,16.0,18.8,0.0,0.0,5.0,8,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00262500,2025-04-22 19:20:30+00:00,262.5,8.0,14.8,16.8,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00265000,2025-04-22 16:02:12+00:00,265.0,6.0,12.8,14.6,0.0,0.0,2.0,9,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00267500,2025-04-22 19:15:18+00:00,267.5,16.4,10.7,12.5,10.5199995,178.91156,10.0,50,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00270000,2025-04-22 19:11:14+00:00,270.0,14.5,8.6,10.2,10.12,231.05022,1.0,125,1.0000000000000003e-05,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00272500,2025-04-23 13:30:02+00:00,272.5,15.0,6.9,8.4,11.3,305.40543,2.0,427,0.27735097656249996,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00275000,2025-04-23 16:27:04+00:00,275.0,5.4,5.4,6.5,3.45,176.92307,1.0,85,0.299811689453125,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00277500,2025-04-23 14:53:54+00:00,277.5,8.13,4.0,5.0,6.52,404.9689,2.0,92,0.3278875805664062,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00280000,2025-04-23 14:32:10+00:00,280.0,5.85,2.8,4.2,4.6499996,387.49988,104.0,317,0.39111937011718745,True,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00282500,2025-04-17 17:54:15+00:00,282.5,7.7,1.8,2.9,5.8999996,327.7777,1.0,15,0.3764710791015625,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00285000,2025-04-23 16:11:01+00:00,285.0,1.71,1.1,1.85,1.46,584.0,231.0,457,0.3601138208007812,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00287500,2025-04-23 15:22:18+00:00,287.5,1.8,0.6,1.3,1.3,260.0,102.0,2,0.37329728271484375,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00290000,2025-04-23 16:26:16+00:00,290.0,0.6,0.3,0.75,0.40000004,200.00003,32.0,34,0.36157864990234373,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00292500,2025-04-23 16:05:50+00:00,292.5,0.42,0.0,0.45,0.109999985,35.483864,101.0,44,0.3627993408203125,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00295000,2025-04-23 14:53:38+00:00,295.0,0.47,0.05,0.35,0.42,839.9998,2.0,28,0.39014281738281253,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00297500,2025-04-17 16:03:55+00:00,297.5,1.4,0.0,0.5,0.0,0.0,30.0,31,0.47803256347656253,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00300000,2025-04-23 14:19:24+00:00,300.0,0.25,0.0,0.5,-0.050000012,-16.66667,19.0,73,0.5273484765625001,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00305000,2025-04-22 15:29:10+00:00,305.0,0.65,0.0,0.75,0.0,0.0,4.0,211,0.5844768115234374,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00310000,2025-04-23 14:35:51+00:00,310.0,0.25,0.0,0.25,0.2,400.00003,402.0,650,0.551762294921875,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00315000,2025-04-14 14:39:07+00:00,315.0,0.72,0.0,1.3,0.0,0.0,2.0,7,0.8466812207031249,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00320000,2025-04-21 15:26:14+00:00,320.0,0.05,0.0,0.05,0.0,0.0,100.0,157,0.5664105859375,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00325000,2025-03-31 13:30:02+00:00,325.0,0.25,0.0,1.35,0.0,0.0,5.0,10,1.0253954980468751,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00330000,2025-04-10 19:37:55+00:00,330.0,0.71,0.0,0.15,0.0,0.0,2.0,238,0.7753928710937501,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00335000,2025-04-16 14:26:41+00:00,335.0,0.29,0.0,1.35,0.0,0.0,1.0,28,1.185550947265625,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00340000,2025-03-27 15:40:42+00:00,340.0,0.38,0.0,1.35,0.0,0.0,,1,1.2626989990234374,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00345000,2025-03-26 13:34:11+00:00,345.0,0.38,0.0,1.35,0.0,0.0,1.0,2,1.3369173779296872,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425C00355000,2025-04-10 19:37:55+00:00,355.0,0.94,0.0,1.35,0.0,0.0,1.0,0,1.480959626464844,False,REGULAR,USD,ETN,1,2025-04-25,2025-04-23 13:02:43.614216,280.4649963378906
ETN250425P00170000,2025-04-07 15:09:04+00:00,170.0,1.1,0.0,1.3,0.0,0.0,,1,2.9199245751953127,False,REGULAR,USD,ETN,0,2025-04-25,2025-04-23 13:02:43.616221,280.4649963378906
ETN250425P00185000,2025-04-21 17:32:49+00:00,185.0,0.05,0.0,1.3,0.0,0.0,2.0,13,2.486331909179688,False,REGULAR,USD,ETN,0,2025-04-25,2025-04-23 13:02:43.616221,280.4649963378906
ETN250425P00190000,2025-04-21 17:32:48+00:00,190.0,0.05,0.0,1.3,0.0,0.0,1.0,6,2.349613500976562,False,REGULAR,USD,ETN,0,2025-04-25,2025-04-23 13:02:43.616221,280.4649963378906
