contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ETR250516C00055000,2025-04-17 16:19:47+00:00,55.0,28.85,27.3,31.0,0.0,0.0,2.0,1.0,0.6093789062500001,True,REGULAR,USD,ETR,1,2025-05-16,2025-04-23 13:02:52.571794,84.13999938964844
ETR250516C00065000,2025-04-04 19:46:06+00:00,65.0,15.42,18.3,20.7,0.0,0.0,1.0,1.0,0.6660189648437502,True,REGULAR,USD,ETR,1,2025-05-16,2025-04-23 13:02:52.571794,84.13999938964844
ETR250516C00070000,2025-04-08 16:31:29+00:00,70.0,11.9,13.6,15.1,0.0,0.0,,1.0,0.6709017285156251,True,REGULAR,USD,ETR,1,2025-05-16,2025-04-23 13:02:52.571794,84.13999938964844
ETR250516C00075000,2025-04-21 19:48:17+00:00,75.0,6.2,8.6,9.9,0.0,0.0,5.0,24.0,0.44824770507812495,True,REGULAR,USD,ETR,1,2025-05-16,2025-04-23 13:02:52.571794,84.13999938964844
ETR250516C00080000,2025-04-22 18:49:35+00:00,80.0,4.0,4.6,5.8,0.0,0.0,61.0,163.0,0.3967345483398438,True,REGULAR,USD,ETR,1,2025-05-16,2025-04-23 13:02:52.571794,84.13999938964844
ETR250516C00085000,2025-04-23 14:32:35+00:00,85.0,2.35,1.9,2.2,0.9499999,67.85714,6.0,644.0,0.30152065673828127,False,REGULAR,USD,ETR,1,2025-05-16,2025-04-23 13:02:52.571794,84.13999938964844
ETR250516C00090000,2025-04-23 14:42:04+00:00,90.0,0.6,0.4,0.65,0.100000024,20.000004,43.0,440.0,0.2910227148437499,False,REGULAR,USD,ETR,1,2025-05-16,2025-04-23 13:02:52.571794,84.13999938964844
ETR250516C00095000,2025-04-21 15:47:41+00:00,95.0,0.05,0.0,0.3,0.0,0.0,5.0,10.0,0.34278000976562495,False,REGULAR,USD,ETR,1,2025-05-16,2025-04-23 13:02:52.571794,84.13999938964844
ETR250516P00065000,2025-04-09 16:17:18+00:00,65.0,1.35,0.0,1.25,0.0,0.0,2.0,4.0,0.7612328564453126,False,REGULAR,USD,ETR,0,2025-05-16,2025-04-23 13:02:52.573775,84.13999938964844
ETR250516P00070000,2025-04-14 14:48:40+00:00,70.0,0.56,0.05,1.4,0.0,0.0,19.0,20.0,0.6147499462890625,False,REGULAR,USD,ETR,0,2025-05-16,2025-04-23 13:02:52.573775,84.13999938964844
ETR250516P00075000,2025-04-22 18:51:48+00:00,75.0,0.85,0.55,0.8,0.0,0.0,875.0,5312.0,0.45654840332031255,False,REGULAR,USD,ETR,0,2025-05-16,2025-04-23 13:02:52.573775,84.13999938964844
ETR250516P00080000,2025-04-22 14:53:46+00:00,80.0,1.75,1.3,1.6,0.0,0.0,5.0,297.0,0.38867798828125,False,REGULAR,USD,ETR,0,2025-05-16,2025-04-23 13:02:52.573775,84.13999938964844
ETR250516P00085000,2025-04-23 14:57:56+00:00,85.0,2.9,2.85,3.8,-0.54999995,-15.942028,22.0,57.0,0.387701435546875,True,REGULAR,USD,ETR,0,2025-05-16,2025-04-23 13:02:52.573775,84.13999938964844
ETR250516P00090000,2025-04-07 14:11:05+00:00,90.0,12.0,5.5,7.1,0.0,0.0,1.0,2.0,0.3815979809570312,True,REGULAR,USD,ETR,0,2025-05-16,2025-04-23 13:02:52.573775,84.13999938964844
ETR250516P00105000,2025-03-20 19:02:26+00:00,105.0,20.4,20.0,24.5,0.0,0.0,,0.0,0.8032246240234374,True,REGULAR,USD,ETR,0,2025-05-16,2025-04-23 13:02:52.573775,84.13999938964844
