contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EVRG250516C00065000,2025-04-23 14:29:45+00:00,65.0,3.6,3.2,3.8,-0.96000004,-21.052631,3.0,6,0.32959654785156245,True,REGULAR,USD,EVRG,1,2025-05-16,2025-04-23 13:03:01.308347,67.63999938964844
EVRG250516C00067500,2025-04-22 18:02:58+00:00,67.5,1.68,1.4,1.75,0.0,0.0,2.0,249,0.24292749267578123,True,REGULAR,USD,EVRG,1,2025-05-16,2025-04-23 13:03:01.308347,67.63999938964844
EVRG250516C00070000,2025-04-21 19:30:36+00:00,70.0,0.4,0.1,1.9,0.0,0.0,33.0,44,0.4165097412109374,False,REGULAR,USD,EVRG,1,2025-05-16,2025-04-23 13:03:01.308347,67.63999938964844
EVRG250516C00072500,2025-04-22 19:30:57+00:00,72.5,0.1,0.0,0.75,0.0,0.0,13.0,101,0.34229173339843744,False,REGULAR,USD,EVRG,1,2025-05-16,2025-04-23 13:03:01.308347,67.63999938964844
EVRG250516P00062500,2025-04-22 14:56:33+00:00,62.5,0.36,0.0,0.65,0.0,0.0,1.0,2,0.35938140625,False,REGULAR,USD,EVRG,0,2025-05-16,2025-04-23 13:03:01.310352,67.63999938964844
EVRG250516P00065000,2025-04-22 18:47:25+00:00,65.0,0.65,0.4,0.75,0.0,0.0,5.0,18,0.2602613037109375,False,REGULAR,USD,EVRG,0,2025-05-16,2025-04-23 13:03:01.310352,67.63999938964844
EVRG250516P00067500,2025-04-21 14:09:18+00:00,67.5,1.15,1.1,1.45,0.0,0.0,1.0,5,0.21973436523437498,False,REGULAR,USD,EVRG,0,2025-05-16,2025-04-23 13:03:01.310352,67.63999938964844
EVRG250620C00050000,2025-01-28 17:22:07+00:00,50.0,13.9,18.0,20.3,0.0,0.0,11.0,7,0.7614769946289064,True,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00055000,2025-03-07 14:47:32+00:00,55.0,11.93,0.0,0.0,0.0,0.0,10.0,7,1.0000000000000003e-05,True,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00057500,2025-02-25 16:57:34+00:00,57.5,11.75,9.1,13.0,0.0,0.0,1.0,1,0.6765169067382814,True,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00060000,2025-03-17 14:15:21+00:00,60.0,8.8,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00062500,2025-03-14 15:28:35+00:00,62.5,6.5,0.0,0.0,0.0,0.0,1.0,39,1.0000000000000003e-05,True,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00065000,2025-04-03 16:22:25+00:00,65.0,5.5,3.4,4.3,0.0,0.0,1.0,85,0.2617261328125,True,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00067500,2025-04-23 15:19:02+00:00,67.5,2.55,2.25,2.5,0.3699999,16.972471,2.0,125,0.22412885253906245,True,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00070000,2025-04-23 15:52:12+00:00,70.0,1.15,0.95,1.35,-0.100000024,-8.000002,2.0,2339,0.2124102197265625,False,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00072500,2025-03-26 19:23:51+00:00,72.5,0.55,0.0,1.2,0.0,0.0,42.0,49,0.26978269287109374,False,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00075000,2025-03-28 15:38:33+00:00,75.0,0.33,0.0,0.75,0.0,0.0,2.0,52,0.2761302856445312,False,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620C00080000,2025-02-24 14:30:20+00:00,80.0,0.15,0.0,0.75,0.0,0.0,,1,0.3764710791015625,False,REGULAR,USD,EVRG,1,2025-06-20,2025-04-23 13:03:01.365497,67.63999938964844
EVRG250620P00050000,2024-12-31 18:53:35+00:00,50.0,0.5,0.0,2.3,0.0,0.0,1.0,3,0.6953155468750001,False,REGULAR,USD,EVRG,0,2025-06-20,2025-04-23 13:03:01.366501,67.63999938964844
EVRG250620P00052500,2025-03-12 17:34:51+00:00,52.5,0.4,0.0,2.35,0.0,0.0,2.0,2,0.6167030517578126,False,REGULAR,USD,EVRG,0,2025-06-20,2025-04-23 13:03:01.366501,67.63999938964844
EVRG250620P00055000,2025-03-12 17:04:32+00:00,55.0,0.55,0.0,2.45,0.0,0.0,1.0,23,0.543949873046875,False,REGULAR,USD,EVRG,0,2025-06-20,2025-04-23 13:03:01.366501,67.63999938964844
EVRG250620P00057500,2025-04-07 13:32:54+00:00,57.5,1.05,0.0,0.75,0.0,0.0,20.0,20,0.38843385009765624,False,REGULAR,USD,EVRG,0,2025-06-20,2025-04-23 13:03:01.366501,67.63999938964844
EVRG250620P00060000,2025-04-23 13:30:20+00:00,60.0,0.4,0.3,0.7,-0.30999997,-43.661972,1.0,166,0.3083565258789062,False,REGULAR,USD,EVRG,0,2025-06-20,2025-04-23 13:03:01.366501,67.63999938964844
EVRG250620P00062500,2025-04-14 19:42:51+00:00,62.5,0.95,0.55,1.0,0.0,0.0,20.0,194,0.2749095947265625,False,REGULAR,USD,EVRG,0,2025-06-20,2025-04-23 13:03:01.366501,67.63999938964844
