contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EW250516C00050000,2025-04-17 14:07:15+00:00,50.0,21.88,19.7,22.4,0.0,0.0,5.0,6,0.9570316796874999,True,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00055000,2024-11-15 19:52:28+00:00,55.0,15.4,15.3,15.9,0.0,0.0,,3,0.500005,True,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00060000,2025-04-04 13:38:47+00:00,60.0,11.75,10.4,11.4,0.0,0.0,12.0,35,0.6313513427734375,True,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00062500,2025-04-08 19:35:47+00:00,62.5,6.9,8.4,9.1,0.0,0.0,5.0,43,0.5632367895507813,True,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00065000,2025-04-23 14:37:33+00:00,65.0,8.2,6.4,7.3,1.0999999,15.492957,1.0,49,0.569340244140625,True,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00067500,2025-04-23 16:19:31+00:00,67.5,4.8,3.4,4.9,-0.07999992,-1.6393427,20.0,102,0.44824770507812495,True,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00070000,2025-04-23 16:18:49+00:00,70.0,3.2,3.0,3.3,-0.29999995,-8.571427,1031.0,4403,0.42212491943359376,True,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00072500,2025-04-23 16:23:30+00:00,72.5,2.0,1.4,2.0,-0.20000005,-9.090911,90.0,853,0.3942931665039063,False,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00075000,2025-04-23 15:04:54+00:00,75.0,1.39,1.0,1.3,0.13999999,11.199999,12.0,3546,0.40698835205078127,False,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00077500,2025-04-23 16:18:05+00:00,77.5,0.8,0.5,0.75,0.09000003,12.676062,923.0,1595,0.40332627929687503,False,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00080000,2025-04-23 16:22:20+00:00,80.0,0.3,0.25,0.4,-0.049999982,-14.285709,33.0,6616,0.398443515625,False,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00082500,2025-04-23 16:07:32+00:00,82.5,0.14,0.0,0.45,0.0,0.0,9.0,439,0.47998566894531247,False,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00085000,2025-04-21 14:21:11+00:00,85.0,0.16,0.0,0.6,0.0,0.0,1.0,1323,0.586918193359375,False,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
EW250516C00090000,2025-04-17 15:37:18+00:00,90.0,0.08,0.0,0.4,0.0,0.0,2.0,84,0.5546919531250001,False,REGULAR,USD,EW,1,2025-05-16,2025-04-23 13:02:47.356566,70.5199966430664
