contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EXC250516C00040000,2025-04-21 18:38:42+00:00,40.0,6.77,6.3,6.6,0.4699998,7.460314,21.0,25,0.42188078125,True,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00041000,2025-04-15 17:16:14+00:00,41.0,6.03,5.2,6.5,0.0,0.0,1.0,3,0.6850617431640625,True,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00042000,2025-04-17 16:05:19+00:00,42.0,5.9,4.4,4.7,0.0,0.0,10.0,27,0.35645174804687496,True,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00043000,2025-04-21 18:09:22+00:00,43.0,3.27,3.6,3.8,0.0,0.0,1.0,45,0.331061376953125,True,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00044000,2025-04-22 13:58:49+00:00,44.0,3.6,2.7,2.85,0.0,0.0,1.0,61,0.2802806347656249,True,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00045000,2025-04-23 15:38:29+00:00,45.0,2.01,1.85,2.0,-0.77,-27.697842,27.0,309,0.24658956542968752,True,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00046000,2025-04-21 18:24:24+00:00,46.0,1.15,1.15,1.3,0.0,0.0,8.0,179,0.2280350634765625,True,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00047000,2025-04-23 14:17:58+00:00,47.0,0.8,0.65,0.8,-0.45,-36.0,11.0,1836,0.22290816162109373,False,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00048000,2025-04-23 16:11:26+00:00,48.0,0.4,0.3,0.45,-0.4,-50.0,13.0,1668,0.21875781249999998,False,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00049000,2025-04-22 19:54:18+00:00,49.0,0.44,0.15,0.25,0.0,0.0,26.0,360,0.22266402343749997,False,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516C00050000,2025-04-23 15:53:07+00:00,50.0,0.07,0.05,0.15,-0.16,-69.56522,5.0,1114,0.23438265625,False,REGULAR,USD,EXC,1,2025-05-16,2025-04-23 13:03:02.376994,46.41999816894531
EXC250516P00037000,2025-03-21 19:28:09+00:00,37.0,0.1,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00040000,2025-04-02 19:13:30+00:00,40.0,0.1,0.05,0.15,0.0,0.0,2.0,1,0.40332627929687503,False,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00041000,2025-04-23 14:28:59+00:00,41.0,0.1,0.1,0.2,0.0,0.0,1.0,23,0.37793590820312495,False,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00042000,2025-04-21 17:58:57+00:00,42.0,0.36,0.1,0.25,0.0,0.0,6.0,170,0.3442448388671875,False,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00043000,2025-04-21 17:45:28+00:00,43.0,0.25,0.2,0.35,-0.22,-46.80851,1.0,46,0.32129584960937496,False,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00044000,2025-04-23 15:22:13+00:00,44.0,0.4,0.35,0.5,-0.01999998,-4.7619004,15.0,253,0.299811689453125,False,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00045000,2025-04-22 19:53:36+00:00,45.0,0.5,0.6,0.75,0.0,0.0,10.0,231,0.28711650390624993,False,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00046000,2025-04-23 16:05:46+00:00,46.0,0.98,1.0,1.1,0.23000002,30.66667,44.0,238,0.2749095947265625,False,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00047000,2025-04-23 16:26:46+00:00,47.0,1.51,1.5,1.6,0.40999997,37.272724,19.0,102,0.2700268310546875,True,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00048000,2025-04-23 14:48:25+00:00,48.0,1.78,2.05,2.35,0.17999995,11.249996,3.0,25,0.29492892578124996,True,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
EXC250516P00049000,2025-04-17 19:41:10+00:00,49.0,2.3,3.0,3.2,0.0,0.0,7.0,17,0.32569033691406246,True,REGULAR,USD,EXC,0,2025-05-16,2025-04-23 13:03:02.377997,46.41999816894531
