contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EXR250516C00130000,2025-04-22 19:48:01+00:00,130.0,14.36,12.1,13.5,0.0,0.0,1.0,3,0.4776663562011719,True,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00135000,2025-04-22 16:12:32+00:00,135.0,9.8,8.5,9.4,0.0,0.0,1.0,5,0.42102629760742194,True,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00140000,2025-04-21 19:00:07+00:00,140.0,7.4,5.2,6.2,3.12,72.897194,2.0,21,0.3967345483398438,True,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00145000,2025-04-23 14:41:35+00:00,145.0,4.9,3.1,4.2,0.8000002,19.5122,3.0,31,0.4102842175292969,False,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00150000,2025-04-23 16:12:16+00:00,150.0,1.86,1.55,2.15,-0.29000008,-13.488375,3.0,54,0.37183245361328127,False,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00155000,2025-04-22 19:44:09+00:00,155.0,0.82,0.65,1.2,-0.38000005,-24.050632,2.0,55,0.3734193518066406,False,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00160000,2025-04-22 18:27:34+00:00,160.0,0.93,0.25,1.35,0.0,0.0,2.0,33,0.46802289794921875,False,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00165000,2025-04-11 15:15:35+00:00,165.0,0.45,0.0,0.7,0.0,0.0,5.0,10,0.450200810546875,False,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00170000,2025-04-21 18:36:35+00:00,170.0,0.2,0.0,0.3,0.0,0.0,3.0,16,0.42627526855468756,False,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00175000,2025-04-22 19:48:01+00:00,175.0,0.14,0.0,0.75,0.0,0.0,1.0,6,0.5783733569335938,False,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00180000,2025-03-28 16:48:17+00:00,180.0,0.2,0.0,0.75,0.0,0.0,2.0,2,0.5488326367187502,False,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516C00190000,2025-03-28 18:19:17+00:00,190.0,0.08,0.0,0.75,0.0,0.0,12.0,12,0.6430699755859376,False,REGULAR,USD,EXR,1,2025-05-16,2025-04-23 13:03:05.712863,140.97500610351562
EXR250516P00095000,2025-04-22 16:06:14+00:00,95.0,0.03,0.0,0.75,0.0,0.0,5.0,25,0.86132951171875,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00100000,2025-04-17 18:53:54+00:00,100.0,0.2,0.0,0.75,0.0,0.0,5.0,5,0.7651390673828126,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00105000,2025-04-17 18:52:36+00:00,105.0,0.16,0.0,0.75,0.0,0.0,5.0,10,0.6728548339843752,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00110000,2025-04-03 18:29:53+00:00,110.0,0.54,0.0,0.75,0.0,0.0,1.0,1,0.5830119824218749,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00115000,2025-04-23 14:13:31+00:00,115.0,0.53,0.05,0.8,-0.07000005,-11.666675,4.0,9,0.5092822509765625,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00120000,2025-04-21 17:11:12+00:00,120.0,0.62,0.4,1.1,-0.38,-38.0,4.0,22,0.5419967675781252,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00125000,2025-04-23 16:28:09+00:00,125.0,1.05,0.8,1.25,-0.00999999,-1.1363626,25.0,15,0.4594780615234375,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00130000,2025-04-23 14:14:10+00:00,130.0,1.39,1.5,2.0,-1.2099999,-46.53846,4.0,37,0.4293269958496094,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00135000,2025-04-23 16:28:09+00:00,135.0,2.92,2.75,2.95,0.31000018,11.877402,21.0,68,0.3842835009765625,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00140000,2025-04-22 16:12:20+00:00,140.0,3.35,4.5,5.2,-0.86000013,-20.427557,1.0,1607,0.39502558105468755,False,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00145000,2025-04-17 18:50:32+00:00,145.0,7.45,6.6,8.1,0.0,0.0,10.0,14,0.4014952429199219,True,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00150000,2025-04-07 19:10:02+00:00,150.0,18.9,9.7,12.0,0.0,0.0,1.0,4,0.43836010864257813,True,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00155000,2025-04-09 16:16:52+00:00,155.0,28.85,14.2,16.2,0.0,0.0,1.0,0,0.4687553125,True,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250516P00195000,2025-04-11 17:42:50+00:00,195.0,62.2,52.6,55.8,0.0,0.0,,0,0.6084023535156251,True,REGULAR,USD,EXR,0,2025-05-16,2025-04-23 13:03:05.713866,140.97500610351562
EXR250620C00125000,2025-03-10 13:55:34+00:00,125.0,35.18,13.3,15.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00130000,2025-03-13 19:27:29+00:00,130.0,18.55,9.4,11.6,0.0,0.0,1.0,1,0.17798673583984376,True,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00135000,2025-04-21 19:17:45+00:00,135.0,8.95,10.1,12.2,0.0,0.0,1.0,4,0.4023497265625,True,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00140000,2025-04-09 17:58:26+00:00,140.0,5.9,7.5,8.9,0.0,0.0,3.0,17,0.3732362481689453,True,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00145000,2025-04-15 15:18:05+00:00,145.0,6.45,4.9,6.3,2.1499996,49.999992,2.0,157,0.35584140258789054,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00150000,2025-04-09 17:09:05+00:00,150.0,1.75,2.95,4.5,0.0,0.0,1.0,18,0.3534000207519531,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00155000,2025-04-14 18:42:00+00:00,155.0,1.85,1.6,2.95,0.0,0.0,4.0,38,0.34192552612304683,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00160000,2025-04-22 18:21:57+00:00,160.0,1.35,0.95,1.9,0.0,0.0,2.0,224,0.335944140625,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00165000,2025-04-21 16:05:56+00:00,165.0,0.6,0.45,1.85,0.0,0.0,1.0,20,0.3813538427734374,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00170000,2025-04-14 16:29:09+00:00,170.0,0.43,0.25,1.55,0.0,0.0,2.0,153,0.4039366247558594,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00175000,2025-04-10 14:33:06+00:00,175.0,0.82,0.0,1.75,0.0,0.0,1.0,70,0.46143116699218756,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00180000,2025-03-24 17:16:41+00:00,180.0,0.39,0.1,0.9,0.0,0.0,1.0,30,0.42163664306640625,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00185000,2025-02-27 14:53:26+00:00,185.0,0.81,0.0,0.9,0.0,0.0,6.0,5,0.4558159887695313,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620C00190000,2025-02-24 15:33:27+00:00,190.0,0.99,0.0,0.75,0.0,0.0,1.0,3,0.46973186523437505,False,REGULAR,USD,EXR,1,2025-06-20,2025-04-23 13:03:05.772043,140.97500610351562
EXR250620P00080000,2025-03-24 17:10:58+00:00,80.0,0.2,0.0,0.75,0.0,0.0,2.0,5,0.7514673291015624,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00095000,2025-04-02 17:37:00+00:00,95.0,0.3,0.0,0.75,0.0,0.0,,2,0.5493209130859377,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00100000,2025-04-10 18:29:48+00:00,100.0,1.06,0.0,0.75,0.0,0.0,3.0,3,0.5625043750000001,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00105000,2025-04-09 17:21:47+00:00,105.0,1.85,0.05,1.9,0.0,0.0,1.0,80,0.5288133056640626,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00115000,2025-04-09 19:09:34+00:00,115.0,2.49,0.85,2.5,0.0,0.0,1.0,158,0.5339402075195312,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00120000,2025-04-22 18:36:55+00:00,120.0,1.6,1.3,2.0,0.0,0.0,2.0,10,0.4206600903320313,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00125000,2025-03-19 15:35:05+00:00,125.0,1.8,1.55,3.7,0.0,0.0,1.0,6,0.4539849523925781,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00130000,2025-04-22 18:51:11+00:00,130.0,3.0,3.2,3.8,0.0,0.0,2.0,7,0.37500625,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00135000,2025-04-21 17:31:46+00:00,135.0,7.0,4.0,5.5,0.0,0.0,7.0,23,0.36829244995117194,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00140000,2025-04-22 19:34:00+00:00,140.0,6.6,6.7,7.8,0.0,0.0,1.0,27,0.36780417358398443,False,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00145000,2025-04-04 16:24:18+00:00,145.0,11.0,9.0,10.4,0.0,0.0,6.0,22,0.3593203717041016,True,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00150000,2025-03-13 19:32:54+00:00,150.0,12.0,18.6,20.8,0.0,0.0,6.0,10,0.6340978973388673,True,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00155000,2025-04-09 16:16:52+00:00,155.0,29.9,15.5,17.4,0.0,0.0,6.0,14,0.3645083081054688,True,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
EXR250620P00160000,2025-04-04 15:38:59+00:00,160.0,20.73,19.0,22.0,0.0,0.0,5.0,16,0.4007628283691406,True,REGULAR,USD,EXR,0,2025-06-20,2025-04-23 13:03:05.773045,140.97500610351562
