contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FANG250425C00085000,2025-04-22 16:37:31+00:00,85.0,53.74,48.9,51.6,1.5700035,3.0093992,16.0,15.0,3.2187519531249995,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
FANG250425C00090000,2025-04-22 16:38:55+00:00,90.0,48.81,43.4,46.5,1.5200005,3.214211,16.0,17.0,2.7968780078125004,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
FANG250425C00110000,2025-04-23 14:02:10+00:00,110.0,29.32,24.2,26.8,1.8400002,6.6957793,16.0,5.0,1.7968760156249999,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
FANG250425C00114000,2025-04-23 13:56:11+00:00,114.0,25.02,19.9,23.2,1.7399998,7.474225,16.0,10.0,1.7402356738281248,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
FANG250425C00115000,2025-04-23 13:57:48+00:00,115.0,23.78,18.6,21.5,15.080001,173.33336,16.0,2.0,1.3515657421874998,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
FANG250425C00116000,2025-04-23 13:57:48+00:00,116.0,22.81,17.6,20.6,14.709999,181.60492,16.0,1.0,1.3505891845703122,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
FANG250425C00117000,2025-04-23 13:59:40+00:00,117.0,21.55,16.7,19.2,12.249999,131.72041,16.0,1.0,1.05859845703125,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
FANG250425C00119000,2025-04-16 19:12:37+00:00,119.0,12.6,15.3,17.6,0.0,0.0,3.0,5.0,1.1845743896484375,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
FANG250425C00120000,2025-04-11 17:28:42+00:00,120.0,10.1,14.0,17.2,0.0,0.0,4.0,36.0,1.3671906640625,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
FANG250425C00122000,2025-04-11 17:42:53+00:00,122.0,9.9,12.0,14.5,0.0,0.0,,4.0,0.973633076171875,1.0,REGULAR,USD,FANG,1,2025-04-25,2025-04-23 13:02:27.206874,135.88999938964844
