contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FAST250516C00050000,2025-04-04 17:11:39+00:00,50.0,25.6,28.8,32.2,0.0,0.0,1.0,0,0.789064609375,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00055000,2025-03-10 13:54:34+00:00,55.0,26.7,23.9,27.9,0.0,0.0,1.0,1,0.9648441015625,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00060000,2025-03-10 18:31:31+00:00,60.0,20.6,19.2,22.4,0.0,0.0,1.0,10,0.737307314453125,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00062500,2025-02-28 15:12:32+00:00,62.5,12.2,14.1,17.7,0.0,0.0,1.0,28,1.0000000000000003e-05,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00065000,2025-04-07 17:46:03+00:00,65.0,9.9,14.2,17.0,0.0,0.0,1.0,9,0.8881847119140623,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00067500,2025-04-07 17:46:03+00:00,67.5,7.9,12.1,14.0,0.0,0.0,1.0,36,0.676761044921875,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00070000,2025-04-22 18:43:15+00:00,70.0,11.15,10.1,11.5,-0.12000084,-1.0647812,15.0,65,0.5786174951171875,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00072500,2025-04-21 19:11:06+00:00,72.5,7.8,7.9,8.1,0.0,0.0,2.0,85,0.264655791015625,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00075000,2025-04-22 17:20:14+00:00,75.0,6.6,5.7,6.2,0.0,0.0,8.0,220,0.3286199951171874,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00077500,2025-04-23 15:21:09+00:00,77.5,4.51,3.6,4.1,0.36000013,8.674703,68.0,432,0.2880930566406249,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00080000,2025-04-23 16:26:37+00:00,80.0,2.05,2.15,2.35,-0.8800001,-30.034134,1279.0,808,0.2573316455078125,True,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00082500,2025-04-23 16:30:41+00:00,82.5,1.0,1.0,1.1,-0.29999995,-23.076921,415.0,2562,0.23438265625,False,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00085000,2025-04-23 16:29:10+00:00,85.0,0.35,0.3,0.45,-0.20000002,-36.36364,103.0,3461,0.22754678710937498,False,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00087500,2025-04-23 14:37:24+00:00,87.5,0.11,0.05,0.2,-0.09,-45.0,3.0,708,0.23828886718749998,False,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00090000,2025-04-14 13:55:23+00:00,90.0,0.2,0.0,0.75,0.0,0.0,1.0,18,0.428716650390625,False,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00092500,2025-03-10 15:29:56+00:00,92.5,0.7,0.0,2.25,0.0,0.0,,1,0.5666547241210937,False,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00095000,2025-03-10 16:48:13+00:00,95.0,0.4,0.0,2.4,0.0,0.0,6.0,42,0.64648791015625,False,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00100000,2025-01-10 14:45:32+00:00,100.0,0.1,0.0,0.6,0.0,0.0,40.0,81,0.5366257275390626,False,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516C00105000,2024-12-16 05:05:55+00:00,105.0,0.5,0.0,1.45,0.0,0.0,1.0,2,0.7651390673828126,False,REGULAR,USD,FAST,1,2025-05-16,2025-04-23 13:03:10.094695,80.45999908447266
FAST250516P00050000,2025-04-11 14:04:25+00:00,50.0,0.2,0.0,0.2,0.0,0.0,1.0,80,0.8945323046874999,False,REGULAR,USD,FAST,0,2025-05-16,2025-04-23 13:03:10.096700,80.45999908447266
FAST250516P00055000,2025-04-14 16:48:24+00:00,55.0,0.08,0.0,0.65,0.0,0.0,28.0,62,0.905274384765625,False,REGULAR,USD,FAST,0,2025-05-16,2025-04-23 13:03:10.096700,80.45999908447266
FAST250516P00060000,2025-04-17 13:51:42+00:00,60.0,0.05,0.0,0.4,0.0,0.0,10.0,18,0.6621127539062501,False,REGULAR,USD,FAST,0,2025-05-16,2025-04-23 13:03:10.096700,80.45999908447266
FAST250516P00062500,2025-04-22 18:48:57+00:00,62.5,0.07,0.05,0.2,0.0,0.0,13.0,52,0.5351608984375,False,REGULAR,USD,FAST,0,2025-05-16,2025-04-23 13:03:10.096700,80.45999908447266
