contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FCX250425C00019000,2025-04-08 18:30:25+00:00,19.0,11.0,16.2,17.5,0.0,0.0,,0,4.429691962890624,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00020000,2025-04-15 14:46:19+00:00,20.0,13.45,15.15,16.4,0.0,0.0,9.0,9,3.8281254296875,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00021000,2025-04-16 13:55:31+00:00,21.0,12.55,14.45,14.75,0.0,0.0,11.0,25,2.3125042187499996,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00021500,2025-04-23 15:23:04+00:00,21.5,14.4,14.0,14.2,2.0499992,16.599184,2.0,5,2.1875045312499997,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00022000,2025-04-16 13:42:02+00:00,22.0,11.85,13.6,13.7,0.0,0.0,1.0,41,2.6718783203125005,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00022500,2025-04-16 13:51:42+00:00,22.5,11.35,12.9,13.2,0.0,0.0,7.0,7,2.843752890625,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00023500,2025-04-17 13:38:42+00:00,23.5,9.8,12.0,12.2,0.0,0.0,1.0,15,1.8437507812499998,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00024000,2025-04-17 16:37:20+00:00,24.0,8.44,11.3,11.7,0.0,0.0,1.0,1,2.50000375,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00024500,2025-04-14 14:17:57+00:00,24.5,9.65,10.9,11.2,0.0,0.0,,0,2.3906290234374996,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00025000,2025-04-22 14:46:52+00:00,25.0,9.19,10.4,10.7,0.0,0.0,8.0,9,2.281254296875,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00026000,2025-04-22 14:46:14+00:00,26.0,8.15,9.5,9.7,0.0,0.0,1.0,1,1.4375028125,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00027000,2025-04-11 17:17:33+00:00,27.0,9.05,8.5,8.7,2.7000003,42.51969,1.0,13,1.2812535937499998,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00027500,2025-04-16 17:33:01+00:00,27.5,6.3,8.05,8.2,0.0,0.0,3.0,3,1.421877890625,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00028000,2025-04-17 16:00:01+00:00,28.0,4.9,7.6,7.7,0.0,0.0,19.0,87,1.46875265625,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00028500,2025-04-14 18:27:56+00:00,28.5,5.4,7.0,7.2,0.0,0.0,,2,1.0468797656250002,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
FCX250425C00029000,2025-04-23 14:38:41+00:00,29.0,7.24,6.6,6.7,1.8399997,34.074066,42.0,528,1.2890660546875,True,REGULAR,USD,FCX,1,2025-04-25,2025-04-23 13:03:23.263138,35.59000015258789
