contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FDS250516C00400000,2025-04-10 14:03:33+00:00,400.0,30.9,29.1,36.1,0.0,0.0,,2.0,0.4321345849609375,1.0,REGULAR,USD,FDS,1,2025-05-16,2025-04-23 13:03:08.858658,428.6700134277344
FDS250516C00410000,2025-04-14 17:00:08+00:00,410.0,33.0,21.2,27.5,0.0,0.0,,1.0,0.38513798461914056,1.0,REGULAR,USD,FDS,1,2025-05-16,2025-04-23 13:03:08.858658,428.6700134277344
FDS250516C00430000,2025-04-22 19:34:34+00:00,430.0,9.93,9.2,14.3,0.0,0.0,2.0,201.0,0.34058276611328125,0.0,REGULAR,USD,FDS,1,2025-05-16,2025-04-23 13:03:08.858658,428.6700134277344
FDS250516C00440000,2025-04-22 14:35:26+00:00,440.0,4.59,5.1,11.2,0.0,0.0,1.0,8.0,0.3656374472045898,0.0,REGULAR,USD,FDS,1,2025-05-16,2025-04-23 13:03:08.858658,428.6700134277344
FDS250516C00450000,2025-04-23 15:50:41+00:00,450.0,5.39,1.65,6.2,3.8899999,259.33334,6.0,372.0,0.3211127459716796,0.0,REGULAR,USD,FDS,1,2025-05-16,2025-04-23 13:03:08.858658,428.6700134277344
FDS250516C00460000,2025-04-22 13:40:35+00:00,460.0,0.9,0.05,5.5,0.0,0.0,1.0,12.0,0.36749900085449216,0.0,REGULAR,USD,FDS,1,2025-05-16,2025-04-23 13:03:08.858658,428.6700134277344
FDS250516C00470000,2025-04-22 16:10:06+00:00,470.0,1.1,0.1,4.2,0.0,0.0,2.0,9.0,0.38532108825683586,0.0,REGULAR,USD,FDS,1,2025-05-16,2025-04-23 13:03:08.858658,428.6700134277344
FDS250516C00480000,2025-04-21 16:08:58+00:00,480.0,0.6,0.0,3.2,0.0,0.0,4.0,4.0,0.4010069665527344,0.0,REGULAR,USD,FDS,1,2025-05-16,2025-04-23 13:03:08.858658,428.6700134277344
FDS250516P00300000,2025-04-09 17:21:49+00:00,300.0,0.85,0.0,0.8,0.0,0.0,,1.0,0.6645541357421877,0.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00310000,2025-04-07 15:09:43+00:00,310.0,1.35,0.0,1.5,0.0,0.0,,3.0,0.6755403540039064,0.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00320000,2025-04-09 17:21:49+00:00,320.0,1.55,0.0,0.9,0.0,0.0,,1.0,0.56836369140625,0.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00380000,2025-04-15 19:32:17+00:00,380.0,1.22,0.0,2.45,-0.8299999,-40.4878,6.0,364.0,0.40039662109375,0.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00390000,2025-04-21 14:09:12+00:00,390.0,3.0,0.0,4.2,0.0,0.0,1.0,7.0,0.40570662658691403,0.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00400000,2025-04-21 14:16:18+00:00,400.0,5.6,0.2,5.7,0.0,0.0,1.0,10.0,0.3812317736816406,0.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00410000,2025-04-23 13:53:51+00:00,410.0,4.95,3.2,7.5,-1.75,-26.119404,1.0,1.0,0.350470362548828,0.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00420000,2025-04-23 13:53:51+00:00,420.0,7.45,6.1,12.0,-3.1500006,-29.716986,1.0,6.0,0.3678652081298829,0.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00430000,2025-03-31 13:44:01+00:00,430.0,6.5,10.2,15.7,0.0,0.0,1.0,0.0,0.3422612161254882,1.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00440000,2025-04-04 19:18:02+00:00,440.0,31.0,16.0,21.4,0.0,0.0,4.0,5.0,0.3391789715576171,1.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00450000,2025-04-17 14:01:04+00:00,450.0,24.95,23.0,28.2,0.0,0.0,1.0,6.0,0.3387822470092773,1.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00460000,2025-04-01 18:30:37+00:00,460.0,15.6,31.2,37.4,0.0,0.0,3.0,9.0,0.38403936279296874,1.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250516P00470000,2025-04-01 18:57:43+00:00,470.0,20.7,40.0,47.4,0.0,0.0,,3.0,0.444768735961914,1.0,REGULAR,USD,FDS,0,2025-05-16,2025-04-23 13:03:08.860664,428.6700134277344
FDS250620C00310000,2025-04-11 13:37:22+00:00,310.0,104.0,116.0,123.3,0.0,0.0,,1.0,0.6400182482910157,1.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00400000,2025-04-09 14:30:25+00:00,400.0,24.36,35.0,41.9,0.0,0.0,,1.0,0.37650159637451175,1.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00410000,2025-03-21 18:49:37+00:00,410.0,36.62,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00420000,2025-04-01 13:42:07+00:00,420.0,43.64,21.0,27.0,0.0,0.0,2.0,1.0,0.3292913751220703,1.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00430000,2025-04-04 19:18:47+00:00,430.0,20.5,16.0,22.5,0.0,0.0,4.0,6.0,0.3365239688110352,0.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00440000,2025-04-04 19:13:38+00:00,440.0,16.8,11.1,15.8,0.0,0.0,4.0,8.0,0.30130703582763674,0.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00450000,2025-04-15 18:26:44+00:00,450.0,14.95,7.1,13.2,0.0,0.0,1.0,11.0,0.3161079132080078,0.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00460000,2025-04-01 19:34:29+00:00,460.0,19.6,3.0,11.5,0.0,0.0,2.0,12.0,0.33682914154052734,0.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00470000,2025-04-22 17:03:50+00:00,470.0,3.0,2.0,8.2,0.0,0.0,1.0,3.0,0.32306585144042954,0.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00480000,2025-04-21 17:06:47+00:00,480.0,1.73,0.25,7.1,0.0,0.0,4.0,6.0,0.34015552429199214,0.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00490000,2025-04-21 19:37:04+00:00,490.0,1.3,0.0,4.7,0.0,0.0,2.0,6.0,0.32349309326171866,0.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
FDS250620C00500000,2025-04-21 19:37:57+00:00,500.0,0.75,0.0,4.2,0.0,0.0,1.0,4.0,0.34204759521484374,0.0,REGULAR,USD,FDS,1,2025-06-20,2025-04-23 13:03:08.916811,428.6700134277344
