contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FFIV250516C00115000,2025-01-29 14:31:32+00:00,115.0,185.7,176.9,180.9,0.0,0.0,,1,4.938846599884032,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00150000,2025-04-09 19:58:15+00:00,150.0,114.54,109.9,113.3,0.0,0.0,2.0,139,1.0000000000000003e-05,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00160000,2024-12-16 05:08:12+00:00,160.0,64.2,103.5,108.0,0.0,0.0,,1,1.3439974206542966,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00170000,2025-04-09 18:43:29+00:00,170.0,94.8,89.9,94.0,0.0,0.0,2.0,15,0.9067392138671875,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00180000,2025-01-29 14:32:39+00:00,180.0,113.97,112.6,116.3,0.0,0.0,1.0,1,2.9371974812316894,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00185000,2024-12-09 15:34:21+00:00,185.0,79.66,79.0,82.3,0.0,0.0,1.0,2,1.0056202062988282,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00190000,2024-12-16 05:08:12+00:00,190.0,58.45,75.4,79.4,0.0,0.0,1.0,2,1.111820847167969,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00195000,2024-12-13 20:05:27+00:00,195.0,72.01,69.9,72.9,0.0,0.0,1.0,5,0.958862716064453,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00200000,2025-04-14 15:28:45+00:00,200.0,65.5,61.2,64.8,0.0,0.0,1.0,4,0.7331569653320311,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00210000,2024-12-16 05:08:12+00:00,210.0,39.2,56.6,61.4,0.0,0.0,1.0,2,0.9597171997070311,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00220000,2025-02-24 16:27:10+00:00,220.0,75.1,50.9,54.5,0.0,0.0,1.0,30,1.027287578430176,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00230000,2025-04-10 15:33:15+00:00,230.0,31.4,33.9,36.8,0.0,0.0,3.0,9,0.5664105859375,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00240000,2025-04-15 19:39:15+00:00,240.0,31.0,25.9,28.6,0.0,0.0,2.0,33,0.538212625732422,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00250000,2025-04-22 16:27:24+00:00,250.0,22.5,18.8,20.9,4.5,25.0,10.0,34,0.49927258544921876,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00260000,2025-04-21 19:34:01+00:00,260.0,9.5,13.1,14.6,0.0,0.0,2.0,42,0.4787039434814453,True,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00270000,2025-04-23 14:56:13+00:00,270.0,8.9,8.6,9.9,-0.5,-5.319149,4.0,41,0.47376014526367194,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00280000,2025-04-23 16:01:00+00:00,280.0,5.6,5.4,7.4,1.2999997,30.23255,20.0,64,0.5102588037109376,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00290000,2025-04-23 15:17:14+00:00,290.0,3.7,2.0,3.5,1.05,39.62264,43.0,138,0.44421942504882805,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00300000,2025-04-23 14:19:13+00:00,300.0,1.8,1.25,2.85,0.5999999,49.999992,11.0,146,0.4958546508789063,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00310000,2025-04-23 15:57:34+00:00,310.0,1.1,0.65,1.25,0.3,37.5,34.0,43,0.4563042651367188,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00320000,2025-04-02 15:59:18+00:00,320.0,3.2,0.0,1.95,0.0,0.0,1.0,25,0.5815471533203125,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00330000,2025-03-27 14:00:25+00:00,330.0,1.05,0.0,1.7,0.0,0.0,1.0,5,0.5351608984375,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00340000,2025-04-04 15:12:17+00:00,340.0,1.05,0.0,1.55,0.0,0.0,1.0,20,0.579105771484375,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00350000,2025-02-18 17:01:49+00:00,350.0,4.9,0.2,2.2,0.0,0.0,2.0,12,0.6867707104492189,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00370000,2025-03-20 19:26:09+00:00,370.0,0.3,0.0,2.3,0.0,0.0,,1,0.7810080493164062,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00390000,2025-03-05 15:12:25+00:00,390.0,0.45,0.0,1.9,0.0,0.0,,1,0.8432632861328124,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516C00400000,2025-04-07 18:11:33+00:00,400.0,0.15,0.0,1.35,0.0,0.0,4.0,3,0.8359391406249999,False,REGULAR,USD,FFIV,1,2025-05-16,2025-04-23 13:03:08.175252,263.43499755859375
FFIV250516P00125000,2025-04-07 13:30:07+00:00,125.0,0.5,0.0,1.45,0.0,0.0,,1,1.5126977490234375,False,REGULAR,USD,FFIV,0,2025-05-16,2025-04-23 13:03:08.177278,263.43499755859375
