contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FICO250516C01200000,2025-04-14 19:55:00+00:00,1200.0,746.5,728.0,737.0,0.0,0.0,,1.0,0.7114286669921875,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01220000,2025-04-14 19:55:00+00:00,1220.0,727.0,707.0,717.2,0.0,0.0,,1.0,0.9804079107666017,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01360000,2025-04-07 14:35:36+00:00,1360.0,395.2,571.0,580.0,0.0,0.0,,2.0,0.7240017834472656,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01380000,2025-04-07 14:50:24+00:00,1380.0,578.0,551.6,560.2,223.0,62.816902,1.0,4.0,0.7116728051757812,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01400000,2025-04-07 15:34:30+00:00,1400.0,336.3,532.1,540.0,0.0,0.0,,4.0,0.6903107141113283,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01420000,2025-04-08 16:39:35+00:00,1420.0,348.0,513.0,521.4,0.0,0.0,,3.0,0.6967193414306643,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01440000,2025-04-16 19:55:00+00:00,1440.0,478.1,492.0,500.0,0.0,0.0,1.0,6.0,0.637271693725586,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01460000,2025-04-16 19:55:00+00:00,1460.0,459.5,474.2,483.0,0.0,0.0,1.0,4.0,0.6759675958251954,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01480000,2025-04-16 19:55:00+00:00,1480.0,441.1,455.1,464.0,0.0,0.0,1.0,6.0,0.6680331048583985,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01500000,2025-04-16 19:55:00+00:00,1500.0,422.8,435.2,444.0,0.0,0.0,1.0,7.0,0.6415441119384766,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01520000,2025-04-16 19:55:00+00:00,1520.0,404.7,416.3,425.0,0.0,0.0,1.0,1.0,0.6328466891479493,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01540000,2025-04-16 19:59:21+00:00,1540.0,390.9,397.5,405.0,0.0,0.0,2.0,0.0,0.6149940844726562,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
FICO250516C01580000,2025-04-16 19:55:00+00:00,1580.0,351.8,361.2,370.0,0.0,0.0,,1.0,0.6189308126831056,1.0,REGULAR,USD,FICO,1,2025-05-16,2025-04-23 13:03:09.380195,1932.0999755859375
