contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FIS250425C00068000,2025-04-22 17:13:59+00:00,68.0,10.77,10.7,13.5,0.0,0.0,2.0,2.0,1.3867218164062498,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00069000,2025-04-17 13:35:54+00:00,69.0,4.0,9.7,12.5,0.0,0.0,1.0,6.0,1.2890660546875,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00070000,2025-04-17 14:49:27+00:00,70.0,4.12,8.3,10.6,0.0,0.0,1.0,0.0,1.517580537109375,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00071000,2025-04-16 16:18:43+00:00,71.0,0.75,8.2,10.5,0.0,0.0,2.0,4.0,1.26172244140625,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00072000,2025-04-22 18:56:27+00:00,72.0,8.46,7.3,9.3,1.5799999,22.965117,12.0,13.0,1.126957490234375,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00073000,2025-04-17 16:14:51+00:00,73.0,1.87,5.8,8.5,0.0,0.0,3.0,2.0,0.9345709667968749,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00074000,2025-04-23 15:15:34+00:00,74.0,7.13,5.3,7.5,5.78,428.1482,2.0,6.0,0.9687503125,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00075000,2025-04-23 14:53:29+00:00,75.0,6.01,4.3,4.8,3.1600003,110.877205,1.0,1101.0,0.507817421875,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00076000,2025-04-23 16:00:59+00:00,76.0,3.8,3.3,3.6,2.5,192.3077,1.0,167.0,1.0000000000000003e-05,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00077000,2025-04-22 17:00:53+00:00,77.0,2.0,2.6,2.75,0.0,0.0,18.0,913.0,0.299811689453125,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00078000,2025-04-22 19:59:56+00:00,78.0,2.52,1.7,1.9,0.97,62.580647,3.0,4139.0,0.2929758203124999,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00079000,2025-04-23 14:44:10+00:00,79.0,2.45,0.6,1.15,1.5500001,172.22223,28.0,90.0,0.27539787109374997,1.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00080000,2025-04-23 13:43:26+00:00,80.0,0.65,0.0,0.85,0.17999998,38.297867,31.0,316.0,0.35352208984374994,0.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425C00081000,2025-04-23 15:47:20+00:00,81.0,0.3,0.0,0.55,0.02000001,7.1428604,10.0,37.0,0.37793590820312495,0.0,REGULAR,USD,FIS,1,2025-04-25,2025-04-23 13:03:13.076289,79.63999938964844
FIS250425P00061000,2025-03-24 16:55:59+00:00,61.0,0.05,0.0,0.75,0.0,0.0,1.0,1.0,1.9765626171875001,0.0,REGULAR,USD,FIS,0,2025-04-25,2025-04-23 13:03:13.078294,79.63999938964844
FIS250425P00065000,2025-04-07 15:09:04+00:00,65.0,1.6,0.0,1.0,0.0,0.0,,1.0,1.7138686181640623,0.0,REGULAR,USD,FIS,0,2025-04-25,2025-04-23 13:03:13.078294,79.63999938964844
FIS250425P00066000,2025-04-21 14:52:14+00:00,66.0,0.05,0.0,1.0,0.0,0.0,1.0,7.0,1.615236298828125,0.0,REGULAR,USD,FIS,0,2025-04-25,2025-04-23 13:03:13.078294,79.63999938964844
FIS250425P00067000,2025-04-16 16:18:43+00:00,67.0,0.7,0.0,1.0,0.0,0.0,3.0,5.0,1.5166039794921873,0.0,REGULAR,USD,FIS,0,2025-04-25,2025-04-23 13:03:13.078294,79.63999938964844
FIS250425P00068000,2025-04-16 16:18:41+00:00,68.0,0.9,0.0,1.0,0.0,0.0,6.0,6.0,1.4179716601562502,0.0,REGULAR,USD,FIS,0,2025-04-25,2025-04-23 13:03:13.078294,79.63999938964844
FIS250425P00069000,2025-03-28 16:34:08+00:00,69.0,0.52,0.0,0.55,0.0,0.0,1.0,1.0,1.126957490234375,0.0,REGULAR,USD,FIS,0,2025-04-25,2025-04-23 13:03:13.078294,79.63999938964844
