contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FOX250516C00045000,2025-04-23 13:33:24+00:00,45.0,2.5,1.55,4.2,-0.43000007,-14.67577,6.0,6,0.5820354296875,True,REGULAR,USD,FOX,1,2025-05-16,2025-04-23 13:03:22.043974,45.3650016784668
FOX250516C00050000,2025-03-26 14:11:06+00:00,50.0,3.4,0.0,2.5,0.0,0.0,,3,0.6196327099609377,False,REGULAR,USD,FOX,1,2025-05-16,2025-04-23 13:03:22.043974,45.3650016784668
FOX250516C00055000,2025-04-21 15:06:23+00:00,55.0,0.04,0.0,0.5,0.0,0.0,5.0,21,0.5351608984375,False,REGULAR,USD,FOX,1,2025-05-16,2025-04-23 13:03:22.043974,45.3650016784668
FOX250516P00040000,2025-04-22 14:11:49+00:00,40.0,0.41,0.0,0.95,-0.64,-60.952385,8.0,3,0.5019581054687501,False,REGULAR,USD,FOX,0,2025-05-16,2025-04-23 13:03:22.045986,45.3650016784668
FOX250516P00045000,2025-04-17 13:53:42+00:00,45.0,2.15,0.85,4.1,0.0,0.0,2.0,7,0.5747112841796875,False,REGULAR,USD,FOX,0,2025-05-16,2025-04-23 13:03:22.045986,45.3650016784668
FOX250516P00050000,2025-04-08 19:04:08+00:00,50.0,6.43,3.7,6.5,0.0,0.0,,1,0.7673363110351563,True,REGULAR,USD,FOX,0,2025-05-16,2025-04-23 13:03:22.045986,45.3650016784668
FOX250516P00055000,2025-04-01 18:47:23+00:00,55.0,4.05,8.2,11.0,0.0,0.0,,2,0.9184578466796876,True,REGULAR,USD,FOX,0,2025-05-16,2025-04-23 13:03:22.045986,45.3650016784668
FOX250718C00022500,2025-03-13 16:29:56+00:00,22.5,25.6,22.3,25.5,0.0,0.0,,1,1.2026407055664063,True,REGULAR,USD,FOX,1,2025-07-18,2025-04-23 13:03:22.100123,45.3650016784668
FOX250718C00025000,2025-03-13 16:30:46+00:00,25.0,23.1,19.7,23.0,0.0,0.0,,1,1.0380907470703127,True,REGULAR,USD,FOX,1,2025-07-18,2025-04-23 13:03:22.100123,45.3650016784668
FOX250718C00035000,2025-03-10 13:54:54+00:00,35.0,16.72,10.6,14.0,0.0,0.0,24.0,12,0.7329128271484374,True,REGULAR,USD,FOX,1,2025-07-18,2025-04-23 13:03:22.100123,45.3650016784668
FOX250718C00040000,2025-03-07 16:17:39+00:00,40.0,12.55,0.0,0.0,0.0,0.0,3.0,14,1.0000000000000003e-05,True,REGULAR,USD,FOX,1,2025-07-18,2025-04-23 13:03:22.100123,45.3650016784668
FOX250718C00045000,2025-04-23 13:47:59+00:00,45.0,4.13,2.7,3.7,1.47,55.263157,1.0,39,0.39990834472656256,True,REGULAR,USD,FOX,1,2025-07-18,2025-04-23 13:03:22.100123,45.3650016784668
FOX250718C00050000,2025-04-23 13:47:33+00:00,50.0,1.7,1.05,1.85,-0.5,-22.727272,1.0,138,0.40112903564453123,False,REGULAR,USD,FOX,1,2025-07-18,2025-04-23 13:03:22.100123,45.3650016784668
FOX250718C00055000,2025-04-17 17:18:18+00:00,55.0,0.5,0.0,1.85,0.0,0.0,1.0,30,0.5498091894531252,False,REGULAR,USD,FOX,1,2025-07-18,2025-04-23 13:03:22.100123,45.3650016784668
FOX250718C00060000,2025-03-26 16:01:27+00:00,60.0,0.7,0.0,4.8,0.0,0.0,21.0,29,0.7468287036132812,False,REGULAR,USD,FOX,1,2025-07-18,2025-04-23 13:03:22.100123,45.3650016784668
FOX250718C00065000,2025-03-06 14:39:06+00:00,65.0,0.05,0.0,4.8,0.0,0.0,1.0,0,0.8535170898437501,False,REGULAR,USD,FOX,1,2025-07-18,2025-04-23 13:03:22.100123,45.3650016784668
FOX250718P00035000,2025-01-02 14:30:21+00:00,35.0,0.85,0.0,1.9,0.0,0.0,,1,0.5510298803710938,False,REGULAR,USD,FOX,0,2025-07-18,2025-04-23 13:03:22.101131,45.3650016784668
FOX250718P00040000,2025-04-09 17:21:48+00:00,40.0,1.9,0.0,4.7,0.0,0.0,1.0,15,0.5481002221679689,False,REGULAR,USD,FOX,0,2025-07-18,2025-04-23 13:03:22.101131,45.3650016784668
FOX250718P00045000,2025-04-21 15:48:52+00:00,45.0,3.2,2.15,2.85,0.0,0.0,1.0,40,0.344733115234375,False,REGULAR,USD,FOX,0,2025-07-18,2025-04-23 13:03:22.101131,45.3650016784668
FOX250718P00050000,2025-04-04 18:48:42+00:00,50.0,6.0,4.0,6.5,0.0,0.0,1.0,54,0.4030821411132813,True,REGULAR,USD,FOX,0,2025-07-18,2025-04-23 13:03:22.101131,45.3650016784668
FOX251017C00040000,2025-04-03 13:33:03+00:00,40.0,13.0,6.5,10.5,0.0,0.0,10.0,5,0.6379430737304688,True,REGULAR,USD,FOX,1,2025-10-17,2025-04-23 13:03:22.158600,45.3650016784668
FOX251017C00045000,2025-04-14 15:31:49+00:00,45.0,6.3,3.4,6.7,0.0,0.0,12.0,14,0.520390538330078,True,REGULAR,USD,FOX,1,2025-10-17,2025-04-23 13:03:22.158600,45.3650016784668
FOX251017C00050000,2025-04-22 17:17:34+00:00,50.0,2.0,1.2,4.2,0.0,0.0,1.0,2,0.4726615234375,False,REGULAR,USD,FOX,1,2025-10-17,2025-04-23 13:03:22.158600,45.3650016784668
FOX251017C00055000,2025-04-09 16:53:37+00:00,55.0,2.48,0.3,3.4,0.0,0.0,1.0,11,0.5206346765136718,False,REGULAR,USD,FOX,1,2025-10-17,2025-04-23 13:03:22.158600,45.3650016784668
FOX251017C00060000,2025-04-02 14:07:16+00:00,60.0,2.2,0.0,4.8,0.0,0.0,6.0,11,0.5220995056152342,False,REGULAR,USD,FOX,1,2025-10-17,2025-04-23 13:03:22.158600,45.3650016784668
FOX251017C00070000,2025-04-01 13:30:32+00:00,70.0,0.93,0.0,2.4,0.0,0.0,,3,0.5268602001953125,False,REGULAR,USD,FOX,1,2025-10-17,2025-04-23 13:03:22.158600,45.3650016784668
FOX251017P00030000,2025-04-11 16:43:09+00:00,30.0,1.5,0.0,1.85,0.0,0.0,,2,0.5356491748046875,False,REGULAR,USD,FOX,0,2025-10-17,2025-04-23 13:03:22.159602,45.3650016784668
FOX251017P00035000,2025-04-09 17:21:51+00:00,35.0,1.5,0.0,4.8,0.0,0.0,,1,0.5666547241210937,False,REGULAR,USD,FOX,0,2025-10-17,2025-04-23 13:03:22.159602,45.3650016784668
FOX251017P00040000,2025-04-14 19:18:54+00:00,40.0,2.0,0.0,4.8,0.0,0.0,,1,0.6079140771484376,False,REGULAR,USD,FOX,0,2025-10-17,2025-04-23 13:03:22.159602,45.3650016784668
