contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FRT250516C00060000,2025-03-31 16:50:15+00:00,60.0,37.25,33.1,35.8,0.0,0.0,1.0,0.0,1.3803741918945311,1.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00075000,2025-04-08 17:34:22+00:00,75.0,11.5,18.7,21.6,0.0,0.0,14.0,7.0,0.6694368994140626,1.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00080000,2025-04-09 17:08:40+00:00,80.0,7.2,14.0,16.3,0.0,0.0,30.0,12.0,0.5219774365234374,1.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00085000,2025-04-17 19:00:33+00:00,85.0,9.6,9.4,12.0,0.0,0.0,3.0,4.0,0.6608920629882813,1.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00090000,2025-04-21 18:06:09+00:00,90.0,3.8,5.2,6.3,0.0,0.0,1.0,7.0,0.37793590820312495,1.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00095000,2025-04-22 15:30:20+00:00,95.0,2.0,1.95,4.6,0.0,0.0,4.0,878.0,0.49707534179687507,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00100000,2025-04-23 14:41:08+00:00,100.0,0.85,0.4,0.85,0.45000002,112.5,4.0,51.0,0.2771068383789062,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00105000,2025-04-21 17:19:36+00:00,105.0,0.15,0.1,0.9,0.0,0.0,2.0,28.0,0.41358008300781246,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00110000,2025-03-10 16:24:44+00:00,110.0,1.1,0.0,1.8,0.0,0.0,1.0,35.0,0.52539537109375,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00115000,2025-04-04 16:34:24+00:00,115.0,0.2,0.0,0.2,0.0,0.0,2.0,48.0,0.4414118359375,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00120000,2025-04-02 19:46:49+00:00,120.0,0.1,0.0,0.5,0.0,0.0,1.0,28.0,0.5376022802734376,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00125000,2025-04-04 18:15:01+00:00,125.0,0.2,0.0,1.3,0.0,0.0,5.0,21.0,0.7417018017578124,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00130000,2025-01-22 16:02:24+00:00,130.0,0.62,0.0,1.55,0.0,0.0,2.0,3.0,0.8510757080078125,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00135000,2024-11-25 15:36:55+00:00,135.0,0.85,0.0,2.05,0.0,0.0,,10.0,0.9863282617187501,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516C00140000,2024-12-16 05:11:25+00:00,140.0,2.45,0.0,0.0,0.0,0.0,,1.0,0.2500075,0.0,REGULAR,USD,FRT,1,2025-05-16,2025-04-23 13:03:11.264979,94.55999755859375
FRT250516P00060000,2024-12-05 14:59:45+00:00,60.0,0.09,0.0,1.65,0.0,0.0,,1.0,1.2441444042968748,0.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00065000,2025-04-09 13:56:12+00:00,65.0,0.75,0.0,0.3,0.0,0.0,1.0,11.0,0.7539087109375,0.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00075000,2025-04-09 17:02:28+00:00,75.0,1.6,0.0,0.5,0.0,0.0,3.0,14.0,0.5507857421875001,0.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00080000,2025-04-14 13:30:15+00:00,80.0,0.25,0.0,1.6,0.0,0.0,6.0,14.0,0.570316796875,0.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00085000,2025-04-14 17:59:15+00:00,85.0,1.27,0.0,1.75,0.0,0.0,1.0,20.0,0.5659223095703125,0.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00090000,2025-04-23 15:39:16+00:00,90.0,0.85,0.85,1.1,-0.63,-42.567566,2.0,1049.0,0.2978585839843749,0.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00095000,2025-04-23 13:35:08+00:00,95.0,2.3,2.3,3.3,-2.2500002,-49.450554,1.0,76.0,0.31726756958007807,1.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00100000,2025-04-22 13:33:45+00:00,100.0,7.02,5.4,6.7,0.0,0.0,1.0,9.0,0.33081723876953123,1.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00105000,2025-03-14 14:34:45+00:00,105.0,10.7,0.0,0.0,0.0,0.0,1.0,5.0,1.0000000000000003e-05,1.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00110000,2025-02-25 20:11:36+00:00,110.0,6.85,13.0,16.3,0.0,0.0,8.0,27.0,0.5180712255859375,1.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250516P00115000,2025-03-10 15:25:01+00:00,115.0,14.55,23.3,26.8,0.0,0.0,1.0,0.0,1.1462445031738282,1.0,REGULAR,USD,FRT,0,2025-05-16,2025-04-23 13:03:11.265979,94.55999755859375
FRT250620C00100000,2025-04-23 16:12:22+00:00,100.0,1.68,1.25,2.4,-0.120000005,-6.666667,2.0,4.0,0.2962716857910156,0.0,REGULAR,USD,FRT,1,2025-06-20,2025-04-23 13:03:11.315505,94.55999755859375
FRT250815C00060000,2025-01-07 18:51:13+00:00,60.0,45.74,0.0,0.0,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00075000,2025-04-08 17:20:56+00:00,75.0,13.25,19.7,22.1,0.0,0.0,,5.0,0.48779809082031256,1.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00080000,2025-03-28 19:01:57+00:00,80.0,17.01,14.6,17.8,0.0,0.0,3.0,3.0,0.44397528686523435,1.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00085000,2025-03-25 15:26:48+00:00,85.0,14.41,11.2,13.5,0.0,0.0,,1.0,0.3892883337402344,1.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00090000,2025-02-18 20:59:34+00:00,90.0,16.5,7.8,8.5,0.0,0.0,1.0,2.0,0.287970987548828,1.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00095000,2025-04-22 16:22:19+00:00,95.0,4.5,4.3,5.9,0.0,0.0,1.0,16.0,0.2884592639160155,0.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00100000,2025-04-11 14:40:47+00:00,100.0,2.36,1.7,4.8,0.0,0.0,1.0,8.0,0.33081723876953123,0.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00105000,2025-04-09 19:15:06+00:00,105.0,1.35,0.45,2.95,0.0,0.0,1.0,21.0,0.31214066772460936,0.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00110000,2025-04-02 19:45:33+00:00,110.0,1.5,0.4,0.9,0.0,0.0,1.0,26.0,0.2399978344726562,0.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00115000,2025-04-07 14:32:42+00:00,115.0,1.0,0.0,2.0,0.0,0.0,1.0,45.0,0.36963520996093746,0.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00120000,2025-02-27 20:46:29+00:00,120.0,0.95,0.0,1.7,0.0,0.0,2.0,10.0,0.3952697192382813,0.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
FRT250815C00125000,2025-03-03 15:41:16+00:00,125.0,0.5,0.0,0.0,0.0,0.0,1.0,5.0,0.12500875,0.0,REGULAR,USD,FRT,1,2025-08-15,2025-04-23 13:03:11.376664,94.55999755859375
