contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
FTV250516C00065000,2025-04-22 14:26:41+00:00,65.0,2.6,2.6,4.3,0.0,0.0,2.0,12,0.4204159521484375,True,REGULAR,USD,FTV,1,2025-05-16,2025-04-23 13:03:20.853883,67.54499816894531
FTV250516C00070000,2025-04-22 19:46:49+00:00,70.0,2.7,0.85,1.6,2.3,574.9999,5.0,28,0.3764710791015625,False,REGULAR,USD,FTV,1,2025-05-16,2025-04-23 13:03:20.853883,67.54499816894531
FTV250516C00075000,2025-04-21 16:20:51+00:00,75.0,0.14,0.15,0.4,0.0,0.0,5.0,94,0.3544986425781249,False,REGULAR,USD,FTV,1,2025-05-16,2025-04-23 13:03:20.853883,67.54499816894531
FTV250516C00080000,2025-04-08 14:38:18+00:00,80.0,0.29,0.0,1.4,0.0,0.0,3.0,13,0.5815471533203125,False,REGULAR,USD,FTV,1,2025-05-16,2025-04-23 13:03:20.853883,67.54499816894531
FTV250516C00085000,2025-03-27 18:55:30+00:00,85.0,0.2,0.0,1.35,0.0,0.0,,22,0.70898728515625,False,REGULAR,USD,FTV,1,2025-05-16,2025-04-23 13:03:20.853883,67.54499816894531
FTV250516P00060000,2025-04-10 15:19:33+00:00,60.0,1.5,0.0,0.9,0.0,0.0,,6,0.5268602001953125,False,REGULAR,USD,FTV,0,2025-05-16,2025-04-23 13:03:20.854867,67.54499816894531
FTV250516P00065000,2025-04-22 13:30:03+00:00,65.0,2.55,0.7,2.25,0.0,0.0,1.0,67,0.4975636181640626,False,REGULAR,USD,FTV,0,2025-05-16,2025-04-23 13:03:20.854867,67.54499816894531
FTV250516P00070000,2025-04-01 18:33:28+00:00,70.0,1.6,3.2,5.0,0.0,0.0,,4,0.5180712255859375,True,REGULAR,USD,FTV,0,2025-05-16,2025-04-23 13:03:20.854867,67.54499816894531
FTV250516P00075000,2025-03-28 14:12:16+00:00,75.0,3.1,6.6,8.4,0.0,0.0,1.0,1,0.47681187255859375,True,REGULAR,USD,FTV,0,2025-05-16,2025-04-23 13:03:20.854867,67.54499816894531
FTV250620C00065000,2025-04-07 16:00:13+00:00,65.0,4.3,4.5,5.8,0.0,0.0,,1,0.4155331884765625,True,REGULAR,USD,FTV,1,2025-06-20,2025-04-23 13:03:20.914015,67.54499816894531
FTV250620C00070000,2025-04-22 17:21:00+00:00,70.0,2.35,1.95,2.45,0.79999995,51.6129,2.0,372,0.32141791870117187,False,REGULAR,USD,FTV,1,2025-06-20,2025-04-23 13:03:20.914015,67.54499816894531
FTV250620C00075000,2025-04-21 15:05:24+00:00,75.0,0.45,0.0,1.05,0.0,0.0,23.0,102,0.3171455004882812,False,REGULAR,USD,FTV,1,2025-06-20,2025-04-23 13:03:20.914015,67.54499816894531
FTV250620C00080000,2025-04-17 15:43:45+00:00,80.0,0.2,0.15,0.4,0.0,0.0,11.0,432,0.31690136230468746,False,REGULAR,USD,FTV,1,2025-06-20,2025-04-23 13:03:20.914015,67.54499816894531
FTV250620C00085000,2025-04-08 16:02:28+00:00,85.0,0.18,0.0,1.45,0.0,0.0,2.0,110,0.5722699023437501,False,REGULAR,USD,FTV,1,2025-06-20,2025-04-23 13:03:20.914015,67.54499816894531
FTV250620C00090000,2025-04-11 17:57:20+00:00,90.0,0.2,0.0,1.4,0.0,0.0,3.0,13,0.5336960693359375,False,REGULAR,USD,FTV,1,2025-06-20,2025-04-23 13:03:20.914015,67.54499816894531
FTV250620C00100000,2025-03-31 15:50:17+00:00,100.0,0.05,0.0,0.75,0.0,0.0,,1,0.5835002587890624,False,REGULAR,USD,FTV,1,2025-06-20,2025-04-23 13:03:20.914015,67.54499816894531
FTV250620P00045000,2025-04-09 17:21:30+00:00,45.0,0.6,0.0,0.75,0.0,0.0,,1,0.6513706738281251,False,REGULAR,USD,FTV,0,2025-06-20,2025-04-23 13:03:20.915018,67.54499816894531
FTV250620P00050000,2025-04-09 17:21:29+00:00,50.0,1.1,0.0,0.75,0.0,0.0,,1,0.5097705273437501,False,REGULAR,USD,FTV,0,2025-06-20,2025-04-23 13:03:20.915018,67.54499816894531
FTV250620P00055000,2025-04-03 19:17:47+00:00,55.0,0.75,0.0,1.0,0.0,0.0,17.0,17,0.5043994873046875,False,REGULAR,USD,FTV,0,2025-06-20,2025-04-23 13:03:20.915018,67.54499816894531
FTV250620P00060000,2025-04-22 13:30:03+00:00,60.0,1.45,0.8,1.5,0.0,0.0,1.0,2,0.4162656030273437,False,REGULAR,USD,FTV,0,2025-06-20,2025-04-23 13:03:20.915018,67.54499816894531
FTV250620P00065000,2025-04-22 17:16:57+00:00,65.0,3.1,0.95,2.75,0.0,0.0,1.0,25,0.36646141357421874,False,REGULAR,USD,FTV,0,2025-06-20,2025-04-23 13:03:20.915018,67.54499816894531
FTV250620P00070000,2025-04-23 14:10:14+00:00,70.0,3.9,4.5,5.1,-3.56,-47.72118,2.0,12,0.3398503515625,True,REGULAR,USD,FTV,0,2025-06-20,2025-04-23 13:03:20.915018,67.54499816894531
FTV250620P00075000,2025-04-09 15:32:32+00:00,75.0,14.3,7.8,8.9,0.0,0.0,1.0,24,0.36377589355468753,True,REGULAR,USD,FTV,0,2025-06-20,2025-04-23 13:03:20.915018,67.54499816894531
FTV250620P00080000,2025-03-31 17:53:33+00:00,80.0,7.4,11.1,13.4,0.0,0.0,1.0,1,0.40845318115234375,True,REGULAR,USD,FTV,0,2025-06-20,2025-04-23 13:03:20.915018,67.54499816894531
FTV250620P00085000,2024-12-30 15:04:15+00:00,85.0,11.06,3.6,8.4,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,FTV,0,2025-06-20,2025-04-23 13:03:20.915018,67.54499816894531
