contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
F250425C00005500,2025-04-23 14:08:40+00:00,5.5,4.39,4.2,4.35,0.25,6.0386477,8.0,219.0,2.6250034375,True,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00006000,2025-04-22 19:46:12+00:00,6.0,3.65,3.75,3.8,0.0,0.0,3.0,107.0,1.0000000000000003e-05,True,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00006500,2025-04-21 14:39:48+00:00,6.5,3.42,3.25,3.35,0.45000005,15.151516,10.0,62.0,1.9375003125,True,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00007000,2025-04-23 13:51:26+00:00,7.0,2.95,2.68,2.94,0.29999995,11.320753,22.0,380.0,2.8593778515625,True,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00007500,2025-04-23 14:54:30+00:00,7.5,2.3,2.2,2.38,0.16999984,7.981213,8.0,362.0,1.890625546875,True,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00008000,2025-04-23 15:14:23+00:00,8.0,1.9,1.76,1.94,0.24000001,14.457831,25.0,602.0,1.0625046875000002,True,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00008500,2025-04-23 14:52:00+00:00,8.5,1.34,1.27,1.3,0.16000009,13.559329,50.0,787.0,1.0000000000000003e-05,True,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00009000,2025-04-23 16:05:41+00:00,9.0,0.82,0.78,0.83,0.14999998,22.388056,230.0,3003.0,1.0000000000000003e-05,True,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00009500,2025-04-23 16:31:58+00:00,9.5,0.35,0.33,0.35,0.06999999,29.166662,4421.0,30630.0,0.2500075,True,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00010000,2025-04-23 16:30:52+00:00,10.0,0.07,0.07,0.08,0.010000002,16.66667,9905.0,40809.0,0.4023497265625,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00010500,2025-04-23 16:25:07+00:00,10.5,0.02,0.01,0.02,0.0,0.0,1870.0,15603.0,0.5312546875,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00011000,2025-04-23 15:36:33+00:00,11.0,0.01,0.0,0.01,0.0,0.0,18.0,9976.0,0.6250037500000001,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00011500,2025-04-23 13:33:34+00:00,11.5,0.01,0.0,0.01,0.0,0.0,1.0,3407.0,0.8125018749999999,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00012000,2025-04-21 14:08:41+00:00,12.0,0.01,0.0,0.01,0.0,0.0,1.0,674.0,0.98437515625,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00012500,2025-04-17 13:32:48+00:00,12.5,0.03,0.0,0.01,0.0,0.0,1.0,465.0,1.1875040625,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00013000,2025-04-15 13:47:43+00:00,13.0,0.05,0.0,0.01,0.0,0.0,1.0,67.0,1.3125034374999998,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00013500,2025-04-14 13:41:25+00:00,13.5,0.02,0.0,0.01,0.0,0.0,2.0,56.0,1.5000025,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00015000,2025-04-07 15:14:08+00:00,15.0,0.13,0.0,0.01,0.0,0.0,,1.0,1.875000625,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425C00017500,2025-04-22 13:59:24+00:00,17.5,0.01,0.0,0.01,0.0,0.0,1.0,11.0,2.50000375,False,REGULAR,USD,F,1,2025-04-25,2025-04-23 13:03:18.598673,9.845000267028809
F250425P00005500,2025-04-10 18:26:39+00:00,5.5,0.05,0.0,0.01,0.0,0.0,,1.0,2.6250034375,False,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00006000,2025-04-21 13:31:47+00:00,6.0,0.01,0.0,0.01,0.0,0.0,88.0,263.0,2.3125042187499996,False,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00006500,2025-04-21 13:31:47+00:00,6.5,0.01,0.0,0.01,0.0,0.0,108.0,149.0,1.9375003125,False,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00007000,2025-04-21 13:36:27+00:00,7.0,0.02,0.0,0.03,0.01,100.0,1.0,254.0,1.9375003125,False,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00007500,2025-04-22 16:09:39+00:00,7.5,0.02,0.0,0.01,0.0,0.0,2.0,486.0,1.3750031249999999,False,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00008000,2025-04-23 13:33:34+00:00,8.0,0.01,0.0,0.01,0.0,0.0,4.0,1368.0,1.0625046875000002,False,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00008500,2025-04-23 15:36:09+00:00,8.5,0.01,0.0,0.01,-0.01,-50.0,78.0,13632.0,0.8125018749999999,False,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00009000,2025-04-23 16:25:47+00:00,9.0,0.01,0.01,0.02,-0.03,-75.0,800.0,8801.0,0.64062859375,False,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00009500,2025-04-23 16:33:03+00:00,9.5,0.06,0.06,0.07,-0.06,-46.153847,4467.0,12865.0,0.5390671093750001,False,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00010000,2025-04-23 16:32:33+00:00,10.0,0.29,0.27,0.3,-0.120000005,-29.268293,3391.0,2950.0,0.5507857421875001,True,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00010500,2025-04-23 15:51:41+00:00,10.5,0.74,0.73,0.77,-0.120000005,-13.953488,26.0,4013.0,0.87500125,True,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00011000,2025-04-23 15:23:03+00:00,11.0,1.16,1.21,1.27,-0.20000005,-14.705885,64.0,934.0,1.171879140625,True,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00011500,2025-04-22 17:11:29+00:00,11.5,1.7,1.69,1.89,-0.14999998,-8.108107,1.0,29.0,1.703126484375,True,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00012000,2025-04-22 13:49:12+00:00,12.0,2.12,2.24,2.46,-0.23000002,-9.787235,5.0,24.0,2.2500043749999996,True,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00012500,2025-04-14 15:46:19+00:00,12.5,3.3,2.51,2.77,0.0,0.0,1.0,2.0,2.14844212890625,True,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00013000,2025-04-23 15:49:48+00:00,13.0,3.1,2.64,3.25,-0.23000002,-6.9069076,6.0,7.0,2.2734418164062498,True,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
F250425P00013500,2025-04-23 15:41:46+00:00,13.5,3.55,3.55,3.8,-0.34000015,-8.740363,14.0,14.0,1.8125009374999999,True,REGULAR,USD,F,0,2025-04-25,2025-04-23 13:03:18.600678,9.845000267028809
