contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GDDY250425C00160000,2025-04-09 17:18:45+00:00,160.0,10.1,15.6,18.1,0.0,0.0,,1.0,1.0600632934570315,1.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00170000,2025-04-23 13:38:45+00:00,170.0,7.13,5.7,7.7,4.73,197.08333,2.0,5.0,0.5024463818359376,1.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00172500,2025-04-22 19:21:25+00:00,172.5,6.03,4.5,5.6,4.9800005,474.2859,6.0,8.0,0.46143116699218756,1.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00175000,2025-04-23 16:27:05+00:00,175.0,2.7,2.3,3.5,2.0500002,315.3847,6.0,22.0,0.3864807446289062,1.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00177500,2025-04-22 19:41:35+00:00,177.5,2.9,1.45,2.05,2.7,1349.9996,2.0,84.0,0.3676821044921875,0.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00180000,2025-04-23 13:45:43+00:00,180.0,1.17,0.55,1.1,0.39,50.0,1.0,14.0,0.36304347900390627,0.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00182500,2025-04-23 13:40:16+00:00,182.5,0.4,0.15,0.6,0.35,699.9998,47.0,4.0,0.37793590820312495,0.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00185000,2025-04-16 19:00:53+00:00,185.0,0.25,0.0,0.4,-0.58,-69.87952,4.0,8.0,0.41992767578125,0.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00187500,2025-04-15 19:45:49+00:00,187.5,0.69,0.0,0.7,0.110000014,18.96552,4.0,4.0,0.59570716796875,0.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00190000,2025-04-16 19:00:53+00:00,190.0,0.71,0.0,0.25,0.0,0.0,3.0,11.0,0.523442265625,0.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00195000,2025-04-04 17:12:04+00:00,195.0,2.1,0.0,1.0,0.0,0.0,1.0,1.0,0.77929908203125,0.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425C00210000,2025-04-21 14:28:30+00:00,210.0,0.16,0.0,1.0,0.0,0.0,2.0,1.0,1.1943399658203124,0.0,REGULAR,USD,GDDY,1,2025-04-25,2025-04-23 13:03:38.045851,176.86000061035156
GDDY250425P00130000,2025-04-22 15:08:37+00:00,130.0,0.18,0.0,0.05,0.0,0.0,2.0,5.0,1.2968785156249998,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00140000,2025-04-08 17:33:51+00:00,140.0,1.4,0.0,0.75,0.0,0.0,,10.0,1.501955615234375,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00145000,2025-04-21 18:19:01+00:00,145.0,0.76,0.0,1.0,0.0,0.0,3.0,3.0,1.3925811621093749,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00150000,2025-04-21 18:19:01+00:00,150.0,0.91,0.0,0.75,0.0,0.0,3.0,4.0,1.126957490234375,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00155000,2025-04-21 17:18:41+00:00,155.0,0.05,0.0,0.95,-0.63,-92.64706,1.0,31.0,0.9941406835937501,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00160000,2025-04-21 19:58:41+00:00,160.0,1.5,0.0,0.75,0.0,0.0,7.0,7.0,0.7587914746093751,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00162500,2025-04-08 13:34:32+00:00,162.5,2.75,0.0,1.5,0.0,0.0,,0.0,0.8042011767578124,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00165000,2025-04-21 17:20:29+00:00,165.0,3.02,0.1,0.35,0.0,0.0,1.0,20.0,0.506840869140625,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00170000,2025-04-22 19:04:32+00:00,170.0,2.3,0.4,0.75,0.0,0.0,2.0,7.0,0.4809622216796875,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00175000,2025-04-07 15:14:43+00:00,175.0,15.5,1.3,2.2,0.0,0.0,9.0,14.0,0.4777884252929688,0.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00177500,2025-04-15 16:01:43+00:00,177.5,5.22,2.0,3.3,0.0,0.0,,1.0,0.4633842724609375,1.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00180000,2025-04-22 18:46:54+00:00,180.0,10.6,4.1,5.6,0.0,0.0,1.0,5.0,0.5930216479492189,1.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00185000,2025-04-04 16:46:24+00:00,185.0,18.5,7.7,9.9,0.0,0.0,2.0,3.0,0.7282742016601562,1.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00187500,2025-04-17 18:42:24+00:00,187.5,15.08,10.4,12.3,0.0,0.0,10.0,16.0,0.5986368261718751,1.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00190000,2025-04-03 18:33:06+00:00,190.0,13.3,12.3,14.8,0.0,0.0,1.0,0.0,0.5898478515625001,1.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
GDDY250425P00192500,2025-04-07 14:11:10+00:00,192.5,31.1,14.7,18.1,0.0,0.0,,0.0,0.788088056640625,1.0,REGULAR,USD,GDDY,0,2025-04-25,2025-04-23 13:03:38.046854,176.86000061035156
