contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GD250425C00160000,2025-04-09 17:19:55+00:00,160.0,106.6,103.7,107.5,0.0,0.0,,0,3.2070332324218747,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00230000,2025-04-11 14:09:18+00:00,230.0,43.49,34.2,37.3,0.0,0.0,,3,1.0971724829101563,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00240000,2025-04-04 18:32:03+00:00,240.0,18.6,24.6,27.0,0.0,0.0,3.0,3,0.7475611181640626,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00245000,2025-04-07 18:00:52+00:00,245.0,12.8,19.7,22.2,0.0,0.0,1.0,0,0.6879914013671876,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00250000,2025-04-08 14:40:12+00:00,250.0,14.59,14.7,16.6,0.0,0.0,4.0,6,0.335944140625,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00255000,2025-04-11 15:00:00+00:00,255.0,20.23,9.5,12.6,0.0,0.0,,1,0.5036670727539063,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00257500,2025-04-23 16:22:02+00:00,257.5,8.09,8.5,10.3,-14.869999,-64.76481,1.0,1,0.459966337890625,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00260000,2025-04-22 13:39:26+00:00,260.0,12.1,6.5,8.0,0.0,0.0,1.0,10,0.40698835205078127,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00262500,2025-04-22 17:40:29+00:00,262.5,11.6,4.8,5.5,0.0,0.0,1.0,1,0.31958688232421867,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00265000,2025-04-22 15:32:46+00:00,265.0,10.4,3.3,4.4,0.0,0.0,6.0,11,0.3715883154296875,True,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00267500,2025-04-23 13:53:28+00:00,267.5,3.0,2.1,2.75,-6.74,-69.19918,7.0,52,0.3315496533203125,False,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00270000,2025-04-23 14:15:59+00:00,270.0,3.15,1.15,2.2,-5.5499997,-63.793106,15.0,17,0.3781800463867187,False,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
GD250425C00272500,2025-04-23 15:56:17+00:00,272.5,1.12,0.65,1.1,-5.58,-83.283585,16.0,54,0.3327703442382813,False,REGULAR,USD,GD,1,2025-04-25,2025-04-23 13:03:31.103410,266.55010986328125
