contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GEN250516C00015000,2025-04-08 17:08:04+00:00,15.0,9.01,9.4,10.6,0.0,0.0,2.0,6,1.46875265625,True,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00016000,2025-04-16 19:11:24+00:00,16.0,8.3,8.5,9.9,0.0,0.0,,21,1.517580537109375,True,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00022000,2025-02-24 19:55:53+00:00,22.0,5.79,5.6,6.1,0.0,0.0,10.0,11,1.8505866845703123,True,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00023000,2025-04-23 14:47:01+00:00,23.0,2.36,2.0,2.25,0.55999994,31.111107,6.0,109,0.5019581054687501,True,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00024000,2025-04-23 14:27:41+00:00,24.0,1.61,1.2,1.4,0.46000004,40.000004,4.0,165,0.40918559570312496,True,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00025000,2025-04-23 13:30:04+00:00,25.0,0.95,0.7,0.85,0.25,35.714287,12.0,71,0.39258419921875,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00026000,2025-04-22 19:20:22+00:00,26.0,0.55,0.35,0.45,0.20000002,57.142864,251.0,278,0.37305314453125,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00027000,2025-04-23 15:06:43+00:00,27.0,0.2,0.15,0.25,0.010000005,5.2631607,740.0,90,0.38281867187499996,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00028000,2025-04-23 13:30:04+00:00,28.0,0.31,0.05,0.15,0.22,244.44443,2.0,92,0.405279384765625,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00029000,2025-04-22 19:19:28+00:00,29.0,0.03,0.0,0.2,0.0,0.0,1.0,88,0.5214891601562499,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00030000,2025-04-15 16:35:59+00:00,30.0,0.19,0.0,0.7,0.0,0.0,24.0,108,0.70312796875,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00031000,2025-04-08 14:10:13+00:00,31.0,0.02,0.0,0.75,0.0,0.0,2.0,47,0.795900478515625,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00032000,2025-03-10 18:51:08+00:00,32.0,0.3,0.0,0.3,0.0,0.0,75.0,175,0.6835969140625001,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00033000,2025-01-30 20:30:36+00:00,33.0,0.45,0.1,0.2,0.0,0.0,16.0,30,0.7421900781249999,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00034000,2025-01-07 14:45:42+00:00,34.0,0.3,0.0,0.0,0.0,0.0,2.0,3,0.2500075,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00035000,2025-04-17 18:18:55+00:00,35.0,0.05,0.0,0.75,0.0,0.0,10.0,10,1.0605515722656251,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00036000,2024-12-03 18:25:18+00:00,36.0,0.75,0.0,0.15,0.0,0.0,,5,0.7929708203125,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00037000,2024-12-09 20:55:06+00:00,37.0,0.6,0.0,1.4,0.0,0.0,,2,1.400393623046875,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516C00038000,2024-12-05 18:06:33+00:00,38.0,0.63,0.0,1.35,0.0,0.0,,729,1.443362158203125,False,REGULAR,USD,GEN,1,2025-05-16,2025-04-23 13:03:29.760038,24.690000534057617
GEN250516P00020000,2025-04-10 15:57:53+00:00,20.0,0.35,0.0,0.75,0.0,0.0,,56,0.8115253222656249,False,REGULAR,USD,GEN,0,2025-05-16,2025-04-23 13:03:29.762043,24.690000534057617
GEN250516P00021000,2025-04-10 18:01:34+00:00,21.0,0.45,0.1,0.45,0.0,0.0,30.0,42,0.6084023535156251,False,REGULAR,USD,GEN,0,2025-05-16,2025-04-23 13:03:29.762043,24.690000534057617
GEN250516P00022000,2025-04-09 17:27:07+00:00,22.0,0.6,0.2,0.35,0.0,0.0,7.0,17,0.5312546875,False,REGULAR,USD,GEN,0,2025-05-16,2025-04-23 13:03:29.762043,24.690000534057617
GEN250516P00023000,2025-04-23 15:36:49+00:00,23.0,0.35,0.4,0.7,-0.20000002,-36.36364,30.0,18,0.56836369140625,False,REGULAR,USD,GEN,0,2025-05-16,2025-04-23 13:03:29.762043,24.690000534057617
