contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GE250425C00125000,2025-04-04 13:30:12+00:00,125.0,57.2,68.25,70.55,0.0,0.0,1.0,1.0,2.853518491210937,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00140000,2025-04-07 15:38:56+00:00,140.0,29.37,53.6,55.7,0.0,0.0,1.0,1.0,2.317387019042968,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00145000,2025-04-07 19:18:19+00:00,145.0,26.1,48.45,49.95,0.0,0.0,,5.0,1.47265888671875,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00152500,2025-04-10 19:40:34+00:00,152.5,30.3,40.7,42.25,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00155000,2025-04-22 14:27:49+00:00,155.0,30.55,38.8,40.3,0.0,0.0,1.0,6.0,1.5029321728515623,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00157500,2025-04-07 19:18:19+00:00,157.5,16.7,36.2,37.65,0.0,0.0,,1.0,1.3115268798828121,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00160000,2025-04-22 14:44:54+00:00,160.0,26.35,33.5,35.4,0.0,0.0,1.0,27.0,1.3857452587890622,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00162500,2025-04-21 19:53:42+00:00,162.5,33.47,30.95,32.45,16.37,95.731,3.0,4.0,0.9609378906249999,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00165000,2025-04-21 19:59:30+00:00,165.0,30.99,28.35,30.6,16.09,107.98658,3.0,66.0,1.2998081884765622,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00167500,2025-04-22 17:17:07+00:00,167.5,18.2,25.95,27.5,0.0,0.0,1.0,22.0,0.87500125,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
GE250425C00170000,2025-04-22 18:41:47+00:00,170.0,26.64,24.0,24.6,8.789999,49.24369,19.0,286.0,1.0000000000000003e-05,True,REGULAR,USD,GE,1,2025-04-25,2025-04-23 13:03:26.066013,194.84500122070312
