contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GIS250516C00047500,2025-03-14 16:19:54+00:00,47.5,12.49,0.0,0.0,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00050000,2025-04-22 16:02:24+00:00,50.0,8.4,6.7,8.6,0.0,0.0,1.0,1,0.5346726220703125,True,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00052500,2025-04-11 14:37:25+00:00,52.5,5.89,4.8,5.0,0.0,0.0,1.0,2,0.35938140625,True,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00055000,2025-04-22 13:51:37+00:00,55.0,3.7,2.75,2.95,0.0,0.0,1.0,200,0.31153032226562494,True,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00057500,2025-04-23 15:54:21+00:00,57.5,1.3,1.25,1.5,-0.5,-27.777779,90.0,721,0.2981027221679687,False,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00060000,2025-04-23 16:18:38+00:00,60.0,0.41,0.4,0.65,-0.34,-45.333332,95.0,3148,0.29444064941406245,False,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00062500,2025-04-23 15:51:43+00:00,62.5,0.14,0.1,0.15,-0.049999997,-26.315786,21.0,2195,0.25977302734375,False,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00065000,2025-04-23 16:15:23+00:00,65.0,0.07,0.05,0.1,0.0,0.0,2.0,961,0.31055376953124997,False,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00067500,2025-04-14 18:38:48+00:00,67.5,0.1,0.0,0.1,0.0,0.0,1.0,153,0.3789124609375,False,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00070000,2025-04-22 15:19:48+00:00,70.0,0.04,0.0,0.05,0.0,0.0,10.0,533,0.39453730468750003,False,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00072500,2025-04-17 14:54:31+00:00,72.5,0.05,0.0,0.5,0.0,0.0,3.0,3,0.6005899316406251,False,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516C00075000,2025-03-31 16:24:19+00:00,75.0,0.06,0.0,0.5,0.0,0.0,1.0,24,0.6640658593750002,False,REGULAR,USD,GIS,1,2025-05-16,2025-04-23 13:03:32.429940,56.98500061035156
GIS250516P00037500,2025-03-06 15:13:23+00:00,37.5,0.05,0.0,1.9,0.0,0.0,,1,1.3837921435546874,False,REGULAR,USD,GIS,0,2025-05-16,2025-04-23 13:03:32.430943,56.98500061035156
GIS250516P00040000,2025-04-14 13:30:16+00:00,40.0,0.05,0.0,0.1,0.0,0.0,1.0,6,0.6523472265625001,False,REGULAR,USD,GIS,0,2025-05-16,2025-04-23 13:03:32.430943,56.98500061035156
