contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GL250516C00055000,2024-12-16 05:02:55+00:00,55.0,59.0,50.4,53.5,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
GL250516C00080000,2024-12-19 19:05:11+00:00,80.0,29.0,41.2,43.5,0.0,0.0,1.0,1,0.940430283203125,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
GL250516C00085000,2025-04-08 16:23:02+00:00,85.0,33.55,37.4,40.5,0.0,0.0,1.0,28,0.9819337744140625,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
GL250516C00090000,2025-04-01 17:26:59+00:00,90.0,41.9,32.4,35.5,0.0,0.0,1.0,59,0.8579115771484375,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
GL250516C00095000,2025-03-21 14:52:44+00:00,95.0,33.2,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
GL250516C00100000,2025-03-31 19:13:51+00:00,100.0,31.7,23.0,25.8,0.0,0.0,10.0,10,0.7070341796875,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
GL250516C00105000,2025-04-16 16:32:36+00:00,105.0,19.9,18.4,20.8,0.0,0.0,11.0,25,0.6135292553710938,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
GL250516C00110000,2025-04-16 16:29:55+00:00,110.0,15.52,14.4,16.8,0.0,0.0,10.0,37,0.6042520043945314,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
GL250516C00115000,2025-04-21 16:54:12+00:00,115.0,7.2,10.1,11.7,0.0,0.0,1.0,39,0.5647016186523439,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
GL250516C00120000,2025-04-22 16:27:14+00:00,120.0,6.2,6.6,7.5,0.0,0.0,1.0,57,0.46582565429687506,True,REGULAR,USD,GL,1,2025-05-16,2025-04-23 13:03:37.539633,123.1500015258789
