contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GNRC250516C00075000,2025-01-23 14:38:09+00:00,75.0,78.0,62.3,66.0,0.0,0.0,1.0,1,4.855228540344237,True,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00080000,2025-04-08 19:50:59+00:00,80.0,24.8,31.1,33.8,0.0,0.0,,10,0.76367423828125,True,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00085000,2025-04-07 14:11:03+00:00,85.0,28.5,26.4,28.0,0.0,0.0,,1,0.5019581054687501,True,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00090000,2025-04-23 15:17:03+00:00,90.0,24.81,21.9,23.7,-4.700001,-15.926806,1.0,2,0.6357458300781251,True,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00095000,2025-04-09 14:48:29+00:00,95.0,13.6,18.1,18.7,0.0,0.0,,1,0.622074091796875,True,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00100000,2025-04-15 16:37:59+00:00,100.0,16.3,14.0,14.6,0.0,0.0,2.0,5,0.601810622558594,True,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00105000,2025-04-22 16:16:42+00:00,105.0,11.0,10.3,10.8,0.0,0.0,1.0,42,0.5732464550781251,True,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00110000,2025-04-22 17:59:54+00:00,110.0,6.3,7.3,7.7,0.0,0.0,25.0,91,0.5618940295410157,True,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00115000,2025-04-23 15:18:02+00:00,115.0,5.97,4.8,5.2,1.5699997,35.681812,12.0,206,0.5454147021484376,False,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00120000,2025-04-23 15:19:31+00:00,120.0,3.6,2.9,3.5,0.6999998,24.137924,9.0,189,0.5377243493652344,False,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00125000,2025-04-23 14:29:49+00:00,125.0,2.35,1.55,1.85,0.6999999,42.42424,19.0,941,0.5029346582031251,False,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00130000,2025-04-23 16:05:06+00:00,130.0,0.96,0.85,1.05,0.060000002,6.666667,25.0,354,0.5148974291992188,False,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
GNRC250516C00135000,2025-04-23 13:30:01+00:00,135.0,0.65,0.45,0.6,0.16999999,35.416664,1.0,118,0.5012256909179689,False,REGULAR,USD,GNRC,1,2025-05-16,2025-04-23 13:03:30.178645,112.12999725341797
