contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GOOG250425C00085000,2025-04-07 14:17:10+00:00,85.0,70.2,71.8,72.35,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00095000,2025-04-17 14:10:24+00:00,95.0,60.58,61.9,62.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00100000,2025-04-17 16:15:21+00:00,100.0,53.5,56.95,57.55,0.0,0.0,2.0,4,1.9765626171875001,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00110000,2025-04-17 14:10:43+00:00,110.0,45.85,46.5,47.05,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00120000,2025-04-22 14:04:23+00:00,120.0,37.95,37.0,37.55,5.7700005,17.930393,2.0,11,1.2421912890624998,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00128000,2025-04-22 16:15:16+00:00,128.0,26.3,28.5,29.1,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00130000,2025-04-22 16:34:10+00:00,130.0,27.6,26.55,27.2,3.1000004,12.653063,4.0,33,1.0000000000000003e-05,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00135000,2025-04-22 15:58:42+00:00,135.0,18.3,21.6,22.1,0.0,0.0,2.0,30,1.0000000000000003e-05,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00137000,2025-04-21 14:07:21+00:00,137.0,21.65,20.15,20.6,8.049999,59.19117,1.0,2,0.773439765625,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00138000,2025-04-23 13:31:32+00:00,138.0,20.5,19.05,19.8,4.7799997,30.407122,1.0,12,0.9160164648437501,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00139000,2025-04-23 15:47:48+00:00,139.0,18.4,18.35,18.95,2.4499998,15.3605,2.0,88,0.7597680273437502,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00140000,2025-04-23 14:21:37+00:00,140.0,17.2,17.6,18.15,3.3300009,24.00866,13.0,201,0.8798840136718749,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00141000,2025-04-22 18:18:39+00:00,141.0,17.47,16.25,16.95,4.5699997,35.426353,1.0,80,0.6367223828125,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00142000,2025-04-22 13:44:46+00:00,142.0,10.96,15.6,16.0,0.0,0.0,2.0,38,0.754885263671875,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00143000,2025-04-23 16:00:17+00:00,143.0,14.93,14.85,15.4,3.5100002,30.735554,71.0,87,0.8642591699218749,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00144000,2025-04-23 15:53:16+00:00,144.0,13.9,13.85,14.3,2.3999996,20.869562,93.0,169,0.79883013671875,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00145000,2025-04-23 15:41:03+00:00,145.0,13.05,12.85,13.35,2.5500002,24.285715,74.0,227,0.762697685546875,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00146000,2025-04-23 14:54:22+00:00,146.0,14.3,12.3,12.55,4.95,52.94117,161.0,99,0.8237322314453124,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00147000,2025-04-23 16:01:00+00:00,147.0,11.4,11.5,11.8,2.3999996,26.666664,170.0,72,0.8374039697265624,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00148000,2025-04-23 15:51:13+00:00,148.0,10.65,10.6,10.75,2.2999992,27.544899,91.0,232,0.79101771484375,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00149000,2025-04-23 16:01:00+00:00,149.0,9.7,9.75,9.9,2.0499997,26.79738,66.0,361,0.7749045947265626,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00150000,2025-04-23 16:13:55+00:00,150.0,9.05,9.25,9.4,2.1800003,31.732174,226.0,1386,0.8334977587890623,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00152500,2025-04-23 16:26:28+00:00,152.5,7.2,7.15,7.3,1.3999996,24.137924,309.0,729,0.760012165527344,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00155000,2025-04-23 16:23:09+00:00,155.0,5.75,5.85,5.95,1.4000001,32.18391,1374.0,2285,0.8027363476562499,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00157500,2025-04-23 16:22:54+00:00,157.5,4.4,4.4,4.5,1.1500001,35.384617,783.0,2610,0.780275634765625,True,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00160000,2025-04-23 16:25:52+00:00,160.0,3.29,3.4,3.5,1.05,46.874996,3821.0,3405,0.7993184130859375,False,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00162500,2025-04-23 16:29:22+00:00,162.5,2.5,2.5,2.57,1.01,67.78523,2025.0,1942,0.7963887548828125,False,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00165000,2025-04-23 16:27:21+00:00,165.0,1.6,1.65,1.72,0.63,64.94845,3010.0,4932,0.7661156201171876,False,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00167500,2025-04-23 16:21:29+00:00,167.5,1.04,1.1,1.15,0.43999994,73.33332,1610.0,2160,0.7563500927734376,False,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00170000,2025-04-23 16:29:32+00:00,170.0,0.76,0.73,0.78,0.39999998,111.1111,3463.0,4582,0.7578149218750001,False,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00172500,2025-04-23 16:11:15+00:00,172.5,0.46,0.45,0.47,0.23,100.0,526.0,1508,0.745119736328125,False,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
GOOG250425C00175000,2025-04-23 16:17:57+00:00,175.0,0.3,0.29,0.32,0.17000002,130.76926,1432.0,2585,0.754885263671875,False,REGULAR,USD,GOOG,1,2025-04-25,2025-04-23 13:00:15.404366,157.52000427246094
