contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GPC250516C00075000,2025-02-13 16:10:28+00:00,75.0,48.88,45.8,49.9,0.0,0.0,1.0,1,2.1049852062988275,True,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00080000,2024-12-16 05:01:56+00:00,80.0,40.0,40.0,44.9,0.0,0.0,,1,1.8344734838867183,True,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00085000,2025-02-11 16:06:50+00:00,85.0,36.5,36.0,40.1,0.0,0.0,2.0,0,1.7153334545898438,True,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00090000,2024-12-16 05:01:56+00:00,90.0,26.57,30.8,35.5,0.0,0.0,,3,1.5317406225585937,True,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00095000,2025-03-03 19:38:17+00:00,95.0,30.44,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00100000,2025-04-21 18:54:42+00:00,100.0,12.9,17.0,18.1,0.0,0.0,4.0,38,0.5380905566406251,True,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00105000,2025-04-09 17:23:00+00:00,105.0,9.75,12.5,13.3,0.0,0.0,14.0,26,0.44434149414062496,True,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00110000,2025-04-23 14:52:51+00:00,110.0,9.4,8.3,8.7,2.4199996,34.67048,8.0,287,0.3591372680664062,True,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00115000,2025-04-23 16:21:31+00:00,115.0,4.4,4.3,4.8,0.60000014,15.789478,7.0,974,0.3042061767578125,True,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00120000,2025-04-23 15:16:47+00:00,120.0,2.4,1.9,2.35,0.6500001,37.14286,19.0,1168,0.295905478515625,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00125000,2025-04-23 16:10:44+00:00,125.0,0.55,0.45,0.95,0.0,0.0,10.0,718,0.28955788574218744,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00130000,2025-04-23 15:01:31+00:00,130.0,0.25,0.0,0.25,-0.050000012,-16.66667,3.0,503,0.2700268310546875,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00135000,2025-04-22 16:39:21+00:00,135.0,0.26,0.0,0.3,0.0,0.0,3.0,254,0.35645174804687496,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00140000,2025-04-23 16:15:45+00:00,140.0,0.04,0.0,0.1,-0.010000002,-16.666668,5.0,162,0.348639326171875,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00145000,2025-04-22 19:51:55+00:00,145.0,0.05,0.0,0.75,0.0,0.0,1.0,116,0.5117236328125,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00150000,2025-04-08 17:10:03+00:00,150.0,0.1,0.0,0.75,0.0,0.0,1.0,42,0.5737347314453125,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00155000,2025-02-26 16:33:50+00:00,155.0,0.18,0.0,1.35,0.0,0.0,7.0,29,0.7138700488281251,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00160000,2025-03-25 15:01:50+00:00,160.0,0.1,0.0,0.75,0.0,0.0,1.0,15,0.6884796777343751,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00165000,2024-11-21 18:51:33+00:00,165.0,0.55,0.05,1.6,0.0,0.0,,5,0.867188828125,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00170000,2024-12-10 15:44:56+00:00,170.0,0.5,0.0,1.45,0.0,0.0,1.0,3,0.8984385156249999,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00175000,2024-12-16 05:01:56+00:00,175.0,0.5,0.1,2.15,0.0,0.0,1.0,0,1.0449266503906252,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00180000,2024-12-16 05:01:56+00:00,180.0,0.49,0.1,2.35,0.0,0.0,1.0,10,1.1196333081054686,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00185000,2024-12-06 15:23:08+00:00,185.0,0.5,0.0,1.4,0.0,0.0,1.0,1,1.0424852563476565,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00190000,2024-12-16 05:01:56+00:00,190.0,0.55,0.05,2.1,0.0,0.0,1.0,1,1.1865275048828123,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516C00195000,2024-12-02 17:17:31+00:00,195.0,0.15,0.0,1.55,0.0,0.0,,1,1.1552776611328124,False,REGULAR,USD,GPC,1,2025-05-16,2025-04-23 13:03:34.557822,117.16999816894531
GPC250516P00070000,2025-04-21 18:00:37+00:00,70.0,0.15,0.0,0.75,0.0,0.0,5.0,13,1.1201215869140624,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00075000,2024-12-03 19:13:33+00:00,75.0,0.25,0.0,1.6,0.0,0.0,2.0,9,1.15625421875,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00080000,2025-04-22 16:24:45+00:00,80.0,0.05,0.0,0.75,0.0,0.0,6.0,106,0.866212275390625,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00085000,2025-04-21 19:42:59+00:00,85.0,0.37,0.0,0.15,0.0,0.0,10.0,54,0.5742230078125,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00090000,2025-04-22 13:33:35+00:00,90.0,0.05,0.05,0.6,-0.29999998,-85.71428,5.0,45,0.6186561572265626,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00095000,2025-04-23 16:06:41+00:00,95.0,0.3,0.0,0.3,-0.030000001,-10.0,2.0,102,0.5039112109375,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00100000,2025-04-22 19:47:00+00:00,100.0,0.45,0.2,0.6,0.0,0.0,25.0,666,0.4753470434570312,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00105000,2025-04-23 16:06:41+00:00,105.0,0.65,0.5,0.7,-0.35000002,-35.000004,4.0,159,0.3794007373046875,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00110000,2025-04-23 15:22:17+00:00,110.0,1.0,1.0,1.3,-0.80999994,-44.751377,14.0,157,0.33374689697265625,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00115000,2025-04-22 18:49:35+00:00,115.0,2.17,1.45,2.65,-1.3299999,-38.0,1.0,207,0.30591514404296877,False,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00120000,2025-04-21 15:03:53+00:00,120.0,9.3,3.4,5.0,0.0,0.0,3.0,226,0.2802806347656249,True,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00125000,2025-04-22 18:02:23+00:00,125.0,10.61,7.7,8.7,0.0,0.0,13.0,294,0.28003649658203117,True,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00130000,2025-04-22 18:42:37+00:00,130.0,15.05,11.6,14.4,0.0,0.0,3.0,86,0.46680220703125,True,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00135000,2025-03-14 15:17:17+00:00,135.0,14.59,0.0,0.0,0.0,0.0,1.0,16,1.0000000000000003e-05,True,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00140000,2025-04-09 17:50:23+00:00,140.0,27.0,21.7,23.7,0.0,0.0,1.0,0,0.5468795312500001,True,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00145000,2025-02-13 14:30:07+00:00,145.0,23.61,22.0,24.9,0.0,0.0,4.0,1,1.0000000000000003e-05,True,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00150000,2024-12-16 05:01:57+00:00,150.0,28.3,26.8,31.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250516P00170000,2025-04-08 19:44:31+00:00,170.0,64.8,51.0,54.3,0.0,0.0,,0,1.0556687841796877,True,REGULAR,USD,GPC,0,2025-05-16,2025-04-23 13:03:34.558824,117.16999816894531
GPC250620C00095000,2025-01-10 14:47:00+00:00,95.0,23.4,29.5,33.2,0.0,0.0,1.0,2,1.078984097290039,True,REGULAR,USD,GPC,1,2025-06-20,2025-04-23 13:03:34.636029,117.16999816894531
GPC250620C00100000,2025-04-22 16:32:38+00:00,100.0,16.4,17.8,18.1,0.0,0.0,1.0,5,0.34314621704101556,True,REGULAR,USD,GPC,1,2025-06-20,2025-04-23 13:03:34.636029,117.16999816894531
GPC250620C00105000,2025-04-22 19:18:26+00:00,105.0,12.2,13.0,14.8,0.0,0.0,1.0,3,0.40039662109375,True,REGULAR,USD,GPC,1,2025-06-20,2025-04-23 13:03:34.636029,117.16999816894531
GPC250620C00110000,2025-04-09 15:05:22+00:00,110.0,5.9,9.6,9.9,0.0,0.0,3.0,5,0.30762411132812495,True,REGULAR,USD,GPC,1,2025-06-20,2025-04-23 13:03:34.636029,117.16999816894531
GPC250620C00115000,2025-04-22 14:58:09+00:00,115.0,5.2,6.0,6.6,0.0,0.0,1.0,86,0.2926096130371093,True,REGULAR,USD,GPC,1,2025-06-20,2025-04-23 13:03:34.636029,117.16999816894531
GPC250620C00120000,2025-04-23 15:58:33+00:00,120.0,3.8,3.3,5.0,0.77,25.412542,2.0,192,0.3321599987792969,False,REGULAR,USD,GPC,1,2025-06-20,2025-04-23 13:03:34.636029,117.16999816894531
GPC250620C00125000,2025-04-23 15:52:15+00:00,125.0,1.9,1.55,2.0,0.39999998,26.666664,8.0,1478,0.2557447473144532,False,REGULAR,USD,GPC,1,2025-06-20,2025-04-23 13:03:34.636029,117.16999816894531
GPC250620C00130000,2025-04-23 14:36:41+00:00,130.0,0.85,0.5,0.8,0.25,41.666664,3.0,2113,0.23499300170898438,False,REGULAR,USD,GPC,1,2025-06-20,2025-04-23 13:03:34.636029,117.16999816894531
