contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GPN250516C00055000,2024-12-16 05:02:05+00:00,55.0,50.7,58.5,62.3,0.0,0.0,2.0,1,10.298831688232424,True,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00060000,2025-04-22 13:32:55+00:00,60.0,9.9,12.6,13.2,0.0,0.0,1.0,12,0.659183095703125,True,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00065000,2025-04-23 14:55:56+00:00,65.0,9.65,8.3,8.5,1.5499992,19.135792,40.0,368,0.5473678076171876,True,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00070000,2025-04-23 15:47:00+00:00,70.0,5.1,5.0,5.2,0.5999999,13.333332,136.0,1636,0.5437057348632813,True,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00075000,2025-04-23 16:26:27+00:00,75.0,2.45,2.55,2.65,0.049999952,2.0833313,97.0,1589,0.514653291015625,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00080000,2025-04-23 13:58:44+00:00,80.0,1.38,1.05,1.15,0.40999997,42.268036,14.0,290,0.4997608618164063,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00085000,2025-04-23 13:51:40+00:00,85.0,0.55,0.25,0.45,0.20000002,57.142864,10.0,2080,0.4931691308593751,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00090000,2025-04-21 17:14:20+00:00,90.0,0.16,0.0,0.25,0.0,0.0,5.0,194,0.5361374511718751,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00095000,2025-04-23 14:05:34+00:00,95.0,0.11,0.05,0.75,0.0,0.0,1.0,385,0.6997100341796876,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00100000,2025-04-22 19:31:32+00:00,100.0,0.1,0.05,0.2,0.0,0.0,5.0,461,0.6435582519531251,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00105000,2025-04-22 18:08:26+00:00,105.0,0.1,0.0,0.2,0.07,233.33333,10.0,422,0.6972686523437501,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00110000,2025-04-22 18:48:05+00:00,110.0,0.03,0.0,0.05,0.0,0.0,1.0,428,0.6445348046875,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00115000,2025-04-22 18:40:53+00:00,115.0,0.03,0.0,0.05,-0.020000001,-40.000004,1.0,2581,0.70312796875,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00120000,2025-04-22 18:49:49+00:00,120.0,0.18,0.0,0.75,0.0,0.0,38.0,729,1.1044966650390626,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00125000,2025-04-17 19:24:15+00:00,125.0,0.06,0.0,0.75,0.0,0.0,3.0,2287,1.171879140625,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00130000,2025-03-12 15:22:54+00:00,130.0,0.19,0.0,0.5,0.0,0.0,2.0,112,1.15625421875,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00135000,2025-03-12 19:46:13+00:00,135.0,0.07,0.0,0.25,0.0,0.0,24.0,97,1.0976607617187502,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
GPN250516C00140000,2025-03-17 14:15:15+00:00,140.0,0.4,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,GPN,1,2025-05-16,2025-04-23 13:03:36.635783,72.12000274658203
