contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
GS250425C00345000,2025-04-08 19:35:41+00:00,345.0,117.35,184.45,190.65,0.0,0.0,,1,1.625001875,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00385000,2025-04-09 17:18:49+00:00,385.0,82.0,144.15,150.65,0.0,0.0,,1,1.2421912890624998,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00390000,2025-04-07 17:00:06+00:00,390.0,80.4,139.05,145.3,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00400000,2025-04-09 14:09:06+00:00,400.0,72.85,129.2,135.65,0.0,0.0,,7,1.109379453125,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00410000,2025-04-11 13:35:10+00:00,410.0,85.6,119.5,125.7,0.0,0.0,,2,1.140629296875,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00415000,2025-04-17 16:26:35+00:00,415.0,97.32,115.7,120.85,0.0,0.0,15.0,21,1.2500037499999999,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00420000,2025-04-09 17:19:01+00:00,420.0,54.3,109.2,115.3,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00425000,2025-04-11 14:29:49+00:00,425.0,110.0,104.2,110.35,45.449997,70.41052,1.0,10,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00430000,2025-04-21 13:48:51+00:00,430.0,79.0,99.3,105.35,0.0,0.0,4.0,13,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00435000,2025-04-11 14:57:07+00:00,435.0,62.9,94.15,100.35,0.0,0.0,,13,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00440000,2025-04-11 15:43:34+00:00,440.0,54.05,89.3,95.35,0.0,0.0,16.0,17,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00445000,2025-04-11 15:00:06+00:00,445.0,55.9,84.4,90.35,0.0,0.0,11.0,7,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00447500,2025-04-22 16:22:36+00:00,447.5,70.46,82.15,89.0,0.0,0.0,1.0,1,1.1489300366210937,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00450000,2025-04-22 16:22:36+00:00,450.0,67.97,80.1,85.35,0.0,0.0,1.0,125,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00455000,2025-04-15 18:44:54+00:00,455.0,59.18,74.3,80.35,0.0,0.0,6.0,29,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00457500,2025-04-11 14:44:30+00:00,457.5,42.95,71.7,77.9,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00460000,2025-04-21 19:43:25+00:00,460.0,41.95,69.65,75.35,0.0,0.0,3.0,9,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00462500,2025-04-16 17:45:19+00:00,462.5,41.4,66.75,72.85,0.0,0.0,1.0,15,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00465000,2025-04-14 14:08:15+00:00,465.0,45.64,64.4,70.3,0.0,0.0,2.0,8,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00467500,2025-04-11 16:53:40+00:00,467.5,37.25,61.9,67.95,0.0,0.0,,7,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00470000,2025-04-21 15:16:50+00:00,470.0,33.83,59.2,65.45,0.0,0.0,2.0,27,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00472500,2025-04-16 19:51:42+00:00,472.5,75.0,56.9,63.0,43.55,138.47377,3.0,14,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00475000,2025-04-17 16:00:02+00:00,475.0,70.01,55.4,60.5,31.510002,81.84416,1.0,106,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00477500,2025-04-16 14:16:07+00:00,477.5,72.8,53.05,56.85,41.370003,131.62585,1.0,58,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00480000,2025-04-23 13:57:54+00:00,480.0,64.05,50.8,57.0,40.350002,170.25317,4.0,28,0.8520522607421875,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00482500,2025-04-23 13:45:32+00:00,482.5,66.86,47.0,53.15,35.510002,113.269554,2.0,22,0.4335994140625,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00485000,2025-04-23 13:45:32+00:00,485.0,60.79,45.1,49.45,26.690002,78.269806,6.0,84,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
GS250425C00487500,2025-04-21 19:14:00+00:00,487.5,18.1,43.0,47.0,0.0,0.0,2.0,45,1.0000000000000003e-05,True,REGULAR,USD,GS,1,2025-04-25,2025-04-23 13:03:39.432495,535.6248168945312
