contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HAL250425C00015000,2025-04-22 19:32:57+00:00,15.0,5.57,5.25,5.7,0.09000015,1.6423385,4.0,8,2.2421918945312496,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00016000,2025-04-23 15:06:26+00:00,16.0,4.69,4.35,5.6,0.1500001,3.303967,3.0,4,2.750003125,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00016500,2025-04-10 18:36:37+00:00,16.5,3.95,3.9,4.75,0.0,0.0,,2,2.1171922070312497,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00017000,2025-04-16 15:31:44+00:00,17.0,3.4,3.45,4.1,-1.4000001,-29.166668,1.0,3,1.7578137109375,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00017500,2025-04-08 18:30:25+00:00,17.5,2.88,2.83,3.3,0.0,0.0,,11,1.6328143359374998,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00018000,2025-04-14 13:47:44+00:00,18.0,3.55,2.25,2.73,0.0,0.0,1.0,20,1.2421912890624998,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00018500,2025-04-16 17:56:11+00:00,18.5,3.05,1.8,2.18,0.0,0.0,,2,0.9062509375,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00019000,2025-04-16 19:44:03+00:00,19.0,2.52,1.34,1.68,0.0,0.0,4.0,2,0.73437765625,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00019500,2025-04-23 15:26:52+00:00,19.5,0.96,1.1,1.25,-0.18,-15.789474,10.0,65,0.5468795312500001,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00020000,2025-04-23 16:02:54+00:00,20.0,0.67,0.74,0.82,-0.21999997,-24.719097,14.0,1527,0.5507857421875001,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00020500,2025-04-23 16:03:24+00:00,20.5,0.37,0.42,0.53,-0.09,-19.565218,187.0,185,0.5625043750000001,True,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
HAL250425C00021000,2025-04-23 16:28:57+00:00,21.0,0.16,0.14,0.16,-0.110000014,-37.931038,188.0,703,0.42188078125,False,REGULAR,USD,HAL,1,2025-04-25,2025-04-23 13:03:41.223888,20.610000610351562
