contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HAS250516C00040000,2025-04-16 13:57:08+00:00,40.0,13.0,12.8,15.4,0.0,0.0,10.0,10,1.0517625537109376,True,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
HAS250516C00045000,2025-04-15 17:00:39+00:00,45.0,8.41,8.6,10.7,0.0,0.0,,1,0.8818371191406249,True,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
HAS250516C00047500,2025-01-27 19:23:17+00:00,47.5,11.55,15.5,19.5,0.0,0.0,2.0,1,2.880373892822266,True,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
HAS250516C00050000,2025-04-22 17:20:13+00:00,50.0,6.0,4.2,5.8,1.6199999,36.986298,1.0,97,0.6001016552734376,True,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
HAS250516C00052500,2025-04-23 15:28:54+00:00,52.5,3.76,3.2,4.0,0.97,34.767025,136.0,731,0.6020547607421877,True,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
HAS250516C00055000,2025-04-23 16:25:46+00:00,55.0,2.35,2.2,2.45,0.64999986,38.235283,50.0,454,0.5705609350585938,False,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
HAS250516C00057500,2025-04-23 15:46:41+00:00,57.5,1.4,0.8,1.45,0.45,47.368423,1007.0,1277,0.5576216113281252,False,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
HAS250516C00060000,2025-04-23 16:08:27+00:00,60.0,0.8,0.6,0.95,0.35000002,77.77779,487.0,2959,0.5273484765625001,False,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
HAS250516C00062500,2025-04-23 16:25:50+00:00,62.5,0.45,0.3,0.45,0.19999999,79.99999,22.0,1990,0.5039112109375,False,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
HAS250516C00065000,2025-04-23 14:38:05+00:00,65.0,0.2,0.05,0.25,0.049999997,33.33333,11.0,907,0.532231240234375,False,REGULAR,USD,HAS,1,2025-05-16,2025-04-23 13:03:43.114611,53.17499923706055
