contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HBAN250516C00009000,2025-02-13 19:39:06+00:00,9.0,7.52,4.2,7.4,0.0,0.0,1.0,0,1.9414065429687501,True,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00010000,2025-04-17 19:13:47+00:00,10.0,3.83,4.0,4.6,0.0,0.0,20.0,43,0.7578149218750001,True,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00011000,2025-04-17 14:59:32+00:00,11.0,2.76,3.2,4.0,0.0,0.0,2.0,5,1.08984830078125,True,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00012000,2025-04-21 13:30:01+00:00,12.0,1.7,2.15,2.65,0.0,0.0,8.0,221,0.5976602734375001,True,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00013000,2025-04-22 19:53:42+00:00,13.0,1.42,1.15,1.8,0.24000001,20.338984,17.0,142,0.7500025,True,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00014000,2025-04-23 14:53:14+00:00,14.0,0.75,0.6,0.8,0.3,66.66667,15.0,2564,0.454107021484375,True,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00015000,2025-04-23 14:47:51+00:00,15.0,0.2,0.15,0.2,0.1,100.0,215.0,5583,0.32031929687499994,False,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00016000,2025-04-22 18:50:36+00:00,16.0,0.05,0.0,0.05,0.030000001,150.0,7.0,977,0.32813171874999997,False,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00017000,2025-04-22 17:41:30+00:00,17.0,0.03,0.0,0.05,0.0,0.0,14.0,2367,0.44922425781249997,False,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00018000,2025-04-23 13:50:08+00:00,18.0,0.07,0.0,0.1,-0.33,-82.5,3.0,1467,0.5585981640625001,False,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00019000,2025-04-15 15:35:43+00:00,19.0,0.03,0.0,0.05,0.0,0.0,3.0,1387,0.57812921875,False,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00020000,2025-04-08 13:42:26+00:00,20.0,0.05,0.0,0.1,0.0,0.0,25.0,275,0.7460962890625,False,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00021000,2025-01-22 14:46:25+00:00,21.0,0.05,0.0,0.7,0.0,0.0,1.0,150,1.3007847460937496,False,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516C00030000,2024-12-16 05:04:52+00:00,30.0,0.04,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,HBAN,1,2025-05-16,2025-04-23 13:03:59.900593,14.270000457763672
HBAN250516P00009000,2025-04-09 16:16:38+00:00,9.0,0.19,0.0,0.7,0.0,0.0,218.0,217,1.6796891015625,False,REGULAR,USD,HBAN,0,2025-05-16,2025-04-23 13:03:59.902599,14.270000457763672
HBAN250516P00010000,2025-04-17 15:08:46+00:00,10.0,0.05,0.0,0.05,0.0,0.0,11.0,17,0.73437765625,False,REGULAR,USD,HBAN,0,2025-05-16,2025-04-23 13:03:59.902599,14.270000457763672
HBAN250516P00011000,2025-04-21 14:10:23+00:00,11.0,0.07,0.0,0.2,0.0,0.0,5.0,39,0.7539087109375,False,REGULAR,USD,HBAN,0,2025-05-16,2025-04-23 13:03:59.902599,14.270000457763672
HBAN250516P00012000,2025-04-23 13:30:02+00:00,12.0,0.1,0.05,0.25,-0.1,-50.0,2.0,496,0.6250037500000001,False,REGULAR,USD,HBAN,0,2025-05-16,2025-04-23 13:03:59.902599,14.270000457763672
HBAN250516P00013000,2025-04-22 19:55:13+00:00,13.0,0.2,0.1,0.25,0.0,0.0,13.0,337,0.5117236328125,False,REGULAR,USD,HBAN,0,2025-05-16,2025-04-23 13:03:59.902599,14.270000457763672
HBAN250516P00014000,2025-04-23 15:01:20+00:00,14.0,0.4,0.35,0.55,-0.15,-30.000002,16.0,577,0.4687553125,False,REGULAR,USD,HBAN,0,2025-05-16,2025-04-23 13:03:59.902599,14.270000457763672
