contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HCA250516C00195000,2025-04-17 18:25:57+00:00,195.0,143.1,137.7,141.4,0.0,0.0,10.0,10,1.0712937060546879,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00200000,2025-03-10 13:43:00+00:00,200.0,138.35,132.6,135.6,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00250000,2025-02-28 19:36:30+00:00,250.0,58.0,99.7,103.1,0.0,0.0,1.0,1,1.5721456939697265,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00270000,2025-02-18 19:42:59+00:00,270.0,52.9,61.4,64.7,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00280000,2025-03-27 18:17:01+00:00,280.0,64.4,55.4,59.2,0.0,0.0,11.0,18,0.5119677709960937,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00290000,2025-03-25 13:40:53+00:00,290.0,55.0,46.8,50.2,0.0,0.0,50.0,5,0.512578116455078,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00295000,2025-04-21 15:56:53+00:00,295.0,32.75,43.1,45.6,0.0,0.0,2.0,6,0.5144091528320311,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00300000,2025-04-09 14:23:02+00:00,300.0,35.8,39.0,41.8,0.0,0.0,1.0,50,0.5172167419433593,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00305000,2025-04-21 17:03:06+00:00,305.0,23.2,34.7,37.9,0.0,0.0,1.0,7,0.5060474200439453,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00310000,2025-04-08 19:23:12+00:00,310.0,34.5,31.5,33.1,0.0,0.0,2.0,5,0.5224657128906249,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00315000,2025-04-22 15:43:40+00:00,315.0,21.2,27.1,29.8,0.0,0.0,6.0,43,0.5258836474609375,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00320000,2025-04-22 17:01:05+00:00,320.0,27.27,23.0,26.0,9.370001,52.346375,1.0,41,0.5061084545898438,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00325000,2025-04-23 16:21:54+00:00,325.0,21.2,20.3,23.0,4.800001,29.268301,1.0,91,0.5056201782226561,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00330000,2025-04-23 15:30:39+00:00,330.0,20.0,18.0,19.9,5.7,39.860138,15.0,63,0.4953663745117188,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00335000,2025-04-23 14:08:33+00:00,335.0,17.82,15.8,17.3,5.7699995,47.883812,2.0,93,0.49323016540527354,True,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00340000,2025-04-23 14:59:38+00:00,340.0,15.2,13.1,14.9,5.37,54.62869,25.0,77,0.4901174035644532,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00345000,2025-04-23 14:37:51+00:00,345.0,12.69,10.8,13.1,6.5899997,108.032776,16.0,74,0.49786879089355474,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00350000,2025-04-23 15:00:41+00:00,350.0,9.78,9.1,9.6,2.7799997,39.714283,26.0,127,0.44788149780273434,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00355000,2025-04-23 15:52:33+00:00,355.0,7.8,7.0,9.0,2.6000004,50.000008,91.0,141,0.4788260125732422,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00360000,2025-04-23 14:14:17+00:00,360.0,7.0,5.3,7.3,2.6,59.090908,9.0,579,0.4694877270507813,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00365000,2025-04-23 14:04:49+00:00,365.0,6.5,4.6,5.7,2.7,71.052635,71.0,87,0.4556939196777344,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00370000,2025-04-23 16:22:58+00:00,370.0,4.1,3.7,4.7,1.0999999,36.666664,27.0,150,0.4563042651367188,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00375000,2025-04-21 19:01:13+00:00,375.0,3.5,2.7,3.4,1.29,58.37104,49.0,95,0.43707838317871095,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00380000,2025-04-23 14:52:52+00:00,380.0,3.13,2.15,3.1,1.6800001,115.86207,3.0,100,0.4556939196777344,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00385000,2025-04-21 17:29:48+00:00,385.0,1.37,1.65,2.35,0.0,0.0,6.0,22,0.44751529052734373,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00390000,2025-04-23 14:38:29+00:00,390.0,1.99,1.4,2.15,1.39,231.66666,2.0,39,0.4647270324707031,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00395000,2025-04-21 17:41:14+00:00,395.0,1.0,0.0,1.65,0.0,0.0,24.0,25,0.45972219970703126,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00400000,2025-04-07 13:49:50+00:00,400.0,1.35,0.0,2.5,0.13,10.655738,6.0,4,0.5406540075683595,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00405000,2025-04-22 14:53:38+00:00,405.0,0.66,0.45,1.15,0.0,0.0,1.0,24,0.47046427978515626,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00415000,2025-03-25 15:50:54+00:00,415.0,0.8,0.0,1.5,0.0,0.0,70.0,78,0.5473678076171876,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00420000,2025-04-03 17:41:20+00:00,420.0,1.0,0.0,1.5,0.0,0.0,2.0,2,0.5705609350585938,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00450000,2025-04-01 15:22:17+00:00,450.0,0.35,0.0,1.4,0.0,0.0,,0,0.6069375244140626,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00455000,2025-04-01 15:22:17+00:00,455.0,0.32,0.0,1.35,0.0,0.0,,2,0.6215858154296876,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00470000,2025-02-25 17:31:11+00:00,470.0,0.4,0.0,0.8,0.0,0.0,,8,0.622074091796875,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516C00480000,2025-04-16 15:35:47+00:00,480.0,0.09,0.0,0.1,0.0,0.0,2.0,84,0.5097705273437501,False,REGULAR,USD,HCA,1,2025-05-16,2025-04-23 13:03:43.993980,335.7699890136719
HCA250516P00175000,2025-03-25 18:04:41+00:00,175.0,0.1,0.0,1.35,0.0,0.0,10.0,20,1.2739294116210935,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00205000,2025-04-14 19:48:27+00:00,205.0,0.95,0.0,1.45,0.0,0.0,,2,1.007329182128906,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00220000,2025-04-04 17:48:06+00:00,220.0,0.75,0.15,1.5,0.0,0.0,1.0,1,0.9006357592773437,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00230000,2025-04-17 18:59:55+00:00,230.0,0.6,0.0,1.5,0.0,0.0,1.0,1,0.8049335913085938,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00240000,2025-03-21 13:46:58+00:00,240.0,0.68,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00245000,2025-04-22 15:41:54+00:00,245.0,1.1,0.0,1.5,0.0,0.0,11.0,8,0.6889679541015626,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00250000,2025-04-21 16:37:44+00:00,250.0,1.84,0.05,1.6,0.0,0.0,1.0,61,0.6630893066406252,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00255000,2025-02-28 18:29:04+00:00,255.0,5.7,0.0,0.0,0.0,0.0,1.0,1,0.2500075,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00260000,2025-04-22 14:07:10+00:00,260.0,1.38,0.75,2.0,-1.0200001,-42.5,1.0,101,0.6547886083984377,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00265000,2025-04-22 16:22:02+00:00,265.0,2.5,1.05,2.1,0.0,0.0,1.0,15,0.6347692773437501,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00270000,2025-04-23 16:20:15+00:00,270.0,1.83,1.45,2.3,-1.07,-36.896553,25.0,30,0.6208534008789064,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00275000,2025-04-22 18:00:57+00:00,275.0,4.1,1.75,2.6,0.0,0.0,2.0,14,0.6030313134765627,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00280000,2025-04-23 16:20:15+00:00,280.0,2.68,2.15,3.0,-2.05,-43.34038,25.0,173,0.5887492297363282,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00285000,2025-04-22 14:42:18+00:00,285.0,5.42,2.5,3.3,0.0,0.0,2.0,98,0.5660443786621094,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00290000,2025-04-21 17:35:07+00:00,290.0,3.55,2.85,4.1,-3.05,-46.21212,2.0,35,0.5542036767578126,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00295000,2025-04-21 14:23:11+00:00,295.0,8.01,3.2,4.7,0.0,0.0,2.0,69,0.5328415856933593,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00300000,2025-04-23 14:59:14+00:00,300.0,5.1,4.1,5.1,-4.6,-47.42268,1.0,334,0.5159960510253907,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00305000,2025-04-21 18:24:01+00:00,305.0,6.0,5.1,6.8,-6.2,-50.81967,1.0,58,0.5228929547119141,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00310000,2025-04-23 15:45:20+00:00,310.0,7.4,6.3,7.9,-4.2499995,-36.480682,7.0,323,0.5141650146484374,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00315000,2025-04-23 16:10:59+00:00,315.0,8.5,7.7,8.4,-4.3,-33.59375,3.0,703,0.5046436254882812,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
HCA250516P00320000,2025-04-22 15:43:15+00:00,320.0,16.6,8.8,10.1,0.0,0.0,4.0,193,0.5019581054687501,False,REGULAR,USD,HCA,0,2025-05-16,2025-04-23 13:03:43.994983,335.7699890136719
