contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HD250425C00220000,2025-04-11 15:00:13+00:00,220.0,128.6,134.95,138.0,0.0,0.0,,1.0,2.587894155273437,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00225000,2025-04-11 15:00:13+00:00,225.0,123.7,129.8,133.0,0.0,0.0,,1.0,2.4814491088867188,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00240000,2025-04-11 15:00:13+00:00,240.0,108.85,114.9,117.8,0.0,0.0,,1.0,1.9990234423828124,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00255000,2025-04-07 15:14:39+00:00,255.0,86.2,99.75,102.5,0.0,0.0,,3.0,1.0000000000000003e-05,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00305000,2025-04-08 18:30:02+00:00,305.0,37.2,49.8,52.75,0.0,0.0,,2.0,0.868165380859375,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00310000,2025-04-16 19:44:09+00:00,310.0,36.58,45.05,47.9,0.0,0.0,1.0,3.0,0.867188828125,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00320000,2025-04-07 17:00:30+00:00,320.0,28.6,35.0,38.2,0.0,0.0,3.0,6.0,0.79687703125,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00325000,2025-04-23 13:51:20+00:00,325.0,40.0,30.1,33.0,10.9,37.457043,1.0,11.0,0.6543003320312502,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00327500,2025-04-09 17:19:18+00:00,327.5,18.5,27.3,29.75,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00330000,2025-04-22 14:14:44+00:00,330.0,22.68,24.9,27.35,0.0,0.0,10.0,26.0,1.0000000000000003e-05,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00332500,2025-04-22 14:14:44+00:00,332.5,20.3,22.7,25.8,0.0,0.0,10.0,18.0,0.5935099243164064,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00335000,2025-04-21 15:50:34+00:00,335.0,12.45,19.95,22.5,0.0,0.0,3.0,38.0,1.0000000000000003e-05,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00337500,2025-04-21 16:22:32+00:00,337.5,10.15,17.75,20.95,0.0,0.0,1.0,3.0,0.5258836474609375,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00340000,2025-04-22 19:46:53+00:00,340.0,15.95,15.55,18.55,0.0,0.0,6.0,50.0,0.4919484399414063,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00342500,2025-04-22 19:37:46+00:00,342.5,13.17,14.45,16.15,0.0,0.0,23.0,46.0,0.45508357421875,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00345000,2025-04-23 13:48:59+00:00,345.0,18.2,12.4,13.2,6.700001,58.260876,7.0,60.0,0.3398503515625,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00347500,2025-04-23 14:36:09+00:00,347.5,15.5,10.45,11.4,8.35,116.78323,18.0,77.0,0.3764710791015625,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00350000,2025-04-23 15:53:05+00:00,350.0,8.5,7.9,8.85,1.23,16.918844,134.0,486.0,0.31250687499999996,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00352500,2025-04-23 14:36:09+00:00,352.5,10.75,6.05,7.15,5.08,89.59435,21.0,70.0,0.3233710241699218,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00355000,2025-04-23 16:11:47+00:00,355.0,5.13,4.9,5.4,0.6300001,14.000003,61.0,259.0,0.31055376953124997,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00357500,2025-04-23 16:11:47+00:00,357.5,3.02,3.5,4.1,-0.27999997,-8.484847,616.0,672.0,0.31555860229492183,1.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00360000,2025-04-23 16:30:29+00:00,360.0,2.58,2.36,2.76,0.6999999,37.23404,422.0,850.0,0.29798065307617183,0.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00362500,2025-04-23 16:15:32+00:00,362.5,1.45,1.48,2.1,0.18000007,14.173235,63.0,177.0,0.31592480957031244,0.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
HD250425C00365000,2025-04-23 16:32:25+00:00,365.0,1.02,0.9,1.13,0.19,31.147541,77.0,275.0,0.28565167480468745,0.0,REGULAR,USD,HD,1,2025-04-25,2025-04-23 13:03:51.164414,357.5400085449219
