contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HES250425C00128000,2025-04-23 16:28:26+00:00,128.0,2.05,1.7,4.3,-0.79999995,-28.070173,2.0,3,0.7211941943359376,True,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00130000,2025-04-22 19:23:48+00:00,130.0,2.1,0.0,3.4,0.0,0.0,4.0,7,0.75195560546875,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00131000,2025-04-04 15:01:30+00:00,131.0,11.4,0.0,2.7,0.0,0.0,1.0,1,0.6987334814453126,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00132000,2025-04-23 16:00:43+00:00,132.0,0.63,0.1,1.55,-0.87,-58.0,3.0,29,0.5329636547851562,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00133000,2025-04-22 19:31:40+00:00,133.0,0.7,0.0,2.75,0.0,0.0,2.0,4,0.56836369140625,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00134000,2025-04-17 13:57:16+00:00,134.0,0.5,0.0,0.7,-1.17,-70.059875,3.0,5,0.46289599609375004,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00136000,2025-04-17 17:27:17+00:00,136.0,0.9,0.0,2.4,0.0,0.0,10.0,9,0.7221707470703125,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00139000,2025-04-08 19:27:49+00:00,139.0,1.8,0.0,2.25,0.0,0.0,,8,0.8735364208984374,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00140000,2025-04-22 15:22:12+00:00,140.0,0.05,0.05,2.2,0.0,0.0,5.0,16,0.9272468212890624,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00141000,2025-04-22 13:30:09+00:00,141.0,0.36,0.0,2.2,0.0,0.0,5.0,11,0.971679970703125,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00142000,2025-04-09 14:29:34+00:00,142.0,0.95,0.0,2.0,0.0,0.0,,18,0.989257919921875,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00143000,2025-04-22 13:30:09+00:00,143.0,0.33,0.0,2.2,0.0,0.0,5.0,12,1.0722702636718753,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00144000,2025-04-08 17:13:36+00:00,144.0,0.9,0.0,1.9,0.0,0.0,,10,1.0683640332031252,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00145000,2025-04-08 15:18:37+00:00,145.0,1.2,0.0,2.0,0.0,0.0,,6,1.133305114746094,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00146000,2025-04-08 15:18:37+00:00,146.0,1.06,0.0,0.45,0.00999999,0.95238006,5.0,7,0.80664255859375,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00147000,2025-04-08 15:08:08+00:00,147.0,1.1,0.0,2.0,0.0,0.0,,8,1.224613251953125,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00148000,2025-04-08 15:07:41+00:00,148.0,1.03,0.0,0.45,0.07999998,8.421051,5.0,8,0.877930908203125,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00149000,2025-04-07 15:09:02+00:00,149.0,1.15,0.0,2.0,0.0,0.0,,1,1.3129917163085936,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00150000,2025-04-17 16:19:10+00:00,150.0,0.3,0.0,1.45,0.0,0.0,6.0,15,1.2392616162109373,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00152500,2025-04-17 15:54:39+00:00,152.5,0.37,0.0,2.0,0.0,0.0,5.0,5,1.4609401953124999,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00155000,2025-04-21 13:30:20+00:00,155.0,1.09,0.0,2.15,0.0,0.0,5.0,14,1.5937520312499998,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00157500,2025-04-21 13:30:20+00:00,157.5,1.06,0.0,2.15,0.0,0.0,5.0,10,1.6923843505859377,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00160000,2025-04-22 13:30:02+00:00,160.0,0.4,0.0,2.15,0.0,0.0,5.0,83,1.7880869970703124,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
HES250425C00162500,2025-04-22 13:30:02+00:00,162.5,0.36,0.0,0.05,0.0,0.0,5.0,33,0.98437515625,False,REGULAR,USD,HES,1,2025-04-25,2025-04-23 13:03:47.382002,129.73500061035156
