contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HIG250516C00090000,2025-04-21 18:14:16+00:00,90.0,24.2,28.6,30.6,0.0,0.0,5.0,5,0.6904327832031252,True,REGULAR,USD,HIG,1,2025-05-16,2025-04-23 13:03:42.546122,119.16000366210938
HIG250516C00095000,2025-04-07 13:50:07+00:00,95.0,16.06,23.6,25.8,0.0,0.0,1.0,1,0.6079140771484376,True,REGULAR,USD,HIG,1,2025-05-16,2025-04-23 13:03:42.546122,119.16000366210938
HIG250516C00105000,2025-04-22 18:56:12+00:00,105.0,14.5,14.0,16.0,0.0,0.0,2.0,0,0.5817912915039063,True,REGULAR,USD,HIG,1,2025-05-16,2025-04-23 13:03:42.546122,119.16000366210938
HIG250516C00110000,2025-04-15 19:55:04+00:00,110.0,9.5,10.1,10.5,0.0,0.0,2.0,8,0.3857483300781249,True,REGULAR,USD,HIG,1,2025-05-16,2025-04-23 13:03:42.546122,119.16000366210938
HIG250516C00115000,2025-04-23 13:51:35+00:00,115.0,6.8,6.1,6.4,1.7000003,33.33334,1.0,48,0.33228206787109377,True,REGULAR,USD,HIG,1,2025-05-16,2025-04-23 13:03:42.546122,119.16000366210938
HIG250516C00120000,2025-04-23 13:35:15+00:00,120.0,3.0,3.0,3.8,0.1500001,5.263161,1.0,45,0.34400070068359373,False,REGULAR,USD,HIG,1,2025-05-16,2025-04-23 13:03:42.546122,119.16000366210938
HIG250516C00125000,2025-04-22 19:23:13+00:00,125.0,1.5,1.05,1.4,0.22000003,17.187504,1.0,309,0.2876047802734374,False,REGULAR,USD,HIG,1,2025-05-16,2025-04-23 13:03:42.546122,119.16000366210938
HIG250516C00130000,2025-04-21 13:41:37+00:00,130.0,0.5,0.35,0.5,0.0,0.0,1.0,67,0.28174546386718746,False,REGULAR,USD,HIG,1,2025-05-16,2025-04-23 13:03:42.546122,119.16000366210938
HIG250516C00135000,2025-04-16 18:30:12+00:00,135.0,0.2,0.05,0.7,0.0,0.0,10.0,52,0.39942006835937505,False,REGULAR,USD,HIG,1,2025-05-16,2025-04-23 13:03:42.546122,119.16000366210938
HIG250516P00070000,2025-04-09 17:21:48+00:00,70.0,0.4,0.0,0.75,0.0,0.0,,1,1.1484417578125,False,REGULAR,USD,HIG,0,2025-05-16,2025-04-23 13:03:42.547125,119.16000366210938
HIG250516P00095000,2025-04-01 14:47:07+00:00,95.0,0.25,0.0,0.75,0.0,0.0,,1,0.56055126953125,False,REGULAR,USD,HIG,0,2025-05-16,2025-04-23 13:03:42.547125,119.16000366210938
HIG250516P00100000,2025-04-08 18:09:37+00:00,100.0,0.26,0.05,0.55,-2.19,-89.38776,19.0,6,0.500005,False,REGULAR,USD,HIG,0,2025-05-16,2025-04-23 13:03:42.547125,119.16000366210938
