contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HII250516C00150000,2025-04-16 15:09:17+00:00,150.0,68.84,66.0,69.1,0.0,0.0,2.0,2,0.6972686523437501,True,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00170000,2025-03-31 13:51:33+00:00,170.0,37.0,46.3,49.9,0.0,0.0,1.0,0,0.6145058081054688,True,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00175000,2025-04-10 14:03:35+00:00,175.0,28.4,41.7,45.2,0.0,0.0,1.0,2,0.6059609716796877,True,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00185000,2025-04-11 15:06:33+00:00,185.0,29.2,33.1,36.0,0.0,0.0,9.0,2,0.5896037133789063,True,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00190000,2025-04-16 19:18:31+00:00,190.0,28.99,28.8,31.7,0.0,0.0,1.0,5,0.5737347314453125,True,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00195000,2025-04-23 14:08:21+00:00,195.0,28.91,24.7,27.6,2.0100002,7.4721203,1.0,15,0.5590864404296876,True,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00200000,2025-04-23 14:09:10+00:00,200.0,24.94,20.7,23.6,0.65999985,2.718286,1.0,250,0.5378464184570313,True,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00210000,2025-04-22 13:53:19+00:00,210.0,17.35,13.7,15.7,4.450001,34.496128,10.0,214,0.5345505529785157,True,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00220000,2025-04-23 15:34:34+00:00,220.0,9.5,8.1,10.2,-1.1000004,-10.377361,16.0,203,0.5139208764648437,False,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00230000,2025-04-23 15:30:39+00:00,230.0,5.68,5.2,5.9,0.27999973,5.18518,3.0,414,0.4858449853515625,False,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00240000,2025-04-22 18:46:40+00:00,240.0,3.0,2.55,3.4,0.0,0.0,5.0,72,0.4836477416992188,False,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00250000,2025-04-23 14:49:11+00:00,250.0,1.8,1.35,2.15,-0.1500001,-7.6923122,9.0,132,0.5053760400390624,False,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00260000,2025-04-22 15:45:51+00:00,260.0,1.0,0.5,1.15,0.0,0.0,2.0,14,0.5031787963867188,False,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00270000,2025-04-21 16:53:24+00:00,270.0,0.58,0.2,1.1,0.0,0.0,4.0,6,0.5119677709960937,False,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00290000,2025-04-11 16:39:49+00:00,290.0,0.8,0.0,0.9,0.0,0.0,,20,0.5991251025390626,False,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516C00300000,2025-04-22 19:09:55+00:00,300.0,0.05,0.0,0.1,0.0,0.0,23.0,24,0.5283250292968751,False,REGULAR,USD,HII,1,2025-05-16,2025-04-23 13:04:00.534316,217.3249969482422
HII250516P00140000,2025-04-11 17:54:19+00:00,140.0,0.35,0.0,0.35,0.0,0.0,15.0,16,0.7832052929687501,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00155000,2025-04-21 17:03:51+00:00,155.0,0.4,0.0,0.6,0.0,0.0,1.0,3,0.6728548339843752,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00160000,2025-04-17 13:59:07+00:00,160.0,0.65,0.0,1.1,0.0,0.0,1.0,40,0.6879914013671876,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00165000,2025-04-09 14:00:15+00:00,165.0,6.2,0.1,1.5,0.0,0.0,3.0,4,0.6796907031250001,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00170000,2025-04-22 17:59:34+00:00,170.0,1.0,0.3,2.15,0.0,0.0,2.0,13,0.6831086376953126,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00175000,2025-04-08 19:42:36+00:00,175.0,8.2,0.4,2.25,0.0,0.0,,1,0.6315954809570312,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00180000,2025-04-16 14:51:12+00:00,180.0,1.4,1.15,2.0,-0.90999997,-39.39394,2.0,33,0.5954630297851562,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00185000,2025-04-22 15:58:42+00:00,185.0,2.05,1.35,2.4,0.0,0.0,4.0,7,0.5585981640625001,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00190000,2025-04-22 17:42:17+00:00,190.0,2.8,1.55,3.2,0.0,0.0,13.0,21,0.532231240234375,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00195000,2025-04-23 14:09:10+00:00,195.0,3.19,2.45,4.0,-0.69000006,-17.783506,2.0,150,0.5202684692382812,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00200000,2025-04-22 19:36:09+00:00,200.0,4.23,2.55,5.1,-0.6700001,-13.6734705,1.0,54,0.5532881585693359,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00210000,2025-04-22 19:14:31+00:00,210.0,7.23,6.2,8.1,-1.3700004,-15.930236,1.0,39,0.5215501947021484,False,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00220000,2025-04-17 17:56:01+00:00,220.0,10.9,11.2,12.6,0.0,0.0,2.0,4,0.5015918981933594,True,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00230000,2025-04-22 19:14:31+00:00,230.0,19.23,17.2,19.3,0.0,0.0,1.0,2,0.5208788146972656,True,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00240000,2025-04-17 13:37:59+00:00,240.0,27.9,24.8,27.7,0.0,0.0,1.0,1,0.5749554223632812,True,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250516P00250000,2025-04-15 14:11:18+00:00,250.0,31.3,32.8,36.0,0.0,0.0,,1,0.5871623315429688,True,REGULAR,USD,HII,0,2025-05-16,2025-04-23 13:04:00.536321,217.3249969482422
HII250620C00110000,2025-02-10 14:32:00+00:00,110.0,60.25,81.5,85.2,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00120000,2025-02-20 16:03:07+00:00,120.0,56.51,81.0,84.7,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00125000,2024-11-26 18:40:38+00:00,125.0,74.22,76.2,80.1,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00130000,2025-02-25 17:50:11+00:00,130.0,46.2,74.6,78.4,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00135000,2024-12-16 05:06:41+00:00,135.0,71.5,58.0,61.8,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00145000,2025-02-24 18:42:31+00:00,145.0,29.06,58.9,62.7,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00150000,2025-04-09 18:12:52+00:00,150.0,51.2,66.1,70.1,0.0,0.0,2.0,64,0.5505416040039064,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00155000,2025-02-24 19:31:04+00:00,155.0,21.79,49.2,52.7,0.0,0.0,20.0,42,1.0000000000000003e-05,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00160000,2025-02-24 19:31:04+00:00,160.0,19.28,44.9,48.5,0.0,0.0,10.0,43,1.0000000000000003e-05,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00165000,2025-03-06 14:54:45+00:00,165.0,32.2,26.4,29.7,0.0,0.0,1.0,38,1.0000000000000003e-05,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00170000,2025-04-16 15:03:14+00:00,170.0,50.7,48.3,50.7,0.0,0.0,1.0,8,0.5073291455078125,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00175000,2025-04-16 19:00:04+00:00,175.0,44.4,43.7,46.1,0.0,0.0,1.0,384,0.55273884765625,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00180000,2025-04-14 13:42:03+00:00,180.0,43.7,39.6,42.0,2.1800003,5.2504826,1.0,60,0.5454147021484376,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00185000,2025-04-11 14:21:01+00:00,185.0,32.5,35.1,38.0,0.0,0.0,1.0,53,0.5358933129882812,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00190000,2025-04-17 14:20:51+00:00,190.0,32.5,30.5,33.8,0.0,0.0,1.0,82,0.5128222546386718,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00195000,2025-04-16 14:04:15+00:00,195.0,29.7,26.8,29.8,0.0,0.0,1.0,114,0.49286395812988293,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
HII250620C00200000,2025-04-23 14:09:10+00:00,200.0,27.21,23.6,26.0,0.8599987,3.2637522,2.0,151,0.47461462890625,True,REGULAR,USD,HII,1,2025-06-20,2025-04-23 13:04:00.593491,217.3249969482422
