contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HLT250516C00125000,2025-04-15 14:19:03+00:00,125.0,87.0,88.6,92.7,0.0,0.0,,1,1.3933135803222654,True,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00135000,2025-04-07 14:20:49+00:00,135.0,77.0,79.2,81.9,0.0,0.0,,4,1.0595750146484377,True,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00175000,2025-04-17 16:43:22+00:00,175.0,37.8,39.2,42.5,0.0,0.0,1.0,11,0.6264685791015626,True,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00180000,2025-04-15 14:10:18+00:00,180.0,35.17,34.8,37.9,0.0,0.0,,13,0.6040078662109377,True,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00185000,2025-04-17 16:00:03+00:00,185.0,28.9,30.5,33.0,0.0,0.0,1.0,6,0.546025047607422,True,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00190000,2025-04-10 14:01:16+00:00,190.0,26.3,26.0,28.5,0.0,0.0,1.0,9,0.5185595019531251,True,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00195000,2025-04-16 18:00:07+00:00,195.0,19.7,21.5,24.4,0.0,0.0,1.0,6,0.5085498364257812,True,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00200000,2025-04-22 18:02:58+00:00,200.0,14.0,17.1,20.3,0.0,0.0,3.0,28,0.48413601806640627,True,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00210000,2025-04-22 19:42:07+00:00,210.0,13.87,11.3,11.9,4.7699995,52.417572,1.0,139,0.38977661010742193,True,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00220000,2025-04-23 14:00:04+00:00,220.0,8.22,5.4,6.5,3.92,91.16279,4.0,218,0.37201555725097657,False,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00230000,2025-04-23 15:06:07+00:00,230.0,3.5,1.0,3.0,2.5,250.0,32.0,171,0.3562076098632812,False,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00240000,2025-04-23 14:48:44+00:00,240.0,1.7,0.5,1.8,1.0500001,161.53848,1.0,170,0.3952697192382813,False,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00250000,2025-04-15 15:04:46+00:00,250.0,0.05,0.0,1.7,-0.29,-85.29411,1.0,49,0.48340360351562506,False,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516C00260000,2025-04-15 15:07:15+00:00,260.0,0.17,0.0,1.45,0.0,0.0,1.0,52,0.5465133239746094,False,REGULAR,USD,HLT,1,2025-05-16,2025-04-23 13:03:49.819038,216.1199951171875
HLT250516P00115000,2025-04-09 15:33:28+00:00,115.0,1.7,0.0,2.1,0.0,0.0,,1,1.445803552246094,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00145000,2025-04-14 13:54:28+00:00,145.0,1.39,0.0,2.25,0.0,0.0,1.0,2,0.993164130859375,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00150000,2025-04-10 13:56:23+00:00,150.0,1.47,0.0,2.2,0.0,0.0,,22,0.9184578466796876,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00155000,2025-04-21 14:00:02+00:00,155.0,0.88,0.0,2.4,0.0,0.0,2.0,3,0.8669446899414062,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00160000,2025-04-21 13:30:11+00:00,160.0,1.05,0.0,2.35,0.0,0.0,1.0,5,0.7954122021484374,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00165000,2025-04-09 17:02:20+00:00,165.0,4.9,0.0,1.65,0.0,0.0,,2,0.6735872485351564,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00170000,2025-04-22 14:40:07+00:00,170.0,1.05,0.0,1.4,0.0,0.0,1.0,14,0.5910685424804689,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00175000,2025-04-21 18:57:27+00:00,175.0,2.35,0.5,1.4,0.0,0.0,306.0,336,0.5708050732421875,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00180000,2025-04-23 14:56:59+00:00,180.0,0.85,0.75,1.75,-0.89,-51.149426,2.0,30,0.5473678076171876,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00185000,2025-04-22 16:55:00+00:00,185.0,2.1,0.9,2.5,0.0,0.0,5.0,41,0.5295457202148439,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00190000,2025-04-23 14:41:40+00:00,190.0,1.15,1.55,3.1,-1.65,-58.928574,1.0,378,0.5144091528320311,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00195000,2025-04-23 15:06:50+00:00,195.0,1.73,2.15,3.3,-2.4699998,-58.809525,1.0,237,0.509892596435547,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00200000,2025-04-23 14:54:06+00:00,200.0,2.99,2.95,3.4,-1.6099999,-34.999996,12.0,501,0.4387263159179688,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00210000,2025-04-23 16:29:17+00:00,210.0,5.9,4.1,6.2,-1.7999997,-23.37662,13.0,682,0.40991801025390623,False,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00220000,2025-04-23 16:24:11+00:00,220.0,10.84,9.0,10.9,-5.459999,-33.496925,6.0,617,0.3958190301513672,True,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00230000,2025-04-17 13:33:11+00:00,230.0,20.5,14.9,18.4,0.0,0.0,5.0,68,0.4368952795410156,True,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00240000,2025-04-17 19:18:47+00:00,240.0,29.65,24.1,28.5,0.0,0.0,2.0,26,0.5704388659667969,True,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
HLT250516P00250000,2025-03-19 18:39:52+00:00,250.0,20.1,37.6,41.4,0.0,0.0,,4,0.7413355944824218,True,REGULAR,USD,HLT,0,2025-05-16,2025-04-23 13:03:49.820040,216.1199951171875
