contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HOLX250516C00035000,2025-04-16 19:22:18+00:00,35.0,21.4,23.0,24.9,0.0,0.0,,2,1.5185570947265623,True,REGULAR,USD,HOLX,1,2025-05-16,2025-04-23 13:03:50.580254,58.16749954223633
HOLX250516C00055000,2025-04-17 16:21:29+00:00,55.0,4.0,4.3,4.6,0.0,0.0,4.0,5,0.471684970703125,True,REGULAR,USD,HOLX,1,2025-05-16,2025-04-23 13:03:50.580254,58.16749954223633
HOLX250516C00057500,2025-04-22 15:05:49+00:00,57.5,2.75,2.4,3.0,0.0,0.0,1.0,15,0.44873598144531246,True,REGULAR,USD,HOLX,1,2025-05-16,2025-04-23 13:03:50.580254,58.16749954223633
HOLX250516C00060000,2025-04-23 14:12:26+00:00,60.0,1.91,1.25,1.65,0.80999994,73.63635,1.0,522,0.40698835205078127,False,REGULAR,USD,HOLX,1,2025-05-16,2025-04-23 13:03:50.580254,58.16749954223633
HOLX250516C00062500,2025-04-22 19:42:31+00:00,62.5,0.77,0.0,1.85,0.0,0.0,3.0,26,0.5856975024414062,False,REGULAR,USD,HOLX,1,2025-05-16,2025-04-23 13:03:50.580254,58.16749954223633
HOLX250516C00065000,2025-04-22 15:13:14+00:00,65.0,0.35,0.3,0.45,0.0,0.0,2.0,61,0.4008848974609375,False,REGULAR,USD,HOLX,1,2025-05-16,2025-04-23 13:03:50.580254,58.16749954223633
HOLX250516C00067500,2025-04-22 16:43:14+00:00,67.5,0.1,0.1,0.25,0.0,0.0,1.0,27,0.41699801757812494,False,REGULAR,USD,HOLX,1,2025-05-16,2025-04-23 13:03:50.580254,58.16749954223633
HOLX250516C00070000,2025-04-08 18:45:47+00:00,70.0,0.32,0.0,1.0,0.0,0.0,1.0,14,0.584965087890625,False,REGULAR,USD,HOLX,1,2025-05-16,2025-04-23 13:03:50.580254,58.16749954223633
HOLX250516C00075000,2025-04-07 15:09:02+00:00,75.0,0.25,0.0,1.0,0.0,0.0,1.0,2,0.7314479980468749,False,REGULAR,USD,HOLX,1,2025-05-16,2025-04-23 13:03:50.580254,58.16749954223633
HOLX250516P00042500,2025-04-17 19:06:34+00:00,42.5,0.23,0.0,0.4,0.0,0.0,1.0,1,0.7460962890625,False,REGULAR,USD,HOLX,0,2025-05-16,2025-04-23 13:03:50.582241,58.16749954223633
HOLX250516P00050000,2025-04-10 16:41:30+00:00,50.0,1.1,0.35,0.8,0.0,0.0,91.0,90,0.5581098876953126,False,REGULAR,USD,HOLX,0,2025-05-16,2025-04-23 13:03:50.582241,58.16749954223633
HOLX250516P00052500,2025-04-22 14:26:35+00:00,52.5,0.85,0.6,0.85,0.0,0.0,347.0,354,0.4995167236328125,False,REGULAR,USD,HOLX,0,2025-05-16,2025-04-23 13:03:50.582241,58.16749954223633
HOLX250516P00055000,2025-04-17 17:13:31+00:00,55.0,1.54,1.1,1.35,0.0,0.0,3.0,313,0.45606012695312503,False,REGULAR,USD,HOLX,0,2025-05-16,2025-04-23 13:03:50.582241,58.16749954223633
HOLX250516P00057500,2025-04-22 14:57:02+00:00,57.5,1.5,1.75,2.1,-0.70000005,-31.818184,4.0,15,0.40918559570312496,False,REGULAR,USD,HOLX,0,2025-05-16,2025-04-23 13:03:50.582241,58.16749954223633
HOLX250516P00060000,2025-04-14 14:09:32+00:00,60.0,3.55,3.1,3.4,0.0,0.0,2.0,64,0.39258419921875,True,REGULAR,USD,HOLX,0,2025-05-16,2025-04-23 13:03:50.582241,58.16749954223633
HOLX250516P00062500,2025-04-22 18:34:20+00:00,62.5,5.15,4.8,5.1,0.0,0.0,2.0,15,0.375982802734375,True,REGULAR,USD,HOLX,0,2025-05-16,2025-04-23 13:03:50.582241,58.16749954223633
HOLX250516P00065000,2025-04-16 17:32:12+00:00,65.0,8.4,5.5,7.5,0.0,0.0,1.0,6,0.4585015087890626,True,REGULAR,USD,HOLX,0,2025-05-16,2025-04-23 13:03:50.582241,58.16749954223633
