contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HON250425C00120000,2025-04-09 17:18:56+00:00,120.0,65.0,77.0,79.6,0.0,0.0,,1,2.3984415039062497,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00130000,2025-04-14 16:11:03+00:00,130.0,69.2,67.0,69.0,0.0,0.0,,6,2.80469048828125,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00150000,2025-03-11 18:43:27+00:00,150.0,61.4,47.0,50.9,0.0,0.0,,1,1.9619142529296876,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00160000,2025-04-10 16:49:09+00:00,160.0,32.4,36.7,39.5,0.0,0.0,,6,1.8115243798828122,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00172500,2025-04-10 17:43:58+00:00,172.5,23.0,24.3,27.0,0.0,0.0,,3,1.3125034374999998,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00175000,2025-04-22 15:58:52+00:00,175.0,23.79,22.1,24.5,0.0,0.0,14.0,17,0.70898728515625,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00182500,2025-04-22 18:31:05+00:00,182.5,15.8,14.6,17.1,0.0,0.0,1.0,15,0.5351608984375,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00185000,2025-04-22 19:26:12+00:00,185.0,13.2,12.0,14.5,0.0,0.0,1.0,6,0.8105487695312499,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00187500,2025-04-09 17:20:41+00:00,187.5,12.0,9.6,11.4,2.5,26.31579,1.0,6,0.569340244140625,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00190000,2025-04-23 16:01:07+00:00,190.0,9.0,7.3,9.1,0.19999981,2.272725,2.0,84,0.5180712255859375,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00192500,2025-04-22 19:30:06+00:00,192.5,5.9,5.8,7.4,0.0,0.0,5.0,8,0.5554243676757813,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00195000,2025-04-22 19:11:08+00:00,195.0,4.4,3.4,4.1,0.0,0.0,10.0,60,0.301764794921875,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00197500,2025-04-23 15:15:17+00:00,197.5,3.28,2.15,2.4,0.73,28.62745,9.0,121,0.2854075366210937,True,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00200000,2025-04-23 15:47:19+00:00,200.0,1.55,1.0,1.4,0.29999995,23.999996,34.0,234,0.3042061767578125,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00202500,2025-04-23 14:43:50+00:00,202.5,0.75,0.35,0.7,0.050000012,7.1428585,47.0,207,0.30689169677734374,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00205000,2025-04-23 14:43:13+00:00,205.0,0.4,0.2,0.35,0.030000001,8.108108,28.0,196,0.3198310205078124,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00207500,2025-04-23 13:52:08+00:00,207.5,0.2,0.05,0.35,0.0,0.0,1.0,237,0.397466962890625,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00210000,2025-04-22 19:38:10+00:00,210.0,0.02,0.0,0.1,0.0,0.0,61.0,870,0.35938140625,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00212500,2025-04-21 13:48:12+00:00,212.5,0.05,0.0,0.1,0.0,0.0,2.0,105,0.41797457031249996,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00215000,2025-04-22 15:21:59+00:00,215.0,0.05,0.0,0.05,0.0,0.0,101.0,114,0.42578699218750005,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00220000,2025-04-21 19:02:37+00:00,220.0,0.35,0.0,0.4,0.0,0.0,24.0,458,0.657229990234375,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00222500,2025-04-14 15:02:15+00:00,222.5,0.07,0.0,1.35,0.0,0.0,,3,0.9252937158203125,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00225000,2025-04-22 13:38:53+00:00,225.0,0.05,0.0,1.35,0.0,0.0,9.0,80,0.9907227490234375,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00230000,2025-04-11 17:25:29+00:00,230.0,0.69,0.0,1.35,0.0,0.0,8.0,588,1.1162153564453123,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00235000,2025-04-11 17:25:29+00:00,235.0,0.68,0.0,1.25,0.0,0.0,8.0,5,1.2148476757812499,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425C00240000,2025-04-21 17:48:32+00:00,240.0,0.01,0.0,1.35,0.0,0.0,105.0,146,1.3505891845703122,False,REGULAR,USD,HON,1,2025-04-25,2025-04-23 13:03:52.687409,198.17999267578125
HON250425P00120000,2025-04-07 19:43:22+00:00,120.0,0.4,0.0,0.05,0.0,0.0,,3,2.0156299609375,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00140000,2025-03-24 18:07:21+00:00,140.0,0.1,0.0,1.35,0.0,0.0,,1,2.2929730175781247,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00145000,2025-04-11 16:14:34+00:00,145.0,0.5,0.0,1.3,0.0,0.0,,3,2.0820360449218747,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00150000,2025-03-24 18:07:54+00:00,150.0,0.1,0.0,1.3,0.0,0.0,,1,1.8935552197265624,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00155000,2025-04-11 16:14:34+00:00,155.0,0.6,0.0,0.3,0.0,0.0,3.0,9,1.3144565527343748,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00160000,2025-04-17 16:30:34+00:00,160.0,0.05,0.0,0.05,0.0,0.0,101.0,151,0.92187578125,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00165000,2025-04-22 13:35:53+00:00,165.0,0.05,0.0,1.3,0.0,0.0,2.0,53,1.3486360693359374,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00170000,2025-04-22 19:36:22+00:00,170.0,0.05,0.0,0.05,0.0,0.0,11.0,31,0.6875031250000001,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00172500,2025-04-22 15:52:14+00:00,172.5,0.18,0.0,0.4,0.0,0.0,2.0,1,0.8476577734374999,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00175000,2025-04-23 14:10:23+00:00,175.0,0.4,0.0,0.2,-0.15,-27.272728,1.0,23,0.6875031250000001,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00177500,2025-04-22 16:03:49+00:00,177.5,0.15,0.0,1.35,0.0,0.0,1.0,111,0.9179695703125,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00180000,2025-04-17 17:46:05+00:00,180.0,0.41,0.0,0.2,0.0,0.0,10.0,25,0.55273884765625,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00182500,2025-04-11 17:20:32+00:00,182.5,1.75,0.0,0.75,0.0,0.0,,3,0.6357458300781251,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00185000,2025-04-23 16:26:32+00:00,185.0,0.08,0.05,0.25,-0.17,-54.83871,13.0,207,0.5029346582031251,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00187500,2025-04-23 15:12:47+00:00,187.5,0.1,0.0,0.2,-0.20000002,-66.66667,2.0,84,0.40332627929687503,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00190000,2025-04-21 19:40:32+00:00,190.0,1.95,0.15,0.3,0.0,0.0,19.0,202,0.362311064453125,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
HON250425P00192500,2025-04-22 19:15:10+00:00,192.5,0.15,0.35,0.55,-0.54999995,-78.571434,1.0,31,0.33838552246093745,False,REGULAR,USD,HON,0,2025-04-25,2025-04-23 13:03:52.689414,198.17999267578125
