contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HPE250425C00007000,2025-04-09 17:18:47+00:00,7.0,5.35,8.2,9.45,0.0,0.0,,2,6.656251679687501,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00008500,2025-04-16 17:57:35+00:00,8.5,6.31,6.95,7.05,0.0,0.0,9.0,9,1.0000000000000003e-05,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00010500,2025-04-09 17:19:26+00:00,10.5,2.29,4.95,5.05,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00011000,2025-04-04 16:05:42+00:00,11.0,1.85,4.45,4.55,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00011500,2025-04-16 14:55:09+00:00,11.5,3.5,3.95,4.2,0.0,0.0,1.0,4,1.625001875,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00012000,2025-04-16 18:00:07+00:00,12.0,2.9,3.4,3.55,0.0,0.0,5.0,15,1.0000000000000003e-05,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00012500,2025-04-23 15:53:47+00:00,12.5,2.95,2.96,3.05,0.9200001,45.3202,5.0,64,1.0000000000000003e-05,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00013000,2025-04-22 13:32:47+00:00,13.0,2.78,2.46,2.61,0.72,34.951458,1.0,13,1.3281283593749997,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00014000,2025-04-23 14:04:15+00:00,14.0,2.06,1.45,1.6,0.91999996,80.70175,23.0,87,0.8281267187499999,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00014500,2025-04-23 15:24:59+00:00,14.5,1.02,0.88,1.2,0.44,75.86207,40.0,1827,0.92187578125,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00015000,2025-04-23 15:50:10+00:00,15.0,0.6,0.57,0.68,0.17000002,39.53489,168.0,755,0.5898478515625001,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00015500,2025-04-23 15:56:58+00:00,15.5,0.28,0.27,0.28,0.099999994,55.55555,326.0,2024,0.4414118359375,True,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
HPE250425C00016000,2025-04-23 16:07:37+00:00,16.0,0.1,0.09,0.12,0.030000001,42.857143,589.0,788,0.5039112109375,False,REGULAR,USD,HPE,1,2025-04-25,2025-04-23 13:03:48.417689,15.5600004196167
