contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HRL250425C00028000,2025-04-14 16:28:27+00:00,28.0,2.9,1.45,3.2,0.0,0.0,1.0,0,1.5000025,True,REGULAR,USD,HRL,1,2025-04-25,2025-04-23 13:03:54.032620,30.579999923706055
HRL250425C00029000,2025-04-22 17:18:03+00:00,29.0,1.62,0.5,2.8,0.0,0.0,15.0,23,1.7714855175781248,True,REGULAR,USD,HRL,1,2025-04-25,2025-04-23 13:03:54.032620,30.579999923706055
HRL250425C00030000,2025-04-23 15:00:36+00:00,30.0,0.84,0.55,0.7,0.01999998,2.439022,94.0,258,0.304694453125,True,REGULAR,USD,HRL,1,2025-04-25,2025-04-23 13:03:54.032620,30.579999923706055
HRL250425C00030500,2025-04-23 16:25:17+00:00,30.5,0.25,0.2,0.3,-0.120000005,-32.43243,3.0,93,0.23438265625,True,REGULAR,USD,HRL,1,2025-04-25,2025-04-23 13:03:54.032620,30.579999923706055
HRL250425C00031000,2025-04-23 13:30:19+00:00,31.0,0.14,0.05,0.15,0.04,40.0,95.0,247,0.28516339843749994,False,REGULAR,USD,HRL,1,2025-04-25,2025-04-23 13:03:54.032620,30.579999923706055
HRL250425C00031500,2025-04-22 13:53:26+00:00,31.5,0.03,0.0,0.4,0.0,0.0,1.0,20,0.6894562304687502,False,REGULAR,USD,HRL,1,2025-04-25,2025-04-23 13:03:54.032620,30.579999923706055
HRL250425C00032000,2025-04-17 16:30:23+00:00,32.0,0.02,0.0,0.75,0.0,0.0,3.0,143,0.8085956640624999,False,REGULAR,USD,HRL,1,2025-04-25,2025-04-23 13:03:54.032620,30.579999923706055
HRL250425C00033000,2025-04-04 17:20:05+00:00,33.0,0.15,0.0,0.05,0.0,0.0,8.0,21,0.5664105859375,False,REGULAR,USD,HRL,1,2025-04-25,2025-04-23 13:03:54.032620,30.579999923706055
HRL250425P00027000,2025-04-17 19:23:25+00:00,27.0,0.1,0.0,1.3,0.0,0.0,1.0,9,1.86328193359375,False,REGULAR,USD,HRL,0,2025-04-25,2025-04-23 13:03:54.033600,30.579999923706055
HRL250425P00028000,2025-04-21 13:48:55+00:00,28.0,0.05,0.0,1.3,0.0,0.0,20.0,717,1.53515857421875,False,REGULAR,USD,HRL,0,2025-04-25,2025-04-23 13:03:54.033600,30.579999923706055
HRL250425P00029000,2025-04-23 15:58:19+00:00,29.0,0.08,0.0,0.15,-0.020000003,-20.000002,3.0,92,0.6132851171875001,False,REGULAR,USD,HRL,0,2025-04-25,2025-04-23 13:03:54.033600,30.579999923706055
HRL250425P00030000,2025-04-23 15:58:19+00:00,30.0,0.1,0.05,0.15,0.0,0.0,11.0,139,0.33789724609375,False,REGULAR,USD,HRL,0,2025-04-25,2025-04-23 13:03:54.033600,30.579999923706055
HRL250425P00030500,2025-04-22 17:16:10+00:00,30.5,0.3,0.05,0.25,0.0,0.0,6.0,21,0.2617261328125,False,REGULAR,USD,HRL,0,2025-04-25,2025-04-23 13:03:54.033600,30.579999923706055
HRL250425P00031000,2025-04-22 19:03:43+00:00,31.0,0.55,0.5,0.65,0.0,0.0,1.0,21,0.36524072265625,True,REGULAR,USD,HRL,0,2025-04-25,2025-04-23 13:03:54.033600,30.579999923706055
HRL250425P00031500,2025-04-15 17:57:20+00:00,31.5,1.17,0.0,1.9,0.0,0.0,,3,1.2402381738281247,True,REGULAR,USD,HRL,0,2025-04-25,2025-04-23 13:03:54.033600,30.579999923706055
HRL250502C00026000,2025-04-14 13:30:10+00:00,26.0,2.75,3.4,6.0,0.0,0.0,,1,0.6992217578125001,True,REGULAR,USD,HRL,1,2025-05-02,2025-04-23 13:03:54.100958,30.579999923706055
HRL250502C00029000,2025-04-22 18:38:31+00:00,29.0,1.75,1.6,1.75,0.0,0.0,2.0,9,0.35156898437499995,True,REGULAR,USD,HRL,1,2025-05-02,2025-04-23 13:03:54.100958,30.579999923706055
HRL250502C00030000,2025-04-23 14:05:29+00:00,30.0,0.85,0.75,0.85,-0.17999995,-17.475723,1.0,28,0.25391371093750004,True,REGULAR,USD,HRL,1,2025-05-02,2025-04-23 13:03:54.100958,30.579999923706055
HRL250502C00030500,2025-04-23 14:34:24+00:00,30.5,0.65,0.45,0.7,0.23999998,58.536583,6.0,47,0.327155166015625,True,REGULAR,USD,HRL,1,2025-05-02,2025-04-23 13:03:54.100958,30.579999923706055
HRL250502C00031000,2025-04-22 19:30:36+00:00,31.0,0.3,0.2,0.3,0.0,0.0,32.0,52,0.23633576171874998,False,REGULAR,USD,HRL,1,2025-05-02,2025-04-23 13:03:54.100958,30.579999923706055
HRL250502C00031500,2025-04-22 17:22:38+00:00,31.5,0.15,0.0,0.15,0.0,0.0,23.0,29,0.231452998046875,False,REGULAR,USD,HRL,1,2025-05-02,2025-04-23 13:03:54.100958,30.579999923706055
HRL250502C00032000,2025-04-22 19:21:43+00:00,32.0,0.06,0.0,0.1,0.0,0.0,5.0,35,0.25977302734375,False,REGULAR,USD,HRL,1,2025-05-02,2025-04-23 13:03:54.100958,30.579999923706055
HRL250502C00033000,2025-04-07 17:29:11+00:00,33.0,0.05,0.0,1.0,0.0,0.0,2.0,28,0.6611362011718751,False,REGULAR,USD,HRL,1,2025-05-02,2025-04-23 13:03:54.100958,30.579999923706055
HRL250502P00024000,2025-04-07 15:10:43+00:00,24.0,0.1,0.0,1.3,0.0,0.0,,10,1.5585959570312498,False,REGULAR,USD,HRL,0,2025-05-02,2025-04-23 13:03:54.102964,30.579999923706055
HRL250502P00025000,2025-04-10 16:55:23+00:00,25.0,0.11,0.0,0.05,0.0,0.0,,5,0.6171913281250001,False,REGULAR,USD,HRL,0,2025-05-02,2025-04-23 13:03:54.102964,30.579999923706055
HRL250502P00026000,2025-04-04 14:07:37+00:00,26.0,0.05,0.0,0.05,0.0,0.0,21.0,22,0.507817421875,False,REGULAR,USD,HRL,0,2025-05-02,2025-04-23 13:03:54.102964,30.579999923706055
HRL250502P00027000,2025-03-25 19:35:53+00:00,27.0,0.25,0.0,1.0,0.0,0.0,,5,0.914063359375,False,REGULAR,USD,HRL,0,2025-05-02,2025-04-23 13:03:54.102964,30.579999923706055
HRL250502P00028000,2025-04-03 13:30:02+00:00,28.0,0.15,0.0,1.0,0.0,0.0,1.0,3,0.74414318359375,False,REGULAR,USD,HRL,0,2025-05-02,2025-04-23 13:03:54.102964,30.579999923706055
HRL250502P00029000,2025-04-22 18:33:13+00:00,29.0,0.11,0.05,0.15,0.0,0.0,3.0,54,0.335944140625,False,REGULAR,USD,HRL,0,2025-05-02,2025-04-23 13:03:54.102964,30.579999923706055
HRL250502P00030000,2025-04-23 16:12:12+00:00,30.0,0.21,0.2,0.3,-0.040000007,-16.000002,1.0,54,0.270515107421875,False,REGULAR,USD,HRL,0,2025-05-02,2025-04-23 13:03:54.102964,30.579999923706055
