contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HSIC250516C00065000,2025-04-22 17:33:25+00:00,65.0,2.25,1.9,3.1,0.0,0.0,1.0,11,0.432622861328125,True,REGULAR,USD,HSIC,1,2025-05-16,2025-04-23 13:03:45.532388,65.41999816894531
HSIC250516C00070000,2025-04-22 15:22:26+00:00,70.0,1.3,0.9,1.25,0.74999994,136.36362,5.0,70,0.4335994140625,False,REGULAR,USD,HSIC,1,2025-05-16,2025-04-23 13:03:45.532388,65.41999816894531
HSIC250516C00075000,2025-04-22 19:55:33+00:00,75.0,0.28,0.0,0.55,0.0,0.0,1.0,12,0.4726615234375,False,REGULAR,USD,HSIC,1,2025-05-16,2025-04-23 13:03:45.532388,65.41999816894531
HSIC250516C00080000,2025-04-02 19:43:07+00:00,80.0,0.33,0.0,0.35,0.0,0.0,,1,0.5488326367187502,False,REGULAR,USD,HSIC,1,2025-05-16,2025-04-23 13:03:45.532388,65.41999816894531
HSIC250516P00055000,2025-04-21 14:12:35+00:00,55.0,0.6,0.0,0.75,0.0,0.0,51.0,103,0.524418818359375,False,REGULAR,USD,HSIC,0,2025-05-16,2025-04-23 13:03:45.534400,65.41999816894531
HSIC250516P00060000,2025-04-17 19:03:30+00:00,60.0,1.0,0.4,1.1,0.0,0.0,12.0,48,0.4809622216796875,False,REGULAR,USD,HSIC,0,2025-05-16,2025-04-23 13:03:45.534400,65.41999816894531
HSIC250516P00065000,2025-04-15 15:35:30+00:00,65.0,3.32,2.45,2.85,0.0,0.0,2.0,10,0.45825737060546884,False,REGULAR,USD,HSIC,0,2025-05-16,2025-04-23 13:03:45.534400,65.41999816894531
HSIC250516P00070000,2025-04-04 13:30:00+00:00,70.0,5.45,4.4,6.1,0.0,0.0,5.0,6,0.4797415307617187,True,REGULAR,USD,HSIC,0,2025-05-16,2025-04-23 13:03:45.534400,65.41999816894531
HSIC250516P00075000,2025-04-04 13:30:00+00:00,75.0,8.55,9.8,10.2,0.0,0.0,5.0,11,0.4907277490234375,True,REGULAR,USD,HSIC,0,2025-05-16,2025-04-23 13:03:45.534400,65.41999816894531
HSIC250516P00080000,2025-04-15 15:35:30+00:00,80.0,15.49,13.0,15.7,0.0,0.0,,0,0.764650791015625,True,REGULAR,USD,HSIC,0,2025-05-16,2025-04-23 13:03:45.534400,65.41999816894531
HSIC250718C00065000,2025-04-03 13:46:59+00:00,65.0,5.8,4.2,6.7,0.0,0.0,2.0,12,0.5120898400878906,True,REGULAR,USD,HSIC,1,2025-07-18,2025-04-23 13:03:45.593743,65.41999816894531
HSIC250718C00070000,2025-04-01 13:51:24+00:00,70.0,4.2,1.95,4.4,0.0,0.0,1.0,3,0.48901878173828134,False,REGULAR,USD,HSIC,1,2025-07-18,2025-04-23 13:03:45.593743,65.41999816894531
