contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HST250516C00011000,2025-04-08 17:15:52+00:00,11.0,2.18,2.85,3.1,0.0,0.0,,1,0.7382838671874999,True,REGULAR,USD,HST,1,2025-05-16,2025-04-23 13:03:54.974306,13.984999656677246
HST250516C00012000,2025-04-10 15:04:44+00:00,12.0,1.75,2.0,2.1,0.0,0.0,2.0,7,0.5312546875,True,REGULAR,USD,HST,1,2025-05-16,2025-04-23 13:03:54.974306,13.984999656677246
HST250516C00013000,2025-04-23 16:03:13+00:00,13.0,1.25,1.15,1.45,0.14999998,13.636362,200.0,563,0.507817421875,True,REGULAR,USD,HST,1,2025-05-16,2025-04-23 13:03:54.974306,13.984999656677246
HST250516C00014000,2025-04-22 17:08:03+00:00,14.0,0.65,0.5,0.6,0.19999999,44.444443,1.0,5193,0.424810439453125,False,REGULAR,USD,HST,1,2025-05-16,2025-04-23 13:03:54.974306,13.984999656677246
HST250516C00015000,2025-04-17 19:43:57+00:00,15.0,0.27,0.1,0.2,0.13000001,92.85715,21.0,3672,0.38477177734374995,False,REGULAR,USD,HST,1,2025-05-16,2025-04-23 13:03:54.974306,13.984999656677246
HST250516C00016000,2025-04-21 19:05:44+00:00,16.0,0.05,0.0,0.1,0.0,0.0,7.0,70,0.445318046875,False,REGULAR,USD,HST,1,2025-05-16,2025-04-23 13:03:54.974306,13.984999656677246
HST250516C00017000,2025-03-24 18:49:34+00:00,17.0,0.08,0.0,0.15,0.0,0.0,10.0,20,0.5390671093750001,False,REGULAR,USD,HST,1,2025-05-16,2025-04-23 13:03:54.974306,13.984999656677246
HST250516P00010000,2025-04-10 19:19:00+00:00,10.0,0.07,0.0,0.55,0.0,0.0,,1,1.2343788281249999,False,REGULAR,USD,HST,0,2025-05-16,2025-04-23 13:03:54.975308,13.984999656677246
HST250516P00011000,2025-04-22 19:16:13+00:00,11.0,0.06,0.0,0.45,0.0,0.0,1.0,2,0.9062509375,False,REGULAR,USD,HST,0,2025-05-16,2025-04-23 13:03:54.975308,13.984999656677246
HST250516P00012000,2025-04-21 15:57:44+00:00,12.0,0.24,0.05,0.15,0.0,0.0,10.0,16,0.507817421875,False,REGULAR,USD,HST,0,2025-05-16,2025-04-23 13:03:54.975308,13.984999656677246
HST250516P00013000,2025-04-23 15:06:40+00:00,13.0,0.15,0.2,0.5,-0.19,-55.88235,8.0,112,0.5371140039062501,False,REGULAR,USD,HST,0,2025-05-16,2025-04-23 13:03:54.975308,13.984999656677246
HST250516P00014000,2025-04-23 14:54:21+00:00,14.0,0.45,0.5,0.85,-0.45,-50.0,12.0,720,0.5898478515625001,True,REGULAR,USD,HST,0,2025-05-16,2025-04-23 13:03:54.975308,13.984999656677246
HST250516P00015000,2025-04-22 15:23:55+00:00,15.0,1.44,1.05,1.25,0.0,0.0,2.0,116,0.414068359375,True,REGULAR,USD,HST,0,2025-05-16,2025-04-23 13:03:54.975308,13.984999656677246
HST250516P00016000,2025-03-21 19:13:35+00:00,16.0,1.65,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,HST,0,2025-05-16,2025-04-23 13:03:54.975308,13.984999656677246
HST250620C00011000,2025-04-14 17:00:02+00:00,11.0,3.31,3.0,3.2,0.3599999,12.203385,1.0,5,0.570316796875,True,REGULAR,USD,HST,1,2025-06-20,2025-04-23 13:03:55.076572,13.984999656677246
HST250620C00012000,2025-04-17 17:37:23+00:00,12.0,2.06,2.15,2.3,0.0,0.0,1.0,1,0.48730981445312505,True,REGULAR,USD,HST,1,2025-06-20,2025-04-23 13:03:55.076572,13.984999656677246
HST250620C00013000,2025-04-09 14:52:11+00:00,13.0,1.0,1.4,1.45,0.0,0.0,,3,0.4023497265625,True,REGULAR,USD,HST,1,2025-06-20,2025-04-23 13:03:55.076572,13.984999656677246
HST250620C00014000,2025-04-22 18:32:00+00:00,14.0,0.75,0.75,0.85,0.0,0.0,10.0,17,0.38281867187499996,False,REGULAR,USD,HST,1,2025-06-20,2025-04-23 13:03:55.076572,13.984999656677246
HST250620C00015000,2025-04-22 19:54:42+00:00,15.0,0.35,0.3,0.45,0.0,0.0,24.0,46,0.372076591796875,False,REGULAR,USD,HST,1,2025-06-20,2025-04-23 13:03:55.076572,13.984999656677246
HST250620C00016000,2025-04-23 13:30:13+00:00,16.0,0.22,0.1,0.2,0.06999999,46.66666,7.0,28,0.35645174804687496,False,REGULAR,USD,HST,1,2025-06-20,2025-04-23 13:03:55.076572,13.984999656677246
HST250620P00009000,2025-04-11 17:18:28+00:00,9.0,0.12,0.05,0.2,0.0,0.0,,1,0.7773459765625,False,REGULAR,USD,HST,0,2025-06-20,2025-04-23 13:03:55.077575,13.984999656677246
HST250620P00012000,2025-04-16 17:33:09+00:00,12.0,0.35,0.15,0.25,0.0,0.0,3.0,5,0.44336494140625,False,REGULAR,USD,HST,0,2025-06-20,2025-04-23 13:03:55.077575,13.984999656677246
HST250620P00013000,2025-04-17 19:56:01+00:00,13.0,0.6,0.4,0.5,0.0,0.0,13.0,18,0.42090422851562503,False,REGULAR,USD,HST,0,2025-06-20,2025-04-23 13:03:55.077575,13.984999656677246
HST250620P00014000,2025-04-23 13:31:24+00:00,14.0,0.63,0.75,0.9,-0.56000006,-47.058826,1.0,24,0.398443515625,True,REGULAR,USD,HST,0,2025-06-20,2025-04-23 13:03:55.077575,13.984999656677246
HST250620P00015000,2025-04-22 15:26:24+00:00,15.0,1.58,1.3,1.45,0.0,0.0,6.0,25,0.36524072265625,True,REGULAR,USD,HST,0,2025-06-20,2025-04-23 13:03:55.077575,13.984999656677246
HST250620P00016000,2025-04-04 15:27:25+00:00,16.0,3.1,2.15,2.25,0.0,0.0,1.0,1,0.3789124609375,True,REGULAR,USD,HST,0,2025-06-20,2025-04-23 13:03:55.077575,13.984999656677246
