contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HSY250425C00150000,2025-04-09 17:19:48+00:00,150.0,15.4,14.6,17.5,0.0,0.0,,1,1.1445355273437499,True,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00152500,2025-04-08 18:30:13+00:00,152.5,10.6,11.8,15.0,0.0,0.0,,3,1.0185595947265624,True,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00155000,2025-04-17 16:25:39+00:00,155.0,10.1,9.5,12.5,0.0,0.0,2.0,9,0.8906260937499999,True,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00157500,2025-04-15 13:30:02+00:00,157.5,14.03,7.0,10.2,0.0,0.0,,4,0.8051777294921875,True,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00160000,2025-04-17 14:37:34+00:00,160.0,5.3,5.5,6.4,0.0,0.0,4.0,16,0.35205726074218746,True,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00162500,2025-04-21 15:05:38+00:00,162.5,3.78,2.7,4.1,0.0,0.0,6.0,8,0.29444064941406245,True,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00165000,2025-04-22 14:25:01+00:00,165.0,3.73,1.5,2.3,0.0,0.0,2.0,130,0.2836985693359374,True,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00167500,2025-04-23 15:49:41+00:00,167.5,0.8,0.5,2.0,-1.02,-56.043957,6.0,29,0.43848217773437503,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00170000,2025-04-23 16:14:57+00:00,170.0,0.53,0.05,0.95,-0.120000005,-18.461538,21.0,81,0.3979552392578125,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00172500,2025-04-23 14:43:37+00:00,172.5,0.35,0.0,0.65,0.049999982,16.66666,1.0,49,0.44775942871093743,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00175000,2025-04-23 14:43:37+00:00,175.0,0.15,0.0,1.4,-0.00999999,-6.2499943,2.0,82,0.5649457568359376,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00177500,2025-04-22 14:51:32+00:00,177.5,0.15,0.0,0.35,-0.03999999,-21.052628,49.0,78,0.5449264257812501,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00180000,2025-04-22 15:48:39+00:00,180.0,0.05,0.0,0.35,0.0,0.0,4.0,36,0.5380905566406251,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00185000,2025-04-21 16:58:18+00:00,185.0,0.02,0.0,0.05,0.0,0.0,1.0,16,0.5039112109375,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00195000,2025-04-11 14:21:57+00:00,195.0,1.1,0.0,0.85,0.0,0.0,3.0,18,1.109379453125,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00200000,2025-04-09 14:04:30+00:00,200.0,0.05,0.0,0.05,0.0,0.0,1.0,12,0.8125018749999999,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00205000,2025-03-24 13:44:54+00:00,205.0,0.15,0.0,1.35,0.0,0.0,3.0,8,1.5087915185546876,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425C00210000,2025-03-11 19:51:59+00:00,210.0,0.9,0.0,4.8,0.0,0.0,1.0,9,2.2622113757324214,False,REGULAR,USD,HSY,1,2025-04-25,2025-04-23 13:03:46.051355,166.08999633789062
HSY250425P00115000,2025-04-11 16:09:49+00:00,115.0,0.68,0.0,1.3,0.0,0.0,,3,2.4707069482421877,False,REGULAR,USD,HSY,0,2025-04-25,2025-04-23 13:03:46.053359,166.08999633789062
HSY250425P00130000,2025-04-11 16:09:49+00:00,130.0,0.78,0.0,1.3,0.0,0.0,,3,1.7714855175781248,False,REGULAR,USD,HSY,0,2025-04-25,2025-04-23 13:03:46.053359,166.08999633789062
HSY250425P00145000,2025-04-16 18:38:43+00:00,145.0,0.24,0.0,1.35,0.0,0.0,,1,1.1259809326171877,False,REGULAR,USD,HSY,0,2025-04-25,2025-04-23 13:03:46.053359,166.08999633789062
HSY250425P00149000,2025-04-16 17:55:14+00:00,149.0,0.3,0.0,1.35,0.0,0.0,4.0,4,0.9521489160156249,False,REGULAR,USD,HSY,0,2025-04-25,2025-04-23 13:03:46.053359,166.08999633789062
HSY250425P00150000,2025-04-21 15:36:20+00:00,150.0,0.05,0.0,0.1,0.0,0.0,3.0,84,0.5351608984375,False,REGULAR,USD,HSY,0,2025-04-25,2025-04-23 13:03:46.053359,166.08999633789062
HSY250425P00152500,2025-04-17 17:20:36+00:00,152.5,0.65,0.0,1.4,0.0,0.0,6.0,8,0.807619111328125,False,REGULAR,USD,HSY,0,2025-04-25,2025-04-23 13:03:46.053359,166.08999633789062
HSY250425P00155000,2025-04-22 16:33:34+00:00,155.0,0.15,0.0,0.25,0.0,0.0,2.0,60,0.52539537109375,False,REGULAR,USD,HSY,0,2025-04-25,2025-04-23 13:03:46.053359,166.08999633789062
HSY250425P00157500,2025-04-23 14:29:48+00:00,157.5,0.1,0.0,1.3,-0.4,-80.0,1.0,10,0.5668988623046876,False,REGULAR,USD,HSY,0,2025-04-25,2025-04-23 13:03:46.053359,166.08999633789062
HSY250425P00160000,2025-04-22 17:22:04+00:00,160.0,0.35,0.2,0.45,0.0,0.0,1.0,44,0.39551385742187506,False,REGULAR,USD,HSY,0,2025-04-25,2025-04-23 13:03:46.053359,166.08999633789062
