contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HUBB250516C00330000,2025-04-11 16:07:08+00:00,330.0,32.89,25.5,32.3,0.0,0.0,1.0,2,0.5440719421386719,True,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
HUBB250516C00340000,2025-04-17 15:12:07+00:00,340.0,17.4,21.1,24.4,0.0,0.0,1.0,27,0.4929249926757813,True,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
HUBB250516C00350000,2025-04-22 13:30:16+00:00,350.0,15.7,15.0,17.5,5.7,57.0,3.0,10,0.45178770874023444,True,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
HUBB250516C00360000,2025-04-14 19:16:30+00:00,360.0,15.9,8.9,13.4,0.0,0.0,1.0,453,0.4637504797363281,False,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
HUBB250516C00370000,2025-04-11 19:44:32+00:00,370.0,13.95,3.6,10.6,0.0,0.0,1.0,4,0.48792015991210946,False,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
HUBB250516C00380000,2025-04-14 13:45:13+00:00,380.0,9.0,4.3,10.0,0.0,0.0,1.0,2,0.5596967858886719,False,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
HUBB250516C00390000,2025-04-09 16:14:57+00:00,390.0,3.22,0.55,5.6,0.0,0.0,,1,0.4919484399414063,False,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
HUBB250516C00400000,2025-04-07 15:09:02+00:00,400.0,2.8,0.0,7.4,0.0,0.0,1.0,2,0.6263465100097658,False,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
HUBB250516C00410000,2025-04-09 17:21:47+00:00,410.0,2.8,0.05,6.8,0.0,0.0,,1,0.528447098388672,False,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
HUBB250516C00420000,2025-04-15 13:30:21+00:00,420.0,0.7,0.0,4.3,0.0,0.0,,2,0.5130663928222656,False,REGULAR,USD,HUBB,1,2025-05-16,2025-04-23 13:03:58.061442,352.489990234375
