contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
HWM250425C00100000,2025-04-04 14:20:56+00:00,100.0,14.59,28.3,32.4,0.0,0.0,5.0,5,2.3798868627929686,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00105000,2025-04-04 19:00:00+00:00,105.0,11.2,23.7,27.9,0.0,0.0,9.0,6,2.275394936523437,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00109000,2025-04-07 19:00:24+00:00,109.0,10.4,20.6,22.9,0.0,0.0,,1,1.5439475927734374,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00110000,2025-04-03 19:34:36+00:00,110.0,16.36,19.7,22.3,0.0,0.0,12.0,34,1.681642216796875,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00112000,2025-04-08 13:39:21+00:00,112.0,12.1,17.7,20.1,0.0,0.0,,3,1.466799541015625,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00114000,2025-04-15 15:52:30+00:00,114.0,12.3,15.6,18.3,0.0,0.0,1.0,2,1.4301786303710937,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00115000,2025-04-17 15:55:47+00:00,115.0,9.49,14.1,17.3,0.0,0.0,1.0,6,1.3671906640625,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00118000,2025-04-10 16:23:07+00:00,118.0,7.75,11.1,14.3,0.0,0.0,2.0,9,1.1777384863281248,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00119000,2025-04-04 15:01:43+00:00,119.0,4.12,10.5,13.2,0.0,0.0,1.0,1,1.0786178881835937,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00120000,2025-04-22 14:21:32+00:00,120.0,10.46,9.6,11.2,6.2,145.5399,1.0,35,0.445318046875,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00121000,2025-04-22 15:25:13+00:00,121.0,3.98,8.6,11.0,0.0,0.0,1.0,18,0.8828136718749999,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
HWM250425C00122000,2025-04-22 14:24:08+00:00,122.0,8.79,8.1,10.3,5.94,208.42107,1.0,7,0.92187578125,True,REGULAR,USD,HWM,1,2025-04-25,2025-04-23 13:03:55.487109,131.1750030517578
