contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
IBM250425C00140000,2025-04-08 19:36:26+00:00,140.0,80.7,103.9,105.45,0.0,0.0,10.0,13,1.0000000000000003e-05,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00145000,2025-04-08 19:40:59+00:00,145.0,75.65,98.55,100.45,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00165000,2025-04-04 19:32:10+00:00,165.0,66.9,78.1,80.6,0.0,0.0,23.0,23,1.8476570117187499,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00170000,2025-04-08 19:34:36+00:00,170.0,52.75,73.5,75.65,0.0,0.0,,14,1.81640716796875,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00180000,2025-04-03 14:14:19+00:00,180.0,65.15,63.15,66.6,0.0,0.0,,2,2.209965412597656,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00185000,2025-04-09 19:58:14+00:00,185.0,51.26,57.75,60.8,0.0,0.0,,5,1.6015644921874999,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00195000,2025-04-08 16:48:18+00:00,195.0,35.1,47.65,51.0,0.0,0.0,,8,1.4716823291015624,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00200000,2025-04-15 15:30:31+00:00,200.0,40.31,42.85,45.1,0.0,0.0,1.0,44,1.0000000000000003e-05,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00205000,2025-04-14 14:15:19+00:00,205.0,37.15,37.9,41.2,0.0,0.0,1.0,4,1.291019169921875,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00210000,2025-04-21 19:25:12+00:00,210.0,26.56,33.15,36.65,0.0,0.0,3.0,259,1.2988316308593748,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00212500,2025-04-14 17:47:04+00:00,212.5,28.45,30.85,34.1,0.0,0.0,2.0,8,1.2094766088867184,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00215000,2025-04-21 16:11:24+00:00,215.0,21.99,28.55,31.75,0.0,0.0,2.0,24,1.175297092285156,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00217500,2025-04-21 13:43:03+00:00,217.5,24.15,26.55,29.05,0.0,0.0,1.0,8,1.0468797656250002,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00220000,2025-04-23 15:54:09+00:00,220.0,25.66,25.75,27.45,3.1900005,14.19671,21.0,53,0.9853517089843751,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00222500,2025-04-21 15:27:18+00:00,222.5,17.4,23.4,24.8,0.0,0.0,5.0,35,0.9101571484375,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00225000,2025-04-23 15:48:08+00:00,225.0,21.65,21.85,22.5,3.1000004,16.711592,42.0,69,0.9555668505859375,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00227500,2025-04-22 19:58:24+00:00,227.5,17.85,19.7,20.4,0.0,0.0,40.0,90,0.9406744213867188,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00230000,2025-04-23 15:50:56+00:00,230.0,17.8,18.0,18.5,2.6999989,17.880787,27.0,72,0.9653323779296875,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00232500,2025-04-23 15:09:33+00:00,232.5,16.0,16.1,17.0,1.8500004,13.074207,36.0,132,0.9860841235351563,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00235000,2025-04-23 15:40:17+00:00,235.0,15.05,14.4,14.85,2.75,22.357723,56.0,923,0.9609378906249999,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00237500,2025-04-23 15:25:57+00:00,237.5,13.3,12.8,14.4,3.0,29.126213,29.0,147,1.035649353027344,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00240000,2025-04-23 16:20:56+00:00,240.0,10.67,11.25,11.65,0.97000027,10.000004,56.0,600,0.958740646972656,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00242500,2025-04-23 16:31:55+00:00,242.5,10.0,9.8,10.6,2.0500002,25.786165,94.0,426,0.9768068725585939,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00245000,2025-04-23 16:30:08+00:00,245.0,9.5,8.4,8.8,2.5,35.714287,300.0,790,0.9414068359375,True,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00247500,2025-04-23 16:03:15+00:00,247.5,7.1,7.15,7.5,1.1999998,20.33898,249.0,144,0.929688203125,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00250000,2025-04-23 16:30:57+00:00,250.0,6.12,6.05,6.45,1.3199997,27.499992,588.0,1026,0.9272468212890624,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00252500,2025-04-23 16:12:22+00:00,252.5,4.7,5.05,5.25,0.77999973,19.897951,99.0,126,0.9084481811523437,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00255000,2025-04-23 16:31:53+00:00,255.0,4.13,4.0,4.35,0.93000007,29.062502,1124.0,771,0.8896495410156249,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00257500,2025-04-23 15:59:20+00:00,257.5,3.55,3.25,3.55,1.02,40.316208,97.0,299,0.8811047045898437,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00260000,2025-04-23 16:32:07+00:00,260.0,2.7,2.43,2.84,0.72,36.363636,528.0,979,0.858399853515625,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00262500,2025-04-23 16:05:08+00:00,262.5,1.97,2.07,2.31,0.39,24.683544,692.0,591,0.8676771044921875,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00265000,2025-04-23 16:26:45+00:00,265.0,1.5,1.57,1.82,0.29999995,24.999996,255.0,513,0.8557143334960937,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00267500,2025-04-23 16:19:15+00:00,267.5,1.16,1.18,1.32,0.120000005,11.538462,81.0,94,0.8361832788085937,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00270000,2025-04-23 16:31:56+00:00,270.0,1.01,0.93,1.08,0.26999998,36.486485,578.0,663,0.842775009765625,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00272500,2025-04-23 15:56:45+00:00,272.5,0.71,0.7,0.92,0.24999997,54.347816,152.0,55,0.850587431640625,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00275000,2025-04-23 16:26:16+00:00,275.0,0.52,0.52,0.62,0.15999997,44.44443,270.0,486,0.8325212060546874,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00277500,2025-04-23 15:45:59+00:00,277.5,0.45,0.37,0.53,0.14999998,49.999992,94.0,147,0.8388687988281249,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00280000,2025-04-23 16:32:40+00:00,280.0,0.32,0.3,0.35,0.11,52.380955,182.0,377,0.8320329296874999,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00285000,2025-04-23 16:32:02+00:00,285.0,0.16,0.13,0.2,0.0,0.0,220.0,218,0.8203142968749999,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00290000,2025-04-23 16:30:57+00:00,290.0,0.09,0.09,0.12,-0.11,-55.0,110.0,97,0.84179845703125,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00295000,2025-04-23 13:33:08+00:00,295.0,0.1,0.0,0.1,0.09,900.0002,4.0,34,0.8320329296874999,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00300000,2025-04-23 16:25:50+00:00,300.0,0.04,0.02,0.03,0.03,300.0,52.0,24,0.8320329296874999,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
IBM250425C00305000,2025-04-17 17:04:14+00:00,305.0,0.03,0.0,0.05,0.0,0.0,49.0,49,0.8906260937499999,False,REGULAR,USD,IBM,1,2025-04-25,2025-04-23 13:04:01.068762,245.5
