contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ICE250516C00125000,2025-04-07 13:36:34+00:00,125.0,30.25,34.8,37.2,0.0,0.0,,1,0.51758294921875,True,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00135000,2025-04-08 18:30:02+00:00,135.0,21.3,25.0,27.4,0.0,0.0,,0,0.6206092626953126,True,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00140000,2025-04-08 18:30:02+00:00,140.0,17.1,20.2,22.7,0.0,0.0,,1,0.5590864404296876,True,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00145000,2025-04-21 15:09:39+00:00,145.0,12.8,16.2,16.7,0.0,0.0,3.0,4,0.35767243896484374,True,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00150000,2025-04-23 15:23:03+00:00,150.0,13.0,11.9,12.3,0.89000034,7.349301,1.0,31,0.3288641333007812,True,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00155000,2025-04-23 15:23:03+00:00,155.0,8.9,7.9,8.4,0.9999995,12.658222,1.0,96,0.3083565258789062,True,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00160000,2025-04-22 19:12:59+00:00,160.0,6.2,4.7,4.9,1.25,25.252525,5.0,200,0.2739330419921875,True,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00165000,2025-04-23 16:28:57+00:00,165.0,2.4,2.3,2.55,-0.29999995,-11.11111,14.0,727,0.2601392346191406,False,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00170000,2025-04-23 14:43:53+00:00,170.0,1.5,0.9,1.05,0.59,64.83516,5.0,80,0.24341576904296874,False,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00175000,2025-04-22 19:50:00+00:00,175.0,0.4,0.3,0.4,0.0,0.0,5.0,118,0.24024197265624997,False,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00180000,2025-04-14 14:48:03+00:00,180.0,0.3,0.0,0.25,0.0,0.0,7.0,116,0.2690502783203125,False,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00185000,2025-04-10 18:18:55+00:00,185.0,1.4,0.0,0.2,0.0,0.0,1.0,202,0.3061592822265625,False,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00190000,2025-04-21 16:18:42+00:00,190.0,1.35,0.0,0.75,0.0,0.0,5.0,127,0.46289599609375004,False,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00195000,2025-03-28 13:30:50+00:00,195.0,0.4,0.0,0.75,0.0,0.0,1.0,2,0.5153857055664062,False,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516C00200000,2025-04-01 14:24:57+00:00,200.0,0.3,0.0,0.3,0.0,0.0,,1,0.46973186523437505,False,REGULAR,USD,ICE,1,2025-05-16,2025-04-23 13:04:07.517185,160.7899932861328
ICE250516P00120000,2025-04-09 19:20:47+00:00,120.0,1.15,0.0,0.25,0.0,0.0,,7,0.5429733203125001,False,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00125000,2025-04-21 13:30:39+00:00,125.0,0.28,0.0,0.75,0.0,0.0,1.0,18,0.5751995605468749,False,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00130000,2025-04-22 19:53:55+00:00,130.0,0.2,0.0,0.75,0.0,0.0,10.0,15,0.500005,False,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00135000,2025-04-14 14:21:38+00:00,135.0,0.97,0.0,0.75,0.0,0.0,2.0,45,0.500005,False,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00140000,2025-04-22 14:59:05+00:00,140.0,0.65,0.5,0.65,0.0,0.0,10.0,39,0.40332627929687503,False,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00145000,2025-04-22 15:55:28+00:00,145.0,0.98,0.9,1.05,0.0,0.0,2.0,92,0.37402969726562496,False,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00150000,2025-04-23 15:58:50+00:00,150.0,1.47,1.5,1.65,-0.01999998,-1.3422806,1.0,80,0.3411931115722656,False,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00155000,2025-04-23 15:21:10+00:00,155.0,2.2,2.3,2.7,-0.39999986,-15.38461,2.0,133,0.3145820495605468,False,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00160000,2025-04-23 16:31:44+00:00,160.0,4.4,4.2,4.5,0.0,0.0,4.0,83,0.2978585839843749,False,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00165000,2025-04-22 19:57:00+00:00,165.0,5.4,6.9,7.1,-1.2999997,-19.40298,1.0,65,0.2819896020507812,True,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00170000,2025-04-22 18:07:47+00:00,170.0,11.2,10.4,10.8,0.0,0.0,21.0,68,0.2880930566406249,True,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00175000,2025-04-08 16:58:18+00:00,175.0,20.7,14.6,15.8,0.0,0.0,1.0,43,0.3675600354003906,True,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00180000,2025-04-02 15:17:04+00:00,180.0,9.8,18.4,20.8,0.0,0.0,5.0,0,0.43945873046875,True,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250516P00185000,2025-04-01 19:00:50+00:00,185.0,14.3,23.6,25.9,0.0,0.0,1.0,0,0.5158739819335938,True,REGULAR,USD,ICE,0,2025-05-16,2025-04-23 13:04:07.518187,160.7899932861328
ICE250620C00065000,2025-04-08 19:45:42+00:00,65.0,86.3,94.2,97.0,0.0,0.0,,36,1.3852569799804684,True,REGULAR,USD,ICE,1,2025-06-20,2025-04-23 13:04:07.582355,160.7899932861328
ICE250620C00070000,2025-04-08 19:45:43+00:00,70.0,81.0,89.4,92.1,0.0,0.0,,13,1.3056675341796873,True,REGULAR,USD,ICE,1,2025-06-20,2025-04-23 13:04:07.582355,160.7899932861328
