contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
IDXX250516C00270000,2025-04-16 13:30:00+00:00,270.0,138.9,159.0,164.1,0.0,0.0,1.0,1,0.8422867333984375,True,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00350000,2025-04-11 14:47:35+00:00,350.0,43.0,78.9,86.3,0.0,0.0,,1,0.5312546875,True,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00370000,2025-04-09 15:00:20+00:00,370.0,22.7,60.7,67.8,0.0,0.0,,1,0.5090381127929688,True,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00380000,2025-04-23 15:31:35+00:00,380.0,58.5,51.9,57.4,11.93,25.61735,1.0,1,0.5668378277587891,True,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00390000,2025-04-11 15:32:10+00:00,390.0,19.0,44.0,49.6,0.0,0.0,,5,0.5606733386230469,True,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00400000,2025-04-14 14:03:47+00:00,400.0,20.0,36.5,42.0,0.0,0.0,2.0,2,0.5455672885131836,True,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00410000,2025-04-16 15:09:32+00:00,410.0,18.6,27.4,32.8,0.0,0.0,1.0,11,0.4770560107421875,True,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00420000,2025-04-16 19:10:15+00:00,420.0,12.5,22.2,26.0,0.0,0.0,1.0,13,0.45798271514892586,True,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00430000,2025-04-21 15:41:41+00:00,430.0,10.19,16.0,21.9,0.0,0.0,1.0,23,0.4842580871582032,True,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00440000,2025-04-22 16:38:09+00:00,440.0,10.12,10.2,16.2,0.0,0.0,10.0,24,0.45618219604492194,False,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00450000,2025-04-23 13:32:43+00:00,450.0,11.42,8.2,12.0,4.42,63.142857,3.0,23,0.4446466668701171,False,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00460000,2025-04-23 15:59:55+00:00,460.0,7.0,4.4,9.7,2.67,61.66282,1.0,12,0.4622856506347657,False,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
IDXX250516C00470000,2025-04-23 16:30:10+00:00,470.0,4.4,2.15,7.1,0.60000014,15.789478,1.0,42,0.457585990600586,False,REGULAR,USD,IDXX,1,2025-05-16,2025-04-23 13:04:02.688745,431.1549987792969
