contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
IEX250516C00170000,2025-04-03 19:28:12+00:00,170.0,8.2,4.2,8.0,0.0,0.0,,1,0.5002491381835938,False,REGULAR,USD,IEX,1,2025-05-16,2025-04-23 13:04:02.328399,168.6475067138672
IEX250516C00180000,2025-04-09 17:24:53+00:00,180.0,4.0,0.1,4.9,0.0,0.0,,2,0.5343064147949219,False,REGULAR,USD,IEX,1,2025-05-16,2025-04-23 13:04:02.328399,168.6475067138672
IEX250516C00185000,2025-04-08 16:59:05+00:00,185.0,1.78,0.0,4.8,0.0,0.0,,1,0.6154823608398439,False,REGULAR,USD,IEX,1,2025-05-16,2025-04-23 13:04:02.328399,168.6475067138672
IEX250516C00195000,2025-03-24 15:08:17+00:00,195.0,3.4,0.0,4.8,0.0,0.0,,2,0.5845988806152342,False,REGULAR,USD,IEX,1,2025-05-16,2025-04-23 13:04:02.328399,168.6475067138672
IEX250516P00125000,2025-04-15 15:20:52+00:00,125.0,0.5,0.0,4.8,0.0,0.0,,3,1.0241748010253908,False,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250516P00130000,2025-04-07 15:09:02+00:00,130.0,1.7,0.0,4.8,0.0,0.0,,1,0.9235847485351563,False,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250516P00135000,2025-04-07 15:09:02+00:00,135.0,2.2,0.0,4.8,0.0,0.0,,1,0.8251970605468748,False,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250516P00145000,2025-04-22 13:30:02+00:00,145.0,1.8,0.0,2.2,0.0,0.0,1.0,1,0.6130409790039064,False,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250516P00150000,2025-04-22 13:30:02+00:00,150.0,2.45,0.0,4.1,0.0,0.0,1.0,3,0.5052539709472657,False,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250516P00165000,2025-04-07 13:52:18+00:00,165.0,14.5,2.5,6.8,0.0,0.0,1.0,2,0.49841810180664065,False,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250516P00170000,2025-04-03 14:16:32+00:00,170.0,7.0,4.5,8.9,0.0,0.0,2.0,1,0.47412635253906255,True,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250516P00175000,2025-03-21 14:18:11+00:00,175.0,5.1,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250516P00190000,2025-04-17 15:44:25+00:00,190.0,26.75,20.0,23.1,0.0,0.0,2.0,0,0.4624077197265626,True,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250516P00200000,2025-03-21 14:35:24+00:00,200.0,22.8,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,IEX,0,2025-05-16,2025-04-23 13:04:02.329402,168.6475067138672
IEX250718C00140000,2025-02-10 19:06:23+00:00,140.0,58.55,42.7,47.3,0.0,0.0,,1,0.956360299682617,True,REGULAR,USD,IEX,1,2025-07-18,2025-04-23 13:04:02.383544,168.6475067138672
IEX250718C00175000,2025-04-09 18:02:00+00:00,175.0,12.2,5.5,10.0,0.0,0.0,,1,0.3869079864501953,False,REGULAR,USD,IEX,1,2025-07-18,2025-04-23 13:04:02.383544,168.6475067138672
IEX250718C00190000,2025-04-03 19:17:13+00:00,190.0,3.75,1.55,5.5,0.0,0.0,5.0,5,0.39014281738281253,False,REGULAR,USD,IEX,1,2025-07-18,2025-04-23 13:04:02.383544,168.6475067138672
IEX250718C00195000,2025-04-07 15:09:02+00:00,195.0,2.05,0.5,5.0,0.0,0.0,1.0,1,0.411688012084961,False,REGULAR,USD,IEX,1,2025-07-18,2025-04-23 13:04:02.383544,168.6475067138672
IEX250718C00200000,2025-04-07 16:36:00+00:00,200.0,2.92,0.0,2.95,0.0,0.0,1.0,2,0.3649355499267578,False,REGULAR,USD,IEX,1,2025-07-18,2025-04-23 13:04:02.383544,168.6475067138672
