contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
IFF250516C00065000,2025-04-09 17:08:27+00:00,65.0,6.9,10.7,12.9,0.0,0.0,,6,0.5766643896484375,True,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00070000,2025-04-21 19:44:15+00:00,70.0,5.2,7.0,7.4,0.0,0.0,1.0,47,0.48413601806640627,True,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00072500,2025-04-22 19:43:04+00:00,72.5,4.8,5.2,5.5,0.0,0.0,11.0,47,0.4545952978515625,True,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00075000,2025-04-23 16:23:10+00:00,75.0,3.7,3.7,4.0,0.4000001,12.121215,11.0,73,0.44824770507812495,True,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00077500,2025-04-22 18:02:35+00:00,77.5,2.7,2.45,2.6,0.84000003,45.16129,9.0,92,0.4182187084960937,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00080000,2025-04-23 15:24:01+00:00,80.0,1.8,1.45,1.75,0.44999993,33.33333,11.0,263,0.42236905761718746,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00082500,2025-04-22 19:58:03+00:00,82.5,0.8,0.8,1.05,-0.01999998,-2.439022,1.0,191,0.41138283935546877,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00085000,2025-04-23 14:36:45+00:00,85.0,0.75,0.0,0.75,0.32,74.4186,3.0,829,0.43555251953125,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00087500,2025-04-21 13:54:57+00:00,87.5,0.41,0.2,0.45,0.22,115.789474,1.0,774,0.43506424316406256,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00090000,2025-04-23 15:44:13+00:00,90.0,0.25,0.0,0.3,0.14,127.27273,45.0,3929,0.44824770507812495,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00092500,2025-04-17 18:58:12+00:00,92.5,0.2,0.0,0.65,0.0,0.0,10.0,104,0.5112353564453125,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00095000,2025-03-13 13:55:01+00:00,95.0,0.45,0.0,1.5,0.0,0.0,1.0,77,0.6914093359375001,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00097500,2025-03-24 19:03:45+00:00,97.5,0.09,0.0,0.75,0.0,0.0,10.0,39,0.6313513427734375,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00100000,2025-04-09 13:30:07+00:00,100.0,0.5,0.0,0.75,0.0,0.0,1.0,165,0.6796907031250001,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00105000,2025-04-21 16:56:38+00:00,105.0,0.08,0.0,0.75,0.0,0.0,1.0,82,0.7695335546875001,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00110000,2025-03-20 17:18:42+00:00,110.0,0.14,0.0,0.95,0.0,0.0,1.0,39,0.8950205810546874,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00115000,2024-11-18 17:12:54+00:00,115.0,0.85,0.0,1.7,0.0,0.0,9.0,37,1.1069380590820312,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00120000,2024-11-27 16:31:14+00:00,120.0,0.66,0.0,1.6,0.0,0.0,2.0,28,1.171879140625,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00125000,2024-12-16 05:13:33+00:00,125.0,3.5,2.35,2.85,0.0,0.0,,4,1.6904312353515625,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516C00130000,2024-12-16 05:13:33+00:00,130.0,1.93,0.05,0.75,0.0,0.0,27.0,37,1.15234798828125,False,REGULAR,USD,IFF,1,2025-05-16,2025-04-23 13:04:08.506268,76.02999877929688
IFF250516P00055000,2025-04-09 17:03:22+00:00,55.0,1.1,0.0,0.45,0.0,0.0,,5,0.743166630859375,False,REGULAR,USD,IFF,0,2025-05-16,2025-04-23 13:04:08.507270,76.02999877929688
IFF250516P00060000,2025-04-22 18:35:23+00:00,60.0,0.35,0.2,0.35,0.0,0.0,4.0,72,0.5986368261718751,False,REGULAR,USD,IFF,0,2025-05-16,2025-04-23 13:04:08.507270,76.02999877929688
IFF250516P00065000,2025-04-14 18:09:07+00:00,65.0,1.2,0.45,0.85,0.0,0.0,9.0,100,0.5463912548828126,False,REGULAR,USD,IFF,0,2025-05-16,2025-04-23 13:04:08.507270,76.02999877929688
