contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
INTC250425C00010000,2025-04-23 15:22:28+00:00,10.0,11.63,10.5,12.4,1.8800001,19.282053,18.0,21,7.648437939453126,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00012000,2025-04-15 17:20:51+00:00,12.0,8.88,8.45,8.6,0.8699999,10.861421,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00012500,2025-04-14 14:51:16+00:00,12.5,8.34,8.05,8.15,0.0,0.0,8.0,24,1.0000000000000003e-05,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00013500,2025-04-21 15:56:58+00:00,13.5,4.8,7.05,7.1,0.0,0.0,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00015000,2025-04-22 19:54:35+00:00,15.0,5.86,5.5,5.6,1.3600001,30.222225,2.0,298,1.0000000000000003e-05,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00015500,2025-04-23 15:12:35+00:00,15.5,5.45,5.05,5.15,1.1699996,27.33644,34.0,71,1.0000000000000003e-05,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00016000,2025-04-22 19:22:43+00:00,16.0,4.55,4.55,4.65,1.1500001,33.823532,32.0,177,1.0000000000000003e-05,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00016500,2025-04-23 15:01:46+00:00,16.5,4.3,4.05,4.15,1.1800003,37.820522,8.0,497,1.0000000000000003e-05,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00017000,2025-04-23 15:21:41+00:00,17.0,3.55,3.6,3.7,1.06,42.57028,162.0,1370,1.0000000000000003e-05,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00017500,2025-04-23 15:26:21+00:00,17.5,3.19,3.1,3.2,1.0900002,51.90477,127.0,687,1.0000000000000003e-05,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00018000,2025-04-23 15:16:50+00:00,18.0,2.65,2.69,2.73,0.85000014,47.222233,193.0,1280,0.6875031250000001,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00018500,2025-04-23 16:30:02+00:00,18.5,2.3,2.25,2.31,0.8299999,56.462578,832.0,2347,0.8828136718749999,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00019000,2025-04-23 16:29:05+00:00,19.0,1.9,1.87,1.9,0.74,63.793106,2342.0,6445,0.9960937890625,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00019500,2025-04-23 16:26:45+00:00,19.5,1.5,1.52,1.56,0.63,72.413795,1480.0,5657,1.0703171484375003,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00020000,2025-04-23 16:32:33+00:00,20.0,1.2,1.21,1.24,0.54,81.818184,7686.0,15579,1.1015669921875002,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00020500,2025-04-23 16:24:49+00:00,20.5,0.93,0.94,0.96,0.45000002,93.75,3819.0,12596,1.1171919140625,True,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00021000,2025-04-23 16:31:49+00:00,21.0,0.71,0.72,0.73,0.37999997,115.1515,10841.0,15323,1.1347699511718752,False,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00021500,2025-04-23 16:33:05+00:00,21.5,0.53,0.53,0.54,0.30999997,134.78258,3982.0,5936,1.1367230664062502,False,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00022000,2025-04-23 16:25:54+00:00,22.0,0.38,0.39,0.41,0.22,137.5,10410.0,15821,1.162113564453125,False,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
INTC250425C00022500,2025-04-23 16:29:23+00:00,22.5,0.28,0.28,0.3,0.17,154.54546,13743.0,3313,1.1757853710937498,False,REGULAR,USD,INTC,1,2025-04-25,2025-04-23 13:04:05.458235,20.729999542236328
