contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
INTU250425C00395000,2025-04-10 13:40:04+00:00,395.0,180.8,198.3,204.1,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00420000,2025-04-08 19:36:21+00:00,420.0,124.7,173.0,179.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00445000,2025-04-11 15:00:05+00:00,445.0,135.0,147.1,154.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00485000,2025-04-08 19:35:04+00:00,485.0,67.6,108.5,114.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00510000,2025-04-09 15:47:24+00:00,510.0,47.3,83.5,90.2,0.0,0.0,,1,1.0720261242675786,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00520000,2025-04-11 15:00:05+00:00,520.0,65.0,72.4,78.7,0.0,0.0,1.0,10,1.0000000000000003e-05,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00540000,2025-04-11 14:50:50+00:00,540.0,46.78,52.5,60.3,0.0,0.0,1.0,41,0.7690452783203126,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00545000,2025-04-23 15:00:37+00:00,545.0,59.0,47.6,53.4,14.099998,31.403114,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00550000,2025-04-23 16:24:00+00:00,550.0,45.6,43.5,48.6,24.269999,113.783394,2.0,54,1.0000000000000003e-05,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00555000,2025-04-21 17:12:02+00:00,555.0,16.4,38.3,45.2,0.0,0.0,1.0,5,0.5939982006835938,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00560000,2025-04-22 19:54:40+00:00,560.0,26.3,34.1,39.9,0.0,0.0,1.0,45,0.5002491381835938,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00565000,2025-04-22 16:04:46+00:00,565.0,21.9,30.6,34.9,0.0,0.0,2.0,30,0.44824770507812495,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00570000,2025-04-21 15:53:45+00:00,570.0,10.5,24.9,29.5,0.0,0.0,5.0,94,0.33765310791015624,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00572500,2025-04-09 17:24:29+00:00,572.5,23.3,22.2,28.0,0.0,0.0,,1,0.43140217041015627,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00575000,2025-04-22 17:31:55+00:00,575.0,11.3,20.0,27.3,0.0,0.0,4.0,51,0.5378464184570313,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00577500,2025-04-08 17:34:14+00:00,577.5,10.93,17.3,22.8,0.0,0.0,,1,0.3544986425781249,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00580000,2025-04-22 19:54:10+00:00,580.0,10.5,16.6,20.2,0.0,0.0,5.0,92,0.3161689477539062,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00582500,2025-04-17 16:40:54+00:00,582.5,17.3,16.2,19.4,0.0,0.0,9.0,9,0.4063780065917969,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00585000,2025-04-23 15:46:54+00:00,585.0,17.15,14.6,18.7,8.969999,109.65769,10.0,7,0.4725394543457031,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00590000,2025-04-22 18:37:43+00:00,590.0,5.3,8.5,13.3,0.0,0.0,3.0,23,0.3685976226806641,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00592500,2025-04-23 14:37:19+00:00,592.5,14.7,9.0,13.5,9.799999,199.99997,12.0,116,0.4567925415039063,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00595000,2025-04-23 15:00:37+00:00,595.0,12.3,7.5,10.4,9.8,392.0,6.0,14,0.3789124609375,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00597500,2025-04-22 18:54:56+00:00,597.5,2.98,4.6,8.3,0.0,0.0,10.0,18,0.3450993225097656,True,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00600000,2025-04-23 16:33:20+00:00,600.0,5.5,3.3,8.4,3.3,150.0,21.0,121,0.40759869750976563,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00602500,2025-04-23 13:35:30+00:00,602.5,7.2,3.9,5.8,5.6499996,364.51605,4.0,9,0.33924000610351557,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00605000,2025-04-22 19:07:39+00:00,605.0,5.7,2.15,5.9,4.2999997,307.14282,1.0,21,0.3914245428466796,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00607500,2025-04-23 14:35:10+00:00,607.5,6.8,1.95,3.4,6.0,749.9998,30.0,5,0.3110420458984374,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00610000,2025-04-23 14:21:47+00:00,610.0,5.14,1.45,3.4,4.69,1042.2227,229.0,493,0.3494938098144531,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00612500,2025-04-23 13:35:30+00:00,612.5,3.8,0.9,1.95,3.6499999,2433.3318,8.0,7,0.3009103112792969,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00615000,2025-04-22 16:52:14+00:00,615.0,2.6,0.45,1.5,2.1999998,549.9998,16.0,208,0.3016427258300781,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00617500,2025-04-23 14:18:54+00:00,617.5,1.85,0.0,1.8,1.5,428.5714,3.0,13,0.3530338134765625,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00620000,2025-04-22 19:42:35+00:00,620.0,1.0,0.0,1.85,0.7,233.33333,8.0,362,0.38623660644531244,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00622500,2025-04-23 16:25:08+00:00,622.5,0.1,0.25,1.05,-2.75,-96.491234,1.0,12,0.3479069116210937,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00625000,2025-04-23 13:52:37+00:00,625.0,1.0,0.0,1.85,0.90999997,1011.1107,9.0,7,0.44312080322265623,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00627500,2025-04-21 16:05:40+00:00,627.5,0.27,0.0,1.45,0.0,0.0,2.0,9,0.43677321044921874,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00630000,2025-04-23 14:17:34+00:00,630.0,0.45,0.0,0.65,0.35,350.00003,54.0,65,0.375982802734375,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00632500,2025-04-16 19:33:52+00:00,632.5,1.0,0.0,1.5,0.0,0.0,1.0,2,0.4929249926757813,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00640000,2025-04-21 18:09:01+00:00,640.0,0.05,0.0,1.45,0.0,0.0,2.0,28,0.5620160986328125,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00642500,2025-04-14 14:06:48+00:00,642.5,2.26,0.0,1.5,0.0,0.0,,1,0.5004932763671875,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00645000,2025-04-09 18:42:00+00:00,645.0,2.2,0.0,1.5,0.0,0.0,,7,0.5217332983398437,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00650000,2025-04-21 13:30:01+00:00,650.0,0.31,0.0,1.5,0.0,0.0,1.0,57,0.5637250659179689,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00655000,2025-04-11 16:25:45+00:00,655.0,1.0,0.0,1.5,0.0,0.0,,7,0.6049844189453126,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00660000,2025-04-07 16:49:50+00:00,660.0,1.5,0.0,1.5,0.0,0.0,1.0,1,0.6450230810546875,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00665000,2025-04-10 19:01:51+00:00,665.0,1.08,0.0,1.5,0.0,0.0,,1,0.684573466796875,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00670000,2025-04-22 16:05:33+00:00,670.0,0.1,0.0,1.5,0.0,0.0,2.0,11,0.7233914379882812,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00680000,2025-04-11 14:55:50+00:00,680.0,1.14,0.0,1.5,0.0,0.0,2.0,29,0.79883013671875,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00690000,2025-03-14 16:13:36+00:00,690.0,2.69,0.0,0.0,0.0,0.0,,25,0.2500075,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00700000,2025-03-11 18:48:39+00:00,700.0,1.55,0.1,2.8,0.0,0.0,,1,1.070805427246094,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00710000,2025-03-11 18:48:39+00:00,710.0,1.13,0.05,2.8,0.0,0.0,1.0,2,1.1420941333007812,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00780000,2025-04-07 14:05:57+00:00,780.0,0.2,0.0,1.5,0.0,0.0,4.0,3,1.4506863403320311,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425C00790000,2025-03-10 14:23:36+00:00,790.0,0.2,0.0,2.7,0.0,0.0,,3,1.6621110644531252,False,REGULAR,USD,INTU,1,2025-04-25,2025-04-23 13:04:11.252723,599.1099853515625
INTU250425P00350000,2025-03-10 13:50:48+00:00,350.0,0.3,0.0,2.7,0.0,0.0,,42,3.0937522656249996,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00360000,2025-04-07 13:30:01+00:00,360.0,1.0,0.0,1.5,0.0,0.0,,1,2.6894564013671873,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00390000,2025-04-04 16:38:54+00:00,390.0,0.7,0.0,1.5,0.0,0.0,1000.0,5,2.3105510986328124,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00400000,2025-04-08 19:49:11+00:00,400.0,1.29,0.0,1.5,0.0,0.0,,1,2.1904342114257807,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00412500,2025-04-21 13:58:03+00:00,412.5,0.23,0.0,0.05,0.0,0.0,1.0,3,1.3750031249999999,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00425000,2025-04-21 14:02:06+00:00,425.0,0.45,0.0,0.05,0.0,0.0,3.0,7,1.2734411328124997,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00450000,2025-04-22 14:01:28+00:00,450.0,0.1,0.0,1.5,0.0,0.0,100.0,103,1.623048759765625,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00455000,2025-04-17 16:09:00+00:00,455.0,0.34,0.0,1.5,0.0,0.0,1.0,1,1.5693380908203123,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00475000,2025-04-22 14:31:47+00:00,475.0,0.16,0.0,0.05,0.0,0.0,15.0,18,0.8906260937499999,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00485000,2025-04-09 17:30:01+00:00,485.0,3.27,0.0,1.5,0.0,0.0,,28,1.2529334228515623,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00490000,2025-04-17 15:48:39+00:00,490.0,0.05,0.0,1.5,0.0,0.0,1.0,57,1.2016641479492187,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00495000,2025-04-17 18:11:52+00:00,495.0,1.05,0.0,1.5,0.0,0.0,13.0,37,1.150394873046875,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00500000,2025-04-23 16:08:57+00:00,500.0,0.05,0.0,1.5,-0.75,-93.75,1.0,89,1.0991255981445316,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00505000,2025-04-09 17:26:38+00:00,505.0,4.77,0.0,1.5,0.0,0.0,,22,1.0483446020507814,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00507500,2025-04-21 17:49:50+00:00,507.5,1.11,0.0,1.5,0.0,0.0,34.0,35,1.0229541040039063,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00510000,2025-04-21 15:14:46+00:00,510.0,0.89,0.0,1.5,0.0,0.0,36.0,38,0.99804689453125,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00515000,2025-04-22 19:26:03+00:00,515.0,0.39,0.0,1.5,0.0,0.0,40.0,62,0.94726615234375,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00517500,2025-04-17 16:43:31+00:00,517.5,3.15,0.0,1.5,0.0,0.0,1.0,1,0.9223640576171875,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00520000,2025-04-22 18:28:00+00:00,520.0,0.4,0.0,1.5,0.0,0.0,49.0,93,0.8969736865234373,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00522500,2025-04-22 13:58:09+00:00,522.5,0.65,0.0,1.5,0.0,0.0,1.0,5,0.8720715917968749,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00525000,2025-04-17 18:48:53+00:00,525.0,0.7,0.0,1.5,0.0,0.0,1.0,11,0.8469253588867187,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00530000,2025-04-22 19:26:03+00:00,530.0,0.64,0.0,0.6,0.0,0.0,46.0,60,0.6787141503906251,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
INTU250425P00535000,2025-04-21 19:54:40+00:00,535.0,2.6,0.0,0.6,0.0,0.0,8.0,54,0.6337927246093751,False,REGULAR,USD,INTU,0,2025-04-25,2025-04-23 13:04:11.253732,599.1099853515625
