contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
INVH250516C00027500,2025-03-31 18:54:43+00:00,27.5,7.6,6.1,7.1,0.0,0.0,,1,0.55273884765625,True,REGULAR,USD,INVH,1,2025-05-16,2025-04-23 13:04:14.583034,33.970001220703125
INVH250516C00032500,2025-04-16 14:31:38+00:00,32.5,1.67,1.8,1.9,0.0,0.0,2.0,68,0.2934640966796874,True,REGULAR,USD,INVH,1,2025-05-16,2025-04-23 13:04:14.583034,33.970001220703125
INVH250516C00035000,2025-04-23 16:10:16+00:00,35.0,0.45,0.45,1.5,-0.15000004,-25.000006,1.0,364,0.559574716796875,False,REGULAR,USD,INVH,1,2025-05-16,2025-04-23 13:04:14.583034,33.970001220703125
INVH250516C00037500,2025-04-22 17:26:07+00:00,37.5,0.1,0.0,0.15,0.0,0.0,11.0,294,0.31250687499999996,False,REGULAR,USD,INVH,1,2025-05-16,2025-04-23 13:04:14.583034,33.970001220703125
INVH250516C00040000,2025-03-27 16:45:11+00:00,40.0,0.06,0.0,0.1,0.0,0.0,,12,0.4101621484375,False,REGULAR,USD,INVH,1,2025-05-16,2025-04-23 13:04:14.583034,33.970001220703125
INVH250516P00027500,2025-04-16 14:35:52+00:00,27.5,0.15,0.0,0.75,0.0,0.0,74.0,97,0.7334011035156249,False,REGULAR,USD,INVH,0,2025-05-16,2025-04-23 13:04:14.585039,33.970001220703125
INVH250516P00030000,2025-04-16 14:45:56+00:00,30.0,0.26,0.1,0.2,0.0,0.0,1.0,46,0.41309180664062495,False,REGULAR,USD,INVH,0,2025-05-16,2025-04-23 13:04:14.585039,33.970001220703125
INVH250516P00032500,2025-04-22 16:34:55+00:00,32.5,0.4,0.4,0.5,0.0,0.0,3.0,117,0.317389638671875,False,REGULAR,USD,INVH,0,2025-05-16,2025-04-23 13:04:14.585039,33.970001220703125
INVH250516P00035000,2025-04-22 15:07:54+00:00,35.0,1.4,1.45,1.65,0.0,0.0,5.0,23,0.29932341308593746,True,REGULAR,USD,INVH,0,2025-05-16,2025-04-23 13:04:14.585039,33.970001220703125
INVH250516P00037500,2025-03-25 15:09:23+00:00,37.5,3.4,3.3,4.6,0.0,0.0,,1,0.6689486230468751,True,REGULAR,USD,INVH,0,2025-05-16,2025-04-23 13:04:14.585039,33.970001220703125
