contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
IQV250516C00100000,2025-04-11 16:51:40+00:00,100.0,45.4,46.8,49.8,0.0,0.0,,1,0.6914093359375001,True,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00120000,2025-04-11 16:51:14+00:00,120.0,27.8,27.9,29.9,0.0,0.0,,1,0.5805706005859376,True,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00130000,2025-04-11 17:49:38+00:00,130.0,21.7,19.1,22.0,0.0,0.0,,1,0.6012002770996094,True,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00135000,2025-04-22 14:26:23+00:00,135.0,12.2,15.2,17.3,0.0,0.0,1.0,5,0.5510298803710938,True,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00140000,2025-04-22 14:46:10+00:00,140.0,10.06,12.1,13.9,0.0,0.0,4.0,30,0.5609174768066407,True,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00145000,2025-04-22 16:12:29+00:00,145.0,7.5,9.4,10.2,0.0,0.0,144.0,28661,0.5405319384765627,True,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00150000,2025-04-21 17:49:49+00:00,150.0,4.8,7.1,7.7,0.0,0.0,8.0,23,0.5424850439453126,False,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00155000,2025-04-22 19:37:49+00:00,155.0,3.6,4.7,5.5,0.0,0.0,8.0,43,0.5192919165039063,False,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00160000,2025-04-23 14:16:09+00:00,160.0,4.0,3.2,3.5,1.3499999,50.94339,1.0,24,0.5007374145507812,False,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00165000,2025-04-23 14:44:48+00:00,165.0,2.64,2.05,2.35,1.3000001,97.01492,8.0,40,0.5086719055175781,False,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00170000,2025-04-23 14:44:48+00:00,170.0,1.64,1.0,1.4,0.89,118.666664,2.0,46,0.49133809448242194,False,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00175000,2025-04-21 16:18:12+00:00,175.0,0.36,0.6,0.85,0.0,0.0,3.0,19,0.48608912353515626,False,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
IQV250516C00180000,2025-04-16 19:28:05+00:00,180.0,0.9,0.35,0.6,0.0,0.0,1.0,56,0.5019581054687501,False,REGULAR,USD,IQV,1,2025-05-16,2025-04-23 13:04:15.037952,148.1999969482422
