contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
IRM250425C00070000,2025-04-10 16:16:41+00:00,70.0,11.15,13.3,15.9,0.0,0.0,,1,2.128910927734375,True,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00080000,2025-04-15 13:32:18+00:00,80.0,5.7,3.5,5.3,0.0,0.0,,10,0.7656273437500001,True,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00082000,2025-04-22 17:43:09+00:00,82.0,1.7,2.35,3.0,0.0,0.0,2.0,30,0.42578699218750005,True,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00083000,2025-04-21 16:46:19+00:00,83.0,2.05,1.75,2.15,0.9499999,86.363625,5.0,5,0.38281867187499996,True,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00084000,2025-04-22 19:42:15+00:00,84.0,1.0,1.15,1.35,0.0,0.0,5.0,11,0.33008482421874996,True,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00085000,2025-04-23 16:29:59+00:00,85.0,0.75,0.65,0.9,0.14999998,24.999996,5.0,38,0.35108070800781244,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00086000,2025-04-23 14:34:34+00:00,86.0,0.95,0.3,0.55,0.6,171.4286,5.0,57,0.35742830078125,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00087000,2025-04-23 13:44:06+00:00,87.0,0.18,0.1,0.25,0.010000005,5.8823557,2.0,56,0.3320379296875,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00088000,2025-04-22 15:12:26+00:00,88.0,0.08,0.0,0.15,0.029999997,24.999996,4.0,98,0.3544986425781249,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00089000,2025-04-22 19:37:47+00:00,89.0,0.03,0.0,0.1,0.0,0.0,2.0,92,0.38477177734374995,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00090000,2025-04-21 15:31:30+00:00,90.0,0.28,0.0,0.5,0.0,0.0,1.0,10,0.5654340332031251,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00091000,2025-03-24 19:57:36+00:00,91.0,2.92,0.0,0.75,0.0,0.0,,1,0.7148466015625,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00092000,2025-04-15 13:58:10+00:00,92.0,0.21,0.0,0.75,0.0,0.0,1.0,1,0.78711150390625,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00093000,2025-04-09 17:19:45+00:00,93.0,0.22,0.0,1.75,0.0,0.0,1.0,3,1.12891060546875,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00094000,2025-04-17 18:23:13+00:00,94.0,0.05,0.0,0.05,0.0,0.0,1.0,1001,0.5390671093750001,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00095000,2025-04-17 14:14:19+00:00,95.0,0.01,0.0,0.05,0.0,0.0,1.0,8,0.585941640625,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00096000,2025-04-16 13:43:11+00:00,96.0,0.05,0.0,1.0,0.0,0.0,1.0,4,1.1396527392578126,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00097000,2025-04-08 17:33:08+00:00,97.0,0.2,0.0,0.05,0.0,0.0,2.0,5,0.6718782812500002,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00098000,2025-03-24 18:50:40+00:00,98.0,0.58,0.0,0.9,0.0,0.0,,2,1.2324257128906249,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00099000,2025-04-21 15:34:49+00:00,99.0,0.06,0.0,0.75,0.0,0.0,1.0,7,1.236331943359375,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00100000,2025-03-17 18:16:57+00:00,100.0,0.72,0.0,0.0,0.0,0.0,,2,0.500005,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425C00115000,2025-03-07 14:48:52+00:00,115.0,1.45,0.0,0.0,0.0,0.0,1.0,1,0.500005,False,REGULAR,USD,IRM,1,2025-04-25,2025-04-23 13:04:15.588421,84.625
IRM250425P00070000,2025-04-14 16:08:11+00:00,70.0,0.15,0.0,0.75,0.0,0.0,,2,1.4882838085937498,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00072000,2025-04-17 16:07:42+00:00,72.0,0.05,0.0,0.75,0.0,0.0,60.0,60,1.3144565527343748,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00073000,2025-04-09 15:06:41+00:00,73.0,2.9,0.0,0.15,0.0,0.0,,1,0.87500125,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00074000,2025-04-17 15:55:34+00:00,74.0,0.1,0.0,0.75,0.0,0.0,30.0,30,1.140629296875,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00075000,2025-03-25 15:09:10+00:00,75.0,0.35,0.0,0.15,0.0,0.0,1.0,1,0.7382838671874999,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00077000,2025-04-17 19:23:27+00:00,77.0,0.2,0.0,0.55,0.0,0.0,1.0,2,0.807619111328125,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00078000,2025-04-22 18:21:19+00:00,78.0,0.2,0.0,0.75,0.0,0.0,4.0,6,0.7929708203125,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00079000,2025-04-21 14:18:15+00:00,79.0,0.45,0.05,0.2,0.0,0.0,15.0,108,0.5214891601562499,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00080000,2025-04-23 13:42:01+00:00,80.0,0.05,0.15,0.3,-0.88,-94.62366,1.0,767,0.5224657128906249,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00081000,2025-04-22 16:18:39+00:00,81.0,0.51,0.0,0.3,0.0,0.0,6.0,6,0.481450498046875,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00082000,2025-04-23 13:30:02+00:00,82.0,0.45,0.25,0.5,-0.45,-50.0,3.0,22,0.481450498046875,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00083000,2025-04-22 17:23:13+00:00,83.0,1.5,0.6,0.9,0.0,0.0,7.0,25,0.5214891601562499,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00084000,2025-04-22 19:41:03+00:00,84.0,1.15,0.95,1.4,-0.6,-34.285717,1.0,19,0.5556685058593751,False,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00085000,2025-04-17 19:12:06+00:00,85.0,1.8,1.15,1.95,0.0,0.0,6.0,8,0.5722699023437501,True,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00087000,2025-04-02 15:41:47+00:00,87.0,2.1,2.6,3.6,0.0,0.0,1.0,2,0.5307664111328125,True,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00088000,2025-04-21 13:53:04+00:00,88.0,4.99,2.25,5.0,0.0,0.0,1.0,1,0.96679720703125,True,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00089000,2025-04-04 17:36:40+00:00,89.0,10.6,3.1,5.7,0.0,0.0,2.0,0,0.96289099609375,True,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00090000,2025-03-25 15:06:02+00:00,90.0,5.5,4.0,6.8,2.1,61.764698,2.0,3,1.0996138769531252,True,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250425P00100000,2025-04-01 18:09:57+00:00,100.0,15.3,14.3,17.3,0.0,0.0,4.0,0,1.3339877050781246,True,REGULAR,USD,IRM,0,2025-04-25,2025-04-23 13:04:15.589424,84.625
IRM250502C00080000,2025-04-21 15:31:27+00:00,80.0,4.2,5.4,6.0,0.0,0.0,12.0,12,0.51562984375,True,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00081000,2025-04-07 16:29:22+00:00,81.0,2.14,4.7,5.3,0.0,0.0,,5,0.5168505346679688,True,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00082000,2025-04-14 15:36:16+00:00,82.0,5.65,3.4,4.9,0.0,0.0,3.0,4,0.6235389208984375,True,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00083000,2025-04-22 16:13:59+00:00,83.0,3.2,3.4,4.7,0.0,0.0,1.0,11,0.5732464550781251,True,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00084000,2025-04-22 16:58:37+00:00,84.0,2.45,2.9,3.3,0.0,0.0,1.0,5,0.5349167602539062,True,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00085000,2025-04-22 18:48:12+00:00,85.0,2.15,2.35,2.65,0.0,0.0,3.0,16,0.5061084545898438,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00086000,2025-04-22 17:34:50+00:00,86.0,1.5,1.9,2.35,0.0,0.0,26.0,25,0.5302781347656251,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00087000,2025-04-22 17:28:52+00:00,87.0,1.15,1.5,1.8,0.0,0.0,23.0,30,0.4995167236328125,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00088000,2025-04-23 13:46:23+00:00,88.0,1.3,1.2,1.5,0.29999995,29.999996,2.0,3,0.5053760400390624,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00089000,2025-04-22 19:35:28+00:00,89.0,1.45,0.9,1.15,0.75000006,107.14287,3.0,72,0.4907277490234375,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00090000,2025-04-22 19:56:52+00:00,90.0,0.63,0.7,0.9,0.0,0.0,151.0,177,0.48682153808593753,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00091000,2025-04-17 18:32:01+00:00,91.0,0.85,0.5,0.85,0.0,0.0,6.0,9,0.5224657128906249,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00092000,2025-04-14 14:32:41+00:00,92.0,0.85,0.15,0.95,0.0,0.0,4.0,7,0.5932657861328126,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00093000,2025-04-01 13:30:07+00:00,93.0,1.9,0.05,0.75,0.0,0.0,,1,0.584965087890625,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00094000,2025-03-31 15:00:42+00:00,94.0,1.1,0.1,0.75,0.0,0.0,1.0,67,0.524418818359375,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00095000,2025-04-16 16:30:56+00:00,95.0,0.14,0.05,0.3,0.0,0.0,1.0,12,0.5117236328125,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00096000,2025-04-17 16:09:01+00:00,96.0,0.15,0.05,0.75,0.0,0.0,1.0,4,0.586918193359375,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00097000,2025-03-21 17:06:14+00:00,97.0,1.05,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00098000,2025-03-20 15:16:12+00:00,98.0,1.35,0.0,0.9,0.0,0.0,,0,0.6748079394531252,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00099000,2025-04-16 13:30:02+00:00,99.0,0.05,0.0,0.9,0.0,0.0,1.0,2,0.7084990087890625,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502C00100000,2025-04-14 13:51:20+00:00,100.0,0.05,0.0,0.5,0.0,0.0,1.0,15,0.64648791015625,False,REGULAR,USD,IRM,1,2025-05-02,2025-04-23 13:04:15.687679,84.625
IRM250502P00074000,2025-03-21 18:19:07+00:00,74.0,0.7,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00075000,2025-04-16 13:30:10+00:00,75.0,0.7,0.45,0.7,0.0,0.0,1.0,4,0.6543003320312502,False,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00076000,2025-04-23 16:02:01+00:00,76.0,0.55,0.5,0.75,-2.8500001,-83.823524,1.0,7,0.6201209863281252,False,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00078000,2025-04-16 16:20:21+00:00,78.0,1.35,0.7,1.1,0.0,0.0,5.0,9,0.5908244042968751,False,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00079000,2025-04-21 19:11:00+00:00,79.0,2.35,1.0,1.25,0.0,0.0,25.0,24,0.5883830224609375,False,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00080000,2025-04-21 14:50:02+00:00,80.0,1.29,1.2,1.5,-0.86000013,-40.000004,2.0,207,0.577152666015625,False,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00081000,2025-04-22 15:23:45+00:00,81.0,1.85,1.5,2.05,0.0,0.0,1.0,4,0.5988809643554689,False,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00084000,2025-04-17 16:18:48+00:00,84.0,2.72,2.3,3.1,0.0,0.0,2.0,10,0.5395553857421876,False,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00085000,2025-04-22 16:00:48+00:00,85.0,3.6,3.2,3.6,0.0,0.0,3.0,13,0.5732464550781251,True,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00087000,2025-04-16 15:50:13+00:00,87.0,4.7,4.3,5.0,0.0,0.0,6.0,6,0.5876506079101562,True,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00088000,2025-04-09 13:38:00+00:00,88.0,13.5,4.8,5.7,0.0,0.0,2.0,0,0.5776409423828125,True,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00089000,2025-03-17 16:42:04+00:00,89.0,4.95,5.8,6.6,0.0,0.0,,5,0.6279334082031252,True,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00092000,2025-04-04 16:06:18+00:00,92.0,12.92,6.3,9.4,0.0,0.0,1.0,1,0.8320329296874999,True,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00094000,2025-04-03 14:22:15+00:00,94.0,10.55,8.4,11.1,0.0,0.0,10.0,10,0.5063525927734375,True,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
IRM250502P00095000,2025-04-22 17:19:36+00:00,95.0,12.29,9.2,11.7,0.0,0.0,1.0,0,0.8183611914062499,True,REGULAR,USD,IRM,0,2025-05-02,2025-04-23 13:04:15.688682,84.625
