contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ISRG250425C00310000,2025-04-08 19:35:13+00:00,310.0,149.9,179.5,185.6,0.0,0.0,,6,2.8564481713867185,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00315000,2025-04-08 19:35:04+00:00,315.0,145.2,172.8,180.8,0.0,0.0,,1,2.8393583703613277,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00325000,2025-04-08 19:45:35+00:00,325.0,133.0,164.4,169.4,0.0,0.0,,1,1.9765626171875001,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00340000,2025-04-08 19:35:03+00:00,340.0,122.5,147.4,154.8,0.0,0.0,1.0,2,2.0556689233398435,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00345000,2025-04-08 19:36:21+00:00,345.0,115.4,143.4,150.5,0.0,0.0,,1,2.2548871752929687,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00355000,2025-04-08 19:35:07+00:00,355.0,109.1,134.5,139.7,0.0,0.0,,1,1.7978525732421873,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00367500,2025-04-14 16:49:45+00:00,367.5,124.7,119.6,125.3,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00375000,2025-04-09 13:32:33+00:00,375.0,91.1,113.6,119.8,0.0,0.0,,3,1.5800802246093748,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00380000,2025-04-23 15:23:06+00:00,380.0,118.0,109.7,114.7,21.0,21.649485,1.0,0,1.47265888671875,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00385000,2025-04-08 19:35:13+00:00,385.0,82.0,104.9,109.6,0.0,0.0,,1,1.3642609912109376,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00390000,2025-04-08 19:35:03+00:00,390.0,78.8,98.4,104.6,0.0,0.0,,1,1.3027378613281246,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00392500,2025-04-23 14:14:46+00:00,392.5,113.33,94.7,100.5,1.3499985,1.205571,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00400000,2025-04-23 15:27:17+00:00,400.0,95.35,89.8,94.6,15.07,18.7718,2.0,5,1.1816447167968749,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00405000,2025-04-09 14:38:22+00:00,405.0,65.9,82.5,89.6,0.0,0.0,,4,1.1220747021484376,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00407500,2025-04-15 18:19:19+00:00,407.5,92.61,80.9,85.6,13.110001,16.490566,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00410000,2025-04-21 14:51:33+00:00,410.0,62.92,78.4,84.4,0.0,0.0,1.0,1,0.96679720703125,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00420000,2025-04-23 13:30:25+00:00,420.0,90.8,69.1,76.0,30.800003,51.333336,100.0,104,1.2641638354492186,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00425000,2025-04-23 15:27:17+00:00,425.0,70.4,65.0,69.4,15.950001,29.29293,501.0,503,0.8037129003906249,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00430000,2025-04-23 13:32:56+00:00,430.0,80.8,60.1,65.1,30.650002,61.116653,500.0,500,0.9597171997070311,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00435000,2025-04-23 13:48:12+00:00,435.0,81.8,54.5,60.0,37.750004,85.69808,20.0,26,0.8740246972656249,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00437500,2025-04-21 16:34:13+00:00,437.5,37.5,51.2,56.4,0.0,0.0,4.0,12,1.0000000000000003e-05,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00440000,2025-04-14 18:01:07+00:00,440.0,66.69,47.9,54.0,8.300003,14.214768,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00445000,2025-04-15 16:55:55+00:00,445.0,48.51,42.6,50.6,0.0,0.0,5.0,8,0.8483901879882811,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00450000,2025-04-23 14:18:37+00:00,450.0,53.61,38.9,42.8,16.470001,44.345722,2.0,9,1.0000000000000003e-05,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00455000,2025-04-17 19:50:04+00:00,455.0,36.5,34.3,39.2,0.0,0.0,1.0,14,0.36914693359375,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00457500,2025-04-22 19:29:01+00:00,457.5,55.0,31.6,38.4,25.5,86.44068,7.0,10,0.7111845288085938,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00460000,2025-04-23 14:53:51+00:00,460.0,42.43,28.0,35.7,13.48,46.563038,2.0,7,0.6511265356445313,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00462500,2025-04-22 13:55:51+00:00,462.5,53.97,27.2,32.6,31.43,139.441,1.0,3,0.5376022802734376,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00465000,2025-04-23 14:09:27+00:00,465.0,37.0,26.9,30.6,11.129999,43.0228,31.0,50,0.5676312768554688,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00467500,2025-04-22 19:56:45+00:00,467.5,42.6,24.4,28.0,16.329998,62.16215,12.0,36,0.5202684692382812,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00470000,2025-04-22 19:07:14+00:00,470.0,27.55,23.1,25.2,5.199999,23.266212,34.0,64,0.44946839599609373,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00475000,2025-04-23 16:18:20+00:00,475.0,18.97,18.7,21.9,-1.6500015,-8.001947,65.0,66,0.5339402075195312,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00477500,2025-04-23 15:09:50+00:00,477.5,21.32,14.4,18.2,1.6900005,8.609275,30.0,65,0.3918517846679687,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00480000,2025-04-23 15:47:26+00:00,480.0,15.7,14.8,16.2,-2.1500006,-12.044821,102.0,114,0.3936828210449219,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
ISRG250425C00482500,2025-04-23 13:36:19+00:00,482.5,29.25,12.7,14.8,12.75,77.27273,4.0,38,0.4293269958496094,True,REGULAR,USD,ISRG,1,2025-04-25,2025-04-23 13:04:12.567191,494.1650085449219
