contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ITW250516C00195000,2025-04-09 17:19:21+00:00,195.0,28.6,42.0,44.3,0.0,0.0,,4,0.5397995239257813,True,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516C00200000,2025-04-15 19:13:32+00:00,200.0,34.7,36.8,40.0,0.0,0.0,3.0,8,0.5596967858886719,True,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516C00210000,2025-04-16 17:51:14+00:00,210.0,23.1,27.3,30.5,0.0,0.0,3.0,10,0.4804739453125,True,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516C00220000,2025-04-11 15:00:04+00:00,220.0,15.6,19.7,21.5,0.0,0.0,,69,0.4146787048339844,True,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516C00230000,2025-04-22 19:46:33+00:00,230.0,15.82,11.8,12.7,4.2199993,36.379303,1.0,378,0.32776551147460936,True,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516C00240000,2025-04-23 16:05:18+00:00,240.0,6.6,5.9,6.4,1.2999997,24.528296,2.0,100,0.2946847875976562,False,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516C00250000,2025-04-23 16:33:08+00:00,250.0,2.4,2.0,2.55,0.44000006,22.448982,211.0,216,0.27503166381835936,False,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516C00260000,2025-04-23 13:37:48+00:00,260.0,1.0,0.5,0.75,0.45,81.81818,1.0,116,0.2603833728027344,False,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516C00270000,2025-04-22 16:09:48+00:00,270.0,0.2,0.0,0.75,0.0,0.0,1.0,37,0.3393620751953125,False,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516C00280000,2025-04-23 14:49:50+00:00,280.0,0.05,0.0,0.15,0.030000001,150.0,3.0,43,0.30664755859375,False,REGULAR,USD,ITW,1,2025-05-16,2025-04-23 13:04:03.367755,238.32000732421875
ITW250516P00170000,2025-04-09 13:30:17+00:00,170.0,1.67,0.0,0.6,0.0,0.0,,1,0.6630893066406252,False,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00175000,2025-04-09 16:21:48+00:00,175.0,1.93,0.0,0.7,0.0,0.0,,2,0.6289099609375001,False,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00195000,2025-04-21 16:06:38+00:00,195.0,1.31,0.0,0.75,0.0,0.0,1.0,5,0.5080615600585938,False,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00200000,2025-04-21 19:24:53+00:00,200.0,1.5,0.0,0.75,0.0,0.0,4.0,64,0.4563042651367188,False,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00210000,2025-04-22 18:57:19+00:00,210.0,1.15,0.65,1.35,0.0,0.0,1.0,21,0.41358008300781246,False,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00220000,2025-04-21 18:59:02+00:00,220.0,1.08,1.55,2.35,-4.82,-81.694916,2.0,40,0.3658510681152344,False,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00230000,2025-04-23 14:05:57+00:00,230.0,2.6,3.7,4.8,-1.9000001,-42.222225,3.0,91,0.3469303588867187,False,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00240000,2025-04-22 18:14:50+00:00,240.0,7.4,7.6,8.2,-2.4,-24.489798,2.0,26,0.29968962036132807,True,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00250000,2025-04-22 14:52:41+00:00,250.0,19.2,13.1,15.7,0.0,0.0,1.0,127,0.3458317370605468,True,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00260000,2025-04-04 17:56:18+00:00,260.0,31.31,21.4,24.2,0.0,0.0,2.0,0,0.3834290173339844,True,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250516P00270000,2025-03-27 17:28:15+00:00,270.0,20.4,31.2,34.0,0.0,0.0,,0,0.46631393066406257,True,REGULAR,USD,ITW,0,2025-05-16,2025-04-23 13:04:03.368775,238.32000732421875
ITW250620C00175000,2025-01-28 17:47:15+00:00,175.0,86.44,88.1,91.9,0.0,0.0,,2,1.6203632263183594,True,REGULAR,USD,ITW,1,2025-06-20,2025-04-23 13:04:03.436507,238.32000732421875
ITW250620C00200000,2025-03-27 19:48:00+00:00,200.0,53.42,39.0,41.7,0.0,0.0,1.0,2,0.4451959777832031,True,REGULAR,USD,ITW,1,2025-06-20,2025-04-23 13:04:03.436507,238.32000732421875
ITW250620C00210000,2025-04-09 18:00:35+00:00,210.0,30.74,29.4,31.9,0.0,0.0,4.0,14,0.3670717590332031,True,REGULAR,USD,ITW,1,2025-06-20,2025-04-23 13:04:03.436507,238.32000732421875
