contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
IT250516C00360000,2025-04-09 18:12:13+00:00,360.0,53.0,48.4,55.4,0.0,0.0,1.0,1,0.5344284838867188,True,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00380000,2025-04-02 16:53:34+00:00,380.0,49.6,34.8,38.5,0.0,0.0,,21,0.4808401525878906,True,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00390000,2025-04-08 17:58:25+00:00,390.0,24.5,27.1,31.1,0.0,0.0,4.0,40,0.46417772155761716,True,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00400000,2025-04-23 13:58:30+00:00,400.0,31.67,21.8,26.9,11.4,56.24075,1.0,16,0.5099841482543946,True,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00410000,2025-04-23 14:52:34+00:00,410.0,25.0,15.6,21.3,8.450001,51.057407,10.0,258,0.499577758178711,True,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00420000,2025-04-23 13:48:13+00:00,420.0,16.14,11.6,16.8,2.4399996,17.810215,9.0,13,0.49774672180175783,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00430000,2025-04-14 14:36:55+00:00,430.0,11.87,7.9,12.5,0.0,0.0,2.0,12,0.48279325805664064,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00440000,2025-04-21 13:30:03+00:00,440.0,4.25,3.1,8.9,0.0,0.0,1.0,381,0.4664359997558594,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00450000,2025-04-17 19:50:00+00:00,450.0,3.5,0.7,5.5,0.0,0.0,2.0,41,0.4329890686035156,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00460000,2025-04-23 13:31:42+00:00,460.0,2.4,2.05,4.5,0.1500001,6.666671,11.0,22,0.4567925415039063,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00470000,2025-04-14 13:44:39+00:00,470.0,1.95,0.9,4.6,0.0,0.0,2.0,3,0.5137988073730468,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00480000,2025-04-14 13:57:54+00:00,480.0,2.0,0.2,1.85,0.0,0.0,1.0,64,0.4366511413574219,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00490000,2025-04-09 17:21:47+00:00,490.0,1.2,0.0,1.5,0.0,0.0,,1,0.45606012695312503,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00500000,2025-04-09 17:21:47+00:00,500.0,0.85,0.0,1.5,0.0,0.0,2.0,3,0.495122236328125,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00520000,2025-04-01 17:48:22+00:00,520.0,0.65,0.0,1.5,0.0,0.0,1.0,2,0.5689740368652343,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00580000,2025-04-07 16:01:44+00:00,580.0,0.3,0.0,1.5,0.0,0.0,8.0,3,0.6784700122070313,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516C00590000,2025-03-25 14:03:23+00:00,590.0,0.3,0.0,0.8,0.0,0.0,3.0,9,0.6433141137695313,False,REGULAR,USD,IT,1,2025-05-16,2025-04-23 13:03:25.349554,410.67999267578125
IT250516P00310000,2025-04-07 14:19:05+00:00,310.0,5.01,0.0,2.45,0.0,0.0,1.0,2,0.6618686157226563,False,REGULAR,USD,IT,0,2025-05-16,2025-04-23 13:03:25.351559,410.67999267578125
IT250516P00330000,2025-04-04 14:49:02+00:00,330.0,6.6,0.3,4.0,0.0,0.0,22.0,12,0.6125527026367189,False,REGULAR,USD,IT,0,2025-05-16,2025-04-23 13:03:25.351559,410.67999267578125
IT250516P00340000,2025-03-25 15:08:12+00:00,340.0,1.7,0.65,4.6,0.0,0.0,,1,0.576054044189453,False,REGULAR,USD,IT,0,2025-05-16,2025-04-23 13:03:25.351559,410.67999267578125
IT250516P00350000,2025-04-21 18:42:41+00:00,350.0,6.2,1.85,4.8,0.0,0.0,1.0,52,0.545048494873047,False,REGULAR,USD,IT,0,2025-05-16,2025-04-23 13:03:25.351559,410.67999267578125
IT250516P00370000,2025-04-10 14:41:44+00:00,370.0,12.78,6.1,9.4,0.0,0.0,1.0,16,0.5637861004638673,False,REGULAR,USD,IT,0,2025-05-16,2025-04-23 13:03:25.351559,410.67999267578125
IT250516P00380000,2025-04-10 16:04:59+00:00,380.0,21.0,7.9,10.1,0.0,0.0,2.0,16,0.5161181201171875,False,REGULAR,USD,IT,0,2025-05-16,2025-04-23 13:03:25.351559,410.67999267578125
IT250516P00390000,2025-04-23 16:20:00+00:00,390.0,13.0,11.0,12.5,-2.37,-15.419648,2.0,46,0.5195970892333983,False,REGULAR,USD,IT,0,2025-05-16,2025-04-23 13:03:25.351559,410.67999267578125
