contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
IVZ250516C00011000,2025-04-22 13:52:04+00:00,11.0,2.7,2.55,2.75,0.0,0.0,2.0,26,0.7070341796875,True,REGULAR,USD,IVZ,1,2025-05-16,2025-04-23 13:04:14.026975,13.619999885559082
IVZ250516C00012000,2025-04-22 19:21:28+00:00,12.0,1.8,1.6,1.7,0.15999997,9.756095,5.0,212,0.41797457031249996,True,REGULAR,USD,IVZ,1,2025-05-16,2025-04-23 13:04:14.026975,13.619999885559082
IVZ250516C00013000,2025-04-23 15:10:08+00:00,13.0,1.1,0.9,1.0,0.23000002,26.436783,21.0,1313,0.4726615234375,True,REGULAR,USD,IVZ,1,2025-05-16,2025-04-23 13:04:14.026975,13.619999885559082
IVZ250516C00014000,2025-04-22 18:53:55+00:00,14.0,0.42,0.3,0.4,0.01999998,4.999995,7.0,1038,0.40430283203125,False,REGULAR,USD,IVZ,1,2025-05-16,2025-04-23 13:04:14.026975,13.619999885559082
IVZ250516C00015000,2025-04-23 14:31:21+00:00,15.0,0.15,0.1,0.15,0.050000004,50.000004,21.0,204,0.414068359375,False,REGULAR,USD,IVZ,1,2025-05-16,2025-04-23 13:04:14.026975,13.619999885559082
IVZ250516C00016000,2025-04-22 13:39:46+00:00,16.0,0.05,0.0,0.15,0.0,0.0,4.0,105,0.5742230078125,False,REGULAR,USD,IVZ,1,2025-05-16,2025-04-23 13:04:14.026975,13.619999885559082
IVZ250516C00017000,2025-04-15 16:51:30+00:00,17.0,0.07,0.0,0.05,0.0,0.0,9.0,135,0.5429733203125001,False,REGULAR,USD,IVZ,1,2025-05-16,2025-04-23 13:04:14.026975,13.619999885559082
IVZ250516C00018000,2025-04-15 16:52:05+00:00,18.0,0.05,0.0,0.05,0.0,0.0,28.0,86,0.570316796875,False,REGULAR,USD,IVZ,1,2025-05-16,2025-04-23 13:04:14.026975,13.619999885559082
IVZ250516C00019000,2025-03-24 14:08:13+00:00,19.0,0.1,0.0,0.15,0.0,0.0,,4,0.804689453125,False,REGULAR,USD,IVZ,1,2025-05-16,2025-04-23 13:04:14.026975,13.619999885559082
IVZ250516P00009000,2025-04-09 14:08:54+00:00,9.0,0.19,0.0,0.3,0.0,0.0,,1,1.22266013671875,False,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250516P00010000,2025-04-22 15:05:40+00:00,10.0,0.05,0.0,0.1,0.0,0.0,1.0,145,0.7460962890625,False,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250516P00011000,2025-04-22 14:08:08+00:00,11.0,0.06,0.05,0.15,0.0,0.0,267.0,165,0.6562534375000001,False,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250516P00012000,2025-04-22 17:54:51+00:00,12.0,0.1,0.15,0.25,-0.12,-54.545456,1.0,241,0.570316796875,False,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250516P00013000,2025-04-23 15:32:03+00:00,13.0,0.45,0.4,0.55,-0.050000012,-10.000002,15.0,113,0.5468795312500001,False,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250516P00014000,2025-04-23 13:50:09+00:00,14.0,0.55,0.75,1.0,-0.44,-44.444443,1.0,306,0.5634809277343751,True,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250516P00015000,2025-04-21 14:13:37+00:00,15.0,1.65,1.7,1.75,-1.0500001,-38.88889,1.0,228,0.5918009570312501,True,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250516P00016000,2025-04-16 13:44:34+00:00,16.0,3.35,2.55,2.75,0.0,0.0,10.0,53,0.70312796875,True,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250516P00017000,2025-04-03 18:12:16+00:00,17.0,3.1,3.5,3.8,0.0,0.0,2.0,26,0.8535170898437501,True,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250516P00019000,2025-04-10 14:36:35+00:00,19.0,6.15,5.4,5.7,0.0,0.0,10.0,18,0.97460962890625,True,REGULAR,USD,IVZ,0,2025-05-16,2025-04-23 13:04:14.027978,13.619999885559082
IVZ250620C00015000,2025-04-23 15:29:07+00:00,15.0,0.25,0.2,0.35,-0.050000012,-16.66667,13.0,74,0.38086556640624997,False,REGULAR,USD,IVZ,1,2025-06-20,2025-04-23 13:04:14.117241,13.619999885559082
IVZ250620P00011000,2025-04-22 15:53:44+00:00,11.0,0.2,0.15,0.25,0.0,0.0,2.0,12,0.51758294921875,False,REGULAR,USD,IVZ,0,2025-06-20,2025-04-23 13:04:14.118250,13.619999885559082
IVZ250718C00010000,2025-04-16 17:48:39+00:00,10.0,2.95,3.6,3.7,0.0,0.0,125.0,315,0.4335994140625,True,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00011000,2025-04-16 17:48:52+00:00,11.0,2.14,2.75,2.9,0.0,0.0,125.0,250,0.47949739257812496,True,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00012000,2025-04-22 15:48:14+00:00,12.0,1.95,1.95,2.1,0.0,0.0,1.0,2,0.44482977050781247,True,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00013000,2025-04-22 13:30:07+00:00,13.0,1.75,1.3,1.45,0.45000005,34.615387,1.0,176,0.42969320312500003,True,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00014000,2025-04-22 19:09:55+00:00,14.0,0.85,0.8,0.85,0.0,0.0,3.0,257,0.38281867187499996,False,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00015000,2025-04-22 14:07:38+00:00,15.0,0.5,0.4,0.55,0.0,0.0,5.0,110,0.397466962890625,False,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00016000,2025-04-23 13:30:03+00:00,16.0,0.3,0.2,0.3,0.09000002,42.857155,28.0,164,0.38477177734374995,False,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00017000,2025-04-22 14:27:58+00:00,17.0,0.17,0.05,0.1,0.0,0.0,2.0,1059,0.33399103515625,False,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00018000,2025-04-08 13:33:46+00:00,18.0,0.08,0.0,0.1,0.0,0.0,16.0,867,0.39453730468750003,False,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00019000,2025-04-09 16:56:23+00:00,19.0,0.05,0.0,0.25,0.0,0.0,2.0,738,0.56836369140625,False,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00020000,2025-03-14 16:17:33+00:00,20.0,0.1,0.0,0.0,0.0,0.0,15.0,896,0.2500075,False,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
IVZ250718C00021000,2025-03-18 14:49:46+00:00,21.0,0.06,0.0,0.25,0.0,0.0,20.0,1771,0.5742230078125,False,REGULAR,USD,IVZ,1,2025-07-18,2025-04-23 13:04:14.170600,13.619999885559082
