contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
JBHT250516C00100000,2025-04-15 18:12:15+00:00,100.0,35.41,29.5,32.4,0.0,0.0,4.0,3,0.5429733203125001,True,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00105000,2025-04-16 18:06:34+00:00,105.0,20.2,24.7,27.6,0.0,0.0,,1,0.5327195166015625,True,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00110000,2025-04-17 17:46:00+00:00,110.0,20.79,19.9,22.8,0.0,0.0,19.0,2,0.7128934960937501,True,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00115000,2025-04-21 14:51:22+00:00,115.0,11.8,15.6,18.3,0.0,0.0,2.0,7,0.6433141137695313,True,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00120000,2025-04-21 14:50:31+00:00,120.0,8.8,11.5,13.1,0.0,0.0,2.0,5,0.4909718872070313,True,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00125000,2025-04-21 16:43:27+00:00,125.0,11.01,8.4,9.4,5.3100004,93.157906,3.0,45,0.4646049633789063,True,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00130000,2025-04-22 19:50:37+00:00,130.0,7.3,5.2,7.0,2.5,52.083332,8.0,135,0.495122236328125,True,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00135000,2025-04-23 14:14:53+00:00,135.0,3.4,1.4,3.7,0.94000006,38.211384,2.0,72,0.40881938842773435,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00140000,2025-04-23 14:17:12+00:00,140.0,2.4,0.05,2.1,1.1000001,84.6154,177.0,101,0.39942006835937505,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00145000,2025-04-21 19:28:13+00:00,145.0,0.45,0.6,0.9,0.0,0.0,3.0,45,0.3676821044921875,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00150000,2025-04-22 14:39:35+00:00,150.0,0.55,0.15,0.6,0.4,266.66666,5.0,119,0.3991759301757813,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00155000,2025-04-22 13:39:41+00:00,155.0,0.05,0.0,1.55,0.0,0.0,1.0,43,0.6076699389648439,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00160000,2025-04-15 19:57:33+00:00,160.0,0.55,0.0,0.45,0.0,0.0,6.0,21,0.49805189453125004,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00165000,2025-04-08 14:51:37+00:00,165.0,0.63,0.0,1.2,0.0,0.0,1.0,29,0.5903361279296876,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00170000,2025-04-11 19:22:35+00:00,170.0,0.02,0.0,1.8,-0.35999998,-94.73685,1.0,66,0.7084990087890625,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00175000,2025-04-04 16:13:41+00:00,175.0,0.4,0.0,1.25,0.0,0.0,1.0,14,0.7065459033203125,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00180000,2025-04-15 19:55:08+00:00,180.0,0.1,0.0,1.75,0.0,0.0,1.0,42,0.81445498046875,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00185000,2025-02-19 16:55:12+00:00,185.0,3.5,0.0,2.35,0.0,0.0,4.0,57,0.9255378540039063,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00190000,2025-04-04 18:02:11+00:00,190.0,0.3,0.0,1.75,0.0,0.0,2.0,236,0.9155281884765626,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00195000,2025-03-17 13:44:34+00:00,195.0,0.35,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00200000,2025-03-17 14:08:27+00:00,200.0,0.25,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00210000,2025-03-31 15:04:27+00:00,210.0,0.3,0.0,0.4,0.0,0.0,6.0,1407,0.8564467480468749,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00220000,2025-02-26 15:55:52+00:00,220.0,0.08,0.0,0.75,0.0,0.0,1.0,32,1.015629921875,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00230000,2024-12-13 14:30:02+00:00,230.0,1.4,0.0,0.55,0.0,0.0,1.0,8,1.0351610742187503,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516C00240000,2024-12-13 16:02:23+00:00,240.0,0.7,0.0,1.0,0.0,0.0,2.0,3,1.2026407055664063,False,REGULAR,USD,JBHT,1,2025-05-16,2025-04-23 13:04:16.868199,130.78500366210938
JBHT250516P00080000,2025-04-23 14:47:31+00:00,80.0,0.07,0.0,0.05,0.02,40.0,199.0,36,0.726565234375,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00085000,2025-04-17 17:29:16+00:00,85.0,0.2,0.1,0.4,0.0,0.0,1.0,47,0.87695435546875,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00090000,2025-04-23 15:49:58+00:00,90.0,0.3,0.05,0.3,0.0,0.0,3.0,23,0.7304714453125,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00095000,2025-04-22 13:44:33+00:00,95.0,0.41,0.0,1.05,0.0,0.0,13.0,14,0.782228740234375,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00100000,2025-04-21 18:34:36+00:00,100.0,0.8,0.0,0.7,0.0,0.0,10.0,31,0.62305064453125,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00105000,2025-04-21 17:25:05+00:00,105.0,1.15,0.0,0.85,0.0,0.0,16.0,24,0.5502974658203126,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00110000,2025-04-22 16:16:27+00:00,110.0,0.9,0.7,1.7,0.0,0.0,1.0,21,0.5996133789062501,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00115000,2025-04-21 16:54:40+00:00,115.0,2.72,1.25,1.75,0.0,0.0,5.0,31,0.5256395092773438,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00120000,2025-04-22 15:34:37+00:00,120.0,1.37,2.0,2.65,-1.3000001,-48.689137,3.0,88,0.5236864038085938,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00125000,2025-04-22 16:38:02+00:00,125.0,4.3,3.1,4.6,0.0,0.0,12.0,104,0.5449264257812501,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00130000,2025-04-23 14:50:50+00:00,130.0,5.3,5.0,6.5,-2.6499996,-33.333332,68.0,92,0.516606396484375,False,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00135000,2025-04-21 19:01:37+00:00,135.0,5.5,7.5,9.6,-5.6800003,-50.805008,20.0,55,0.5374802111816408,True,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00140000,2025-04-21 13:36:44+00:00,140.0,14.4,10.6,12.2,0.0,0.0,4.0,55,0.476567734375,True,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
JBHT250516P00145000,2025-04-22 19:58:21+00:00,145.0,16.89,13.5,17.5,0.0,0.0,5.0,45,0.6098671826171876,True,REGULAR,USD,JBHT,0,2025-05-16,2025-04-23 13:04:16.870223,130.78500366210938
