contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
JBL250516C00080000,2025-04-17 19:57:55+00:00,80.0,55.07,57.5,60.3,0.0,0.0,40.0,40,0.8320329296874999,True,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00100000,2025-04-17 18:25:13+00:00,100.0,36.2,38.4,40.5,0.0,0.0,1.0,3,0.69336244140625,True,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00115000,2025-04-09 17:46:49+00:00,115.0,22.8,23.9,26.0,0.0,0.0,5.0,63,0.567387138671875,True,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00120000,2025-04-22 16:40:07+00:00,120.0,15.6,18.6,20.9,0.0,0.0,1.0,23,0.454107021484375,True,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00125000,2025-04-22 16:43:20+00:00,125.0,11.53,15.8,16.8,0.0,0.0,1.0,29,0.47998566894531247,True,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00130000,2025-04-22 13:50:29+00:00,130.0,7.5,11.8,13.0,0.0,0.0,2.0,271,0.48071808349609374,True,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00135000,2025-04-22 16:04:53+00:00,135.0,4.9,8.1,9.2,0.0,0.0,18.0,212,0.4415339050292969,True,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00140000,2025-04-23 14:58:48+00:00,140.0,6.36,5.1,6.0,3.6100001,131.27272,6.0,45,0.40918559570312496,True,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00145000,2025-04-23 15:32:35+00:00,145.0,3.28,3.2,3.8,1.93,142.96297,5.0,793,0.40210558837890625,False,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00150000,2025-04-23 16:25:41+00:00,150.0,1.62,1.35,2.0,1.02,170.0,3.0,177,0.37500625,False,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00155000,2025-04-23 15:13:19+00:00,155.0,0.97,0.5,1.0,0.72,288.0,14.0,314,0.36377589355468753,False,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00160000,2025-04-07 13:45:21+00:00,160.0,0.85,0.0,0.4,0.54,174.19356,10.0,28,0.3452213916015625,False,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
JBL250516C00165000,2025-04-17 14:37:59+00:00,165.0,1.4,0.0,0.4,0.0,0.0,6.0,64,0.405279384765625,False,REGULAR,USD,JBL,1,2025-05-16,2025-04-23 13:04:17.581896,140.27000427246094
