contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
JCI250516C00060000,2025-04-09 15:06:43+00:00,60.0,13.0,18.1,21.0,0.0,0.0,,10,0.7675804492187501,True,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
JCI250516C00065000,2025-04-09 15:47:22+00:00,65.0,9.2,13.1,16.1,0.0,0.0,,10,0.6040078662109377,True,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
JCI250516C00070000,2025-04-23 15:23:13+00:00,70.0,9.8,10.0,10.3,0.8000002,8.88889,56.0,4,0.543949873046875,True,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
JCI250516C00075000,2025-04-22 14:56:41+00:00,75.0,6.7,6.1,6.3,2.5,59.52381,10.0,505,0.5009815527343751,True,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
JCI250516C00077500,2025-04-23 15:41:55+00:00,77.5,5.15,4.5,4.7,2.15,71.66667,137.0,196,0.48389187988281257,True,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
JCI250516C00080000,2025-04-23 14:35:08+00:00,80.0,3.2,3.1,3.4,1.3000001,68.42105,16.0,556,0.4738822143554688,False,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
JCI250516C00082500,2025-04-23 14:58:17+00:00,82.5,2.35,2.0,2.3,1.2499999,113.636345,3.0,4350,0.45703667968750006,False,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
JCI250516C00085000,2025-04-23 15:21:09+00:00,85.0,1.5,1.15,1.55,0.77,105.47945,9.0,1631,0.454107021484375,False,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
JCI250516C00087500,2025-04-22 17:33:52+00:00,87.5,0.81,0.65,0.95,0.51,170.0,1.0,1168,0.4414118359375,False,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
JCI250516C00090000,2025-04-23 15:47:48+00:00,90.0,0.3,0.35,0.6,0.120000005,66.666664,5.0,807,0.4419001123046875,False,REGULAR,USD,JCI,1,2025-05-16,2025-04-23 13:04:20.815319,79.05500030517578
