contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
JKHY250516C00125000,2025-04-11 13:31:23+00:00,125.0,46.5,46.3,50.9,0.0,0.0,,1.0,0.73437765625,1.0,REGULAR,USD,JKHY,1,2025-05-16,2025-04-23 13:04:18.246768,173.1300048828125
JKHY250516C00130000,2025-04-11 13:31:23+00:00,130.0,42.0,41.5,46.1,0.0,0.0,,1.0,0.70898728515625,1.0,REGULAR,USD,JKHY,1,2025-05-16,2025-04-23 13:04:18.246768,173.1300048828125
JKHY250516C00170000,2025-04-17 19:42:48+00:00,170.0,8.5,6.2,11.0,0.0,0.0,6.0,7.0,0.53320779296875,1.0,REGULAR,USD,JKHY,1,2025-05-16,2025-04-23 13:04:18.246768,173.1300048828125
JKHY250516C00175000,2025-04-22 15:04:08+00:00,175.0,4.9,4.6,7.3,0.0,0.0,14.0,17.0,0.46082082153320314,0.0,REGULAR,USD,JKHY,1,2025-05-16,2025-04-23 13:04:18.246768,173.1300048828125
JKHY250516C00185000,2025-04-21 19:51:20+00:00,185.0,1.6,0.0,4.8,0.0,0.0,13.0,16.0,0.5240526110839843,0.0,REGULAR,USD,JKHY,1,2025-05-16,2025-04-23 13:04:18.246768,173.1300048828125
JKHY250516C00190000,2025-04-21 14:39:55+00:00,190.0,0.6,0.0,4.8,0.0,0.0,1.0,3.0,0.6086464916992189,0.0,REGULAR,USD,JKHY,1,2025-05-16,2025-04-23 13:04:18.246768,173.1300048828125
JKHY250516C00195000,2025-04-16 14:24:10+00:00,195.0,0.65,0.0,4.8,0.0,0.0,2.0,2.0,0.512578116455078,0.0,REGULAR,USD,JKHY,1,2025-05-16,2025-04-23 13:04:18.246768,173.1300048828125
JKHY250516P00125000,2025-04-07 19:51:54+00:00,125.0,0.9,0.0,4.8,0.0,0.0,,1.0,1.08203583984375,0.0,REGULAR,USD,JKHY,0,2025-05-16,2025-04-23 13:04:18.247770,173.1300048828125
JKHY250516P00130000,2025-04-15 13:30:10+00:00,130.0,0.75,0.0,4.8,0.0,0.0,,2.0,0.9831544653320312,0.0,REGULAR,USD,JKHY,0,2025-05-16,2025-04-23 13:04:18.247770,173.1300048828125
JKHY250516P00135000,2025-04-21 13:43:19+00:00,135.0,0.6,0.0,4.8,0.0,0.0,1.0,2.0,0.8864757446289062,0.0,REGULAR,USD,JKHY,0,2025-05-16,2025-04-23 13:04:18.247770,173.1300048828125
